Var1,Freq
NY,7108
MNHN,3163
US,2260
MeiseBG,1761
F,601
MA,457
FLAS,430
ASU,424
JBRJ,382
B,369
BRIT,360
CAS,331
CM,315
KAG,314
RSA,314
UCR,283
USF,280
K,270
Z,249
BBM,203
LSU,193
USCH,169
MIN,165
UM,158
LI,154
NCU,153
CHSC,151
A,143
MOAR,143
NCSC,140
PRC,140
CHR,134
GA,113
VT,110
NHMUK,107
MU,97
NEON,97
Moscow State University,94
OBI,92
CLEMS,78
DES,78
DBG,73
NMNZ,71
BRY,65
AK,59
USAC,58
UNA,53
AU,49
MCA,47
Qarshi Botanical Garden,46
COI,42
O,42
MICH,41
GMUF,40
ODU,39
MVSC,38
CINC,35
PUA,33
DAV,30
HSC,29
SBBG,29
TRH,29
MMNS,28
TAAM,28
UVG,26
LOB,25
DEK,24
OSU,24
SDSU,24
IRVC,23
CMN,22
UNM,22
ASC,21
CS,21
DR,21
SFV,21
SJSU,21
WU,21
YPM,21
EIU,19
ZT,18
W,17
CHRB,15
CJBN,15
KU,15
WS,15
FALSE,14
GJO,13
MISS,12
SMF,12
MO,11
TENN,11
ANHC,10
CONC,9
ISA,9
NHMD,9
UCSC,9
USU,9
SBAC,8
TU,8
E,7
Hazara University,7
Irkutsk State University,7
PI,7
POM,7
UCSB,7
Université de Montréal Biodiversity Centre,7
CSUSB,6
KYO,6
FSC,5
GBS RAN - Glavny Botanichesky Sad Rossijskoj Akademii Nauk,5
TI,5
TROM,5
BAYLU,4
BBS,4
COLO,4
EKY,4
HXC,4
MOR,4
MUHW,4
TAC,4
UAM,4
UCJ,4
USZ,4
CAU,3
H,2
LA,2
VPI,2
BC,1
FTG,1
MEL,1
NSW,1
PH,1
SNSNMC,1
TTC,1
USMS,1
WCUH,1
