"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","elevation","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","license","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","recordedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","recordNumber","identifier.1","habitat","http...unknown.org.recordID","associatedTaxa","locality","county","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","rights","occurrenceRemarks","http...unknown.org.recordEnteredBy","higherClassification","collectionID","reproductiveCondition","name","individualCount","datasetName","identifiedBy","rightsHolder","nomenclaturalStatus","nomenclaturalCode","fieldNumber","type","ownerInstitutionCode","bibliographicCitation","otherCatalogNumbers","verbatimEventDate","verbatimElevation","dateIdentified","lifeStage","higherGeography","institutionID","georeferenceProtocol","organismID","locationID","accessRights","georeferenceSources","networkKeys","gadm","preparations","recordedByIDs.type","recordedByIDs.value","locationRemarks","georeferenceRemarks","eventID","footprintSRS","verbatimIdentification","media_url"
"2270528115","Amomyrtella guili (Speg.) Kausel",-27.04508,-65.66816,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:21.608+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3715897,6,7707728,220,690,5014,3187840,3715897,3715897,"Amomyrtella guili (Speg.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Amomyrtella","Amomyrtella guili","Amomyrtella","guili","SPECIES","ACCEPTED","NE",1032,"SOUTH_AMERICA","Tucuman",2017,4,5,"2017-04-05",95,95,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:21.608+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=20053748","http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"20053748","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,"L. R. Landrum & S. S. Landrum","WGS84","Magnoliopsida","AR","none","none","LATIN_AMERICA","Argentina","NORTH_AMERICA","12251","20053748","Bosque humedo.","0902c8a5-5ac9-438e-ae1b-0a24e36dcfa0","Blepharocalyx salicifolius","camino Tafi del Valle a Acheral, mas arriba del ""Monumento al Indio"".","Monteros","Plants","2270528115","0902c8a5-5ac9-438e-ae1b-0a24e36dcfa0","33755","ASU0300555","ASU","http://creativecommons.org/licenses/by-nc/3.0/","molecular voucher sent to K","Landrum","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Amomyrtella","a2e32c87-d320-4a01-bafd-a9182ae2e191","st","Amomyrtella guili (Speg.) Kausel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0300/ASU0300555_lg.jpg"
"2270527047","Amomyrtella guili (Speg.) Kausel",-27.04508,-65.66816,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:21.524+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3715897,6,7707728,220,690,5014,3187840,3715897,3715897,"Amomyrtella guili (Speg.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Amomyrtella","Amomyrtella guili","Amomyrtella","guili","SPECIES","ACCEPTED","NE",1032,"SOUTH_AMERICA","Tucuman",2017,4,5,"2017-04-05",95,95,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:21.524+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=20053758","http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"20053758","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,"L. R. Landrum & S. S. Landrum","WGS84","Magnoliopsida","AR","none","none","LATIN_AMERICA","Argentina","NORTH_AMERICA","12253","20053758","Bosque humedo.","f8fb22d0-3dac-4c07-b20c-b4a30fa2e6cf","Blepharocalyx salicifolius","camino Tafi del Valle a Acheral, mas arriba del ""Monumento al Indio"".","Monteros","Plants","2270527047","f8fb22d0-3dac-4c07-b20c-b4a30fa2e6cf","33755","ASU0300554","ASU","http://creativecommons.org/licenses/by-nc/3.0/","molecular voucher sent to K; Arbolito","Landrum","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Amomyrtella","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,"Amomyrtella guili (Speg.) Kausel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0300/ASU0300554_lg.jpg"
"1257752565","Amomyrtella guili (Speg.) Kausel",-18.982222,-64.03,"cdround,gass84,osiic,colmano,inmafu,diffown","e053ff53-c156-4e2e-b9b5-4462e9625424","90fd6680-349f-11d8-aa2d-b8a03c50a862","c4e134d3-c68f-406d-a116-6a37895602e0","90fd6680-349f-11d8-aa2d-b8a03c50a862","US","EML","2024-08-02T18:32:16.663+00:00","2024-08-02T19:59:38.356+00:00",102,"PRESERVED_SPECIMEN","PRESENT",3715897,6,7707728,220,690,5014,3187840,3715897,3715897,"Amomyrtella guili (Speg.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Amomyrtella","Amomyrtella guili","Amomyrtella","guili","SPECIES","ACCEPTED","NE",1970,"SOUTH_AMERICA","Santa Cruz",2011,8,9,"2011-08-09",221,221,"2011-08-25T11:56:00.000+00:00","2024-08-02T19:59:38.356+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"urn:catalog:MO:Tropicos:100404866","none","none","75b95ecc-277c-4e91-9499-1da457137cba",NA,FALSE,"G.A. Parada|Y. Inturias","WGS84","Magnoliopsida","BO","none","none","LATIN_AMERICA","Bolivia (Plurinational State of)","NORTH_AMERICA","Parada-Gutierrez 3784","urn:catalog:MO:Tropicos:100404866",NA,NA,NA,"Peña blanca, parcela temporal de muestreo N°8, estrato herbáceo dominado por 3786 y 3787.","Vallegrande","Tropicos","1257752565","urn:catalog:MO:Tropicos:100404866","22103208","100404866","USZ",NA,NA,NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:15859",NA,"Amomyrtella guili (Speg.) Kausel",1,"Tropicos","G. A. Parada (USZ) 2011","Missouri Botanical Garden","No opinion","ICNafp","11-72","PhysicalObject","MOBOT","http://www.tropicos.org/Specimen/100404866",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://images.mobot.org/tropicosimages3/detailimages/TropicosImages2/100171000/DF5E7E5F-C529-43B8-A62D-F3CD2E4F76CE.jpg"
"2270517110","Amomyrtella guili (Speg.) Kausel",-21.7333,-64.2333,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:13.699+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3715897,6,7707728,220,690,5014,3187840,3715897,3715897,"Amomyrtella guili (Speg.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Amomyrtella","Amomyrtella guili","Amomyrtella","guili","SPECIES","ACCEPTED","NE",1300,"SOUTH_AMERICA","Tarija",2006,2,28,"2006-02-28",59,59,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:13.699+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1917638","http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"1917638","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,"F. Zenteno; E. Cuevas & E. Llanos","WGS84","Magnoliopsida","BO","none","none","LATIN_AMERICA","Bolivia (Plurinational State of)","NORTH_AMERICA","4196","1917638","Tarija, Bolivia: Prov. B. O`Connor; Camino A Soledad. Bosque Tucumano Boliviano.","c0ec7a51-5184-4fbb-9c4d-d5b7eab65201",NA,"Prov. B. O`Connor; Camino A Soledad. Bosque Tucumano Boliviano.",NA,"Plants","2270517110","c0ec7a51-5184-4fbb-9c4d-d5b7eab65201","33755","ASU0053014","ASU","http://creativecommons.org/licenses/by-nc/3.0/","Arbol 4 m. DAP: 2.7 cm, hojas grandes. Corteza externa exfoliante. Material alcoholizado.","Kim 2011_04_05","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Amomyrtella","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,"Amomyrtella guili (Speg.) Kausel",NA,NA,"F. Zenteno",NA,NA,NA,NA,NA,NA,NA,"279777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0053/ASU0053014_lg.jpg"
"2270581135","Amomyrtella guili (Speg.) Kausel",-21.783333,-64.288333,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:17.684+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3715897,6,7707728,220,690,5014,3187840,3715897,3715897,"Amomyrtella guili (Speg.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Amomyrtella","Amomyrtella guili","Amomyrtella","guili","SPECIES","ACCEPTED","NE",1877,"SOUTH_AMERICA","Tarija",2006,3,26,"2006-03-26",85,85,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:17.684+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=6184380","http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"6184380","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,"M. Serrano; J. Villalobos; J. Villalobos","WGS84","Magnoliopsida","BO","none","none","LATIN_AMERICA","Bolivia (Plurinational State of)","NORTH_AMERICA","7408","6184380","Myrtaceae, Bosque montano Tucumano Boliviano, Zona de neblina pemnanente, rocosos con surgencias de aqua","656de8fa-2b9c-484c-8364-e074ff0167b8","ecologicallyOccursWith: Cistopterys fragilis|ecologicallyOccursWith: Salvia atrocyanea|ecologicallyOccursWith: Berberis bumelaeifolia","Bolivia, Provincia 0'Connor, Municipio Entre Rios: Reserva Nacional de Flora y Fauna Tariquia, Trayecto Salinas Rio, Cima del Alto Nogal",NA,"Plants","2270581135","656de8fa-2b9c-484c-8364-e074ff0167b8","33755","ASU0080865","ASU","http://creativecommons.org/licenses/by-nc/3.0/","Suelos muy humedos y, Arbolito 7 m. Corteza lisa de color cafe - oscuro brillante, hojas estrujadas olor a gasolina","Landrum","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Amomyrtella","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,"Amomyrtella guili (Speg.) Kausel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"289783","3/26/2006","1877 m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU_Plants/ASU0080/ASU0080865_lg.jpg"
"2270517282","Amomyrtella guili (Speg.) Kausel",-21.85,-64.2278,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:13.804+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3715897,6,7707728,220,690,5014,3187840,3715897,3715897,"Amomyrtella guili (Speg.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Amomyrtella","Amomyrtella guili","Amomyrtella","guili","SPECIES","ACCEPTED","NE",1280,"SOUTH_AMERICA","Tarija",2006,7,8,"2006-07-08",189,189,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:13.804+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1917639","http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"1917639","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,"F. Zenteno; H. Mamani, A. Poma, V. Schmidt, A. Sejas & Y. Balanza","WGS84","Magnoliopsida","BO","none","none","LATIN_AMERICA","Bolivia (Plurinational State of)","NORTH_AMERICA","5540","1917639",NA,"7f7cb4ff-1428-4c8f-ba4f-84152d61b423",NA,"Prov. B. O`Connor; Salinas, El Mesón. Bosque Tucumano Boliviano. Bosque intervenido por actividad ganadera.",NA,"Plants","2270517282","7f7cb4ff-1428-4c8f-ba4f-84152d61b423","33755","ASU0053015","ASU","http://creativecommons.org/licenses/by-nc/3.0/","Arbol. Material alcoholizado","Kim 2011_04_05","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Amomyrtella","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,"Amomyrtella guili (Speg.) Kausel",NA,NA,"F. Zenteno",NA,NA,NA,NA,NA,NA,NA,"279826",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0053/ASU0053015_lg.jpg"
"2270561155","Amomyrtella guili (Speg.) Kausel",-16.533333,-61.846667,"cdc,gass84,rdativ,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:16.095+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3715897,6,7707728,220,690,5014,3187840,3715897,3715897,"Amomyrtella guili (Speg.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Amomyrtella","Amomyrtella guili","Amomyrtella","guili","SPECIES","ACCEPTED","NE",1500,"SOUTH_AMERICA","Santa Cruz",1999,11,13,"1999-11-13",317,317,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:16.095+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3101239","http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"3101239","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,"M. Saldias; J. Montero and Alumnos de Dendrologia","WGS84","Magnoliopsida","BO","none","none","LATIN_AMERICA","Bolivia (Plurinational State of)","NORTH_AMERICA","6177","3101239",NA,"6a012365-2ba6-4635-8f58-3c82a4f898cf","ecologicallyOccursWith: Bosque ribereno con Salix humboldtiana|ecologicallyOccursWith: Alnus acuminata|ecologicallyOccursWith: Podocarpus parlatorei|ecologicallyOccursWith: Condalia weberbaueri y Allophylus edulis","Vallegrande. A 10 km al S de Postrervalle.",NA,"Plants","2270561155","6a012365-2ba6-4635-8f58-3c82a4f898cf","33755","ASU0057578","ASU","http://creativecommons.org/licenses/by-nc/3.0/","Arbol de 8 m. Frutos globosos verde. Corteza fisurada.","karrivas","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Amomyrtella","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,"Amomyrtella guili (Speg.) Kausel",NA,NA,"L. R. Landrum",NA,NA,NA,NA,NA,NA,NA,"280669",NA,NA,"2009-01-01T00:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0057/ASU0057578_lg.jpg"
"2270485304","Amomyrtella guili (Speg.) Kausel",-18.7833,-64.0333,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:12.072+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3715897,6,7707728,220,690,5014,3187840,3715897,3715897,"Amomyrtella guili (Speg.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Amomyrtella","Amomyrtella guili","Amomyrtella","guili","SPECIES","ACCEPTED","NE",NA,"SOUTH_AMERICA","Santa Cruz",1989,12,26,"1989-12-26",360,360,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:12.072+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1127637","http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"1127637","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,"M. Nee","WGS84","Magnoliopsida","BO","none","none","LATIN_AMERICA","Bolivia (Plurinational State of)","NORTH_AMERICA","38437","1127637","Slope with disturbed cloud forest.","5fae49d6-eeb4-4f42-95b9-fcb9352a54dc","ecologicallyOccursWith: Podocarpus parlatorei|ecologicallyOccursWith: P. exigua|ecologicallyOccursWith: Weinmannia|ecologicallyOccursWith: Ternstroemia asymmetrica","Aguadita, 8km (by air) S of Khasa Monte on road to Los Sitanos.","Vallegrande","Plants","2270485304","5fae49d6-eeb4-4f42-95b9-fcb9352a54dc","33755","ASU0008538","ASU","http://creativecommons.org/licenses/by-nc/3.0/","slender tree 9 m, fruit orange","Les","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Amomyrtella","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,"Amomyrtella guili (Speg.) Kausel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"174995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0008/ASU0008538_lg.jpg"
"2270484461","Amomyrtella guili (Speg.) Kausel",-27.0833,-65.6667,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:12.005+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3715897,6,7707728,220,690,5014,3187840,3715897,3715897,"Amomyrtella guili (Speg.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Amomyrtella","Amomyrtella guili","Amomyrtella","guili","SPECIES","ACCEPTED","NE",NA,"SOUTH_AMERICA","Tucuman",1988,1,2,"1988-01-02",2,2,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:12.005+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1127635","http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"1127635","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,"L. R. Landrum; J. Bricker, F. Grifo","WGS84","Magnoliopsida","AR","none","none","LATIN_AMERICA","Argentina","NORTH_AMERICA","5814","1127635","Vegetation along river.  Growing beside large rock.","e0b01dd7-dc01-4a2e-a610-0219b183b006",NA,"Mun. Monteros. Road from Acheral to Tafi del Valle. Near bridge over Rio de los Sosa.",NA,"Plants","2270484461","e0b01dd7-dc01-4a2e-a610-0219b183b006","33755","ASU0008539","ASU","http://creativecommons.org/licenses/by-nc/3.0/","Sprouts from fallen tree","Les","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Amomyrtella","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,"Amomyrtella guili (Speg.) Kausel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"154728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0008/ASU0008539_lg.jpg"
"2270486673","Amomyrtella guili (Speg.) Kausel",-27.0833,-65.6667,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:12.092+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3715897,6,7707728,220,690,5014,3187840,3715897,3715897,"Amomyrtella guili (Speg.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Amomyrtella","Amomyrtella guili","Amomyrtella","guili","SPECIES","ACCEPTED","NE",NA,"SOUTH_AMERICA","Tucuman",1988,1,2,"1988-01-02",2,2,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:12.092+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1127636","http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"1127636","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,"L. R. Landrum; J. Bricker, F. Grifo","WGS84","Magnoliopsida","AR","none","none","LATIN_AMERICA","Argentina","NORTH_AMERICA",NA,"1127636","Vegetation along river.  Growing beside large rock.","f43e19fc-4e9d-41a1-a0e5-639db10dfee1","ecologicallyOccursWith: Myrcianthes","Mun. Monteros. Road from Acheral to Tafi del Valle. Near bridge over Rio de los Sosa.",NA,"Plants","2270486673","f43e19fc-4e9d-41a1-a0e5-639db10dfee1","33755","ASU0008535","ASU","http://creativecommons.org/licenses/by-nc/3.0/","Tree ca. 10 m","Les","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Amomyrtella","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,"Amomyrtella guili (Speg.) Kausel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"154731",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0008/ASU0008535_lg.jpg"
