"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","verbatimEventDate","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","occurrenceRemarks","recordedByIDs.type","recordedByIDs.value","identifiedByIDs.type","identifiedByIDs.value","identificationRemarks","networkKeys","higherGeography","institutionKey","collectionKey","recordNumber","habitat","institutionID","nomenclaturalCode","locality","county","http...unknown.org.license","type","http...unknown.org.rightsHolder","ownerInstitutionCode","http...unknown.org.CatalogNumberNumeric","collectionID","gadm","projectId","individualCount","elevation","elevationAccuracy","informationWithheld","verbatimElevation","preparations","locationRemarks","otherCatalogNumbers","http...unknown.org.recordID","associatedTaxa","rights","http...unknown.org.recordEnteredBy","higherClassification","datasetID","fieldNumber","language","verbatimDepth","typeStatus","reproductiveCondition","georeferencedBy","georeferenceVerificationStatus","georeferenceSources","dynamicProperties","municipality","bibliographicCitation","georeferenceProtocol","georeferenceRemarks","organismID","locationID","accessRights","acceptedNameUsage","typifiedName","eventRemarks","nomenclaturalStatus","eventID","disposition","samplingProtocol","verbatimCoordinateSystem","footprintSRS","verbatimIdentification","vernacularName","verbatimTaxonRank","media_url","license"
"4420436915","Amomyrtus luma (Molina) D.Legrand & Kausel",-42.482,-72.344379,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:32:15.253+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3186044,6,7707728,220,690,5014,3186043,3186044,3186044,"Amomyrtus luma (Molina) D.Legrand & Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Amomyrtus","Amomyrtus luma","Amomyrtus","luma","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Los Lagos",2022,2,17,"2022-02-17",48,48,NA,"2024-07-30T17:32:15.253+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E01080654","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E01080654",NA,"17th February 2022",NA,"E","4420436915","https://data.rbge.org.uk/herb/E01080654",NA,"E01080654","RBGE",NA,NA,NA,"Amomyrtus luma (Molina) D.Legrand & Kausel",NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","312","Mosaico de bosque adulto abierto con parches degradados.","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","CHILE. Región de Los Lagos. Provincia de Palena. Comuna de Hualaihué. Vodudahue.","Palena","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","1238071","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E01080654/full/300,/0/default.jpg","all rights reserved"
"4420515160","Amomyrtus luma (Molina) D.Legrand & Kausel",-42.471778,-72.370315,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:32:16.532+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3186044,6,7707728,220,690,5014,3186043,3186044,3186044,"Amomyrtus luma (Molina) D.Legrand & Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Amomyrtus","Amomyrtus luma","Amomyrtus","luma","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Los Lagos",2022,2,17,"2022-02-17",48,48,NA,"2024-07-30T17:32:16.532+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E01198022","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E01198022",NA,"17th February 2022",NA,"E","4420515160","https://data.rbge.org.uk/herb/E01198022",NA,"E01198022","RBGE",NA,NA,NA,"Amomyrtus luma (Molina) D.Legrand & Kausel",NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","128","Bosque adulto siempreverde.","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","CHILE. Región de Los Lagos. Provincia de Palena. Comuna de Hualaihué. Vodudahue.  Sector de alerce ""La Abuela"".","Palena","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","1288234","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E01198022/manifest","all rights reserved"
"4420437929","Amomyrtus luma (Molina) D.Legrand & Kausel",-42.061667,-72.496944,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:32:15.678+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3186044,6,7707728,220,690,5014,3186043,3186044,3186044,"Amomyrtus luma (Molina) D.Legrand & Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Amomyrtus","Amomyrtus luma","Amomyrtus","luma","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Los Lagos",2022,10,17,"2022-10-17",290,290,NA,"2024-07-30T17:32:15.678+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E01080705","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E01080705",NA,"17th October 2022",NA,"E","4420437929","https://data.rbge.org.uk/herb/E01080705",NA,"E01080705","RBGE",NA,NA,NA,"Amomyrtus luma (Molina) D.Legrand & Kausel",NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","15","Coastal temperate rainforest dominated by very large old-growth trees of Nothofagus nitida. Eucryphia cordifolia and Laureliopsis philippiana and with Lomatia ferruginea, Raukaua laetivirens and Gaultheria insana","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Isla Pelada. Forest on southern coast east of the main house (owned by the Schmutzer & Signorio families)","Palena","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","1240348","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E01080705/full/300,/0/default.jpg","all rights reserved"
"1563114485","Amomyrtus luma (Molina) D.Legrand & Kausel",-41.554167,-72.602778,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:32:10.476+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3186044,6,7707728,220,690,5014,3186043,3186044,3186044,"Amomyrtus luma (Molina) D.Legrand & Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Amomyrtus","Amomyrtus luma","Amomyrtus","luma","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Los Lagos",2017,3,15,"2017-03-15",74,74,NA,"2024-07-30T17:32:10.476+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00813552","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00813552",NA,"15th March 2017",NA,"E","1563114485","https://data.rbge.org.uk/herb/E00813552",NA,"E00813552","RBGE",NA,NA,NA,"Amomyrtus luma (Molina) D.Legrand & Kausel",NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","1047","Open areas in Fitzroya cupressoides forest which has historically been logged. Other frequently occuring Valdivian rainforest species include:  Amomyrtus luma, Blechnum magellanicum, Campsidium valdivianum, Desfontainia fulgens, Embothrium coccineum, Gaultheria phillyreifolia, Lomatia ferruginea, Maytenus magellanica, Nothofagus betuloides, N. nitida, Philesia magellanica, Raukaua valdiviensis, Saxegothaea conspicua and Weinmannia trichosperma.","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chile:Región X [Los Lagos]:Provincia de Llanquihue:Puerto Montt:Fundo Lenca","Llanquihue","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","835790","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,869,0,NA,"869m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00813552/manifest","all rights reserved"
"890173233","Amomyrtus luma (Molina) D.Legrand & Kausel",-39.861667,-71.951111,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:32:07.197+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3186044,6,7707728,220,690,5014,3186043,3186044,3186044,"Amomyrtus luma (Molina) D.Legrand & Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Amomyrtus","Amomyrtus luma","Amomyrtus","luma","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Los Ríos",2013,1,20,"2013-01-20",20,20,NA,"2024-07-30T17:32:07.197+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00647286","none","none",TRUE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00647286",NA,"20th January 2013",NA,"E","890173233","https://data.rbge.org.uk/herb/E00647286",NA,"E00647286","RBGE",NA,NA,NA,"Amomyrtus luma (Molina) D.Legrand & Kausel",NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","248","Regenerating Valdivian rainforest still with most old-growth tree species present. Dominant species including Aextoxicon punctatum, Nothofagus dombeyi and Eucryphia cordifolia.","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chile:Región XIV [Los Ríos]:Provincia de Valdivia:Reserva Biológica Huilo Huilo.  Sendero Truful.","Valdivia","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","633146","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,434,0,NA,"434m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00647286/full/300,/0/default.jpg","all rights reserved"
"890158828","Amomyrtus luma (Molina) D.Legrand & Kausel",-39.994444,-73.417222,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:32:07.198+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3186044,6,7707728,220,690,5014,3186043,3186044,3186044,"Amomyrtus luma (Molina) D.Legrand & Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Amomyrtus","Amomyrtus luma","Amomyrtus","luma","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Los Ríos",2013,1,23,"2013-01-23",23,23,NA,"2024-07-30T17:32:07.198+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00647303","none","none",TRUE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00647303",NA,"23rd January 2013",NA,"E","890158828","https://data.rbge.org.uk/herb/E00647303",NA,"E00647303","RBGE",NA,NA,NA,"Amomyrtus luma (Molina) D.Legrand & Kausel",NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","314","orest dominated by Fitzroya cupressoides. Associated species include Nothofagus nitida, Tepualia stipularis, Gevuina avellana, Raukaua laetivirens, Eucryphia cordifolia (scattered), Drimys winteri (very common), Ovidia pillo pillo, Griselinia jodinifolia, Saxegothaea conspicua, Podocarpus nubigenus, Ugni candollei, U. molinae, Desfontainea fulgens, Blechnum magellanicum (very common) Campsidium valdivianum, Philesia magellanica, Gaultheria furiens, Laureliopsis philippiana and Lomatia ferruginesa (scattered)","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chile:Región XIV [Los Ríos]:Provincia de Valdivia:Parque Nacional Alerce Costero; Sector Catrileufu","Valdivia","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","633460","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,532,0,NA,"532m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00647303/manifest","all rights reserved"
"1839867696","Amomyrtus luma (Molina) D.Legrand & Kausel",-41.166667,-72.45,"cdc,gass84","b740eaa0-0679-41dc-acb7-990d562dfa37","a344ee9f-f1b7-4761-be2c-58ee6d741395","4c5fccfd-c052-42ec-97ab-a4657ec27751","a344ee9f-f1b7-4761-be2c-58ee6d741395","BE","EML","2024-06-18T08:41:46.137+00:00","2024-06-18T09:36:09.313+00:00",308,"PRESERVED_SPECIMEN","PRESENT",3186044,6,7707728,220,690,5014,3186043,3186044,3186044,"Amomyrtus luma (Molina) D.Legrand & Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Amomyrtus","Amomyrtus luma","Amomyrtus","luma","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA",NA,2013,11,25,"2013-11-25",329,329,"2014-02-03T00:00:00.000+00:00","2024-06-18T09:36:09.313+00:00",NA,FALSE,"http://www.botanicalcollections.be/specimen/BR0000013550110","none","none",FALSE,"Meise Botanic Garden Herbarium","Billiet F.",NA,"WGS84","Magnoliopsida","CL",NA,"none","LATIN_AMERICA","Chile","EUROPE","Meise Botanic Garden","http://www.botanicalcollections.be/specimen/BR0000013550110",NA,NA,NA,"BR","1839867696","http://www.botanicalcollections.be/specimen/BR0000013550110",NA,"BR0000013550110","MeiseBG",NA,NA,NA,"Amomyrtus luma (Molina) D.Legrand & Kausel",NA,"OTHER","http://viaf.org/viaf/284058110",NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",NA,"3b896e03-901d-4cc7-ac2b-61e0469521b0","6416a67f-3c3e-495c-8998-568f64249178","8725","forêt de Nothofagus","http://biocol.org/urn:lsid:biocol.org:col:15605","ICBN","P.N. Alerce Andino, régions IX & X",NA,NA,"PhysicalObject",NA,NA,NA,"gbif:ih:irn:124997",NA,NA,NA,NA,NA,NA,NA,"HerbariumSheet","Description: arbuste du sous-bois",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif-manifest.oxalis.br.fgov.be/specimen/BR0000013550110/manifest","all rights reserved"
"2270552969","Amomyrtus luma (Molina) D.Legrand & Kausel",-41.0168,-72.607,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:15.570+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3186044,6,7707728,220,690,5014,3186043,3186044,3186044,"Amomyrtus luma (Molina) D.Legrand & Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Amomyrtus","Amomyrtus luma","Amomyrtus","luma","SPECIES","ACCEPTED","NE",NA,50,"SOUTH_AMERICA","Los Lagos",2011,11,4,"2011-11-04",308,308,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:15.570+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2468373",FALSE,"2468373","none","none",FALSE,NA,"L. R. Landrum","L. R. Landrum","WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","NORTH_AMERICA",NA,"2468373",NA,NA,NA,"Plants","2270552969","b84d1b10-f712-4ad7-bce6-844770b6dc1d","33115","ASU0059811","ASU",NA,NA,NA,"Amomyrtus luma (Molina) D.Legrand & Kausel","Small tree; flowers abundant now.",NA,NA,NA,NA,NA,NA,NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","11603","Remnant forest with much Myrtaceae.",NA,NA,"Road to La Picada, ca. 6 km from principal road around Lago Llanquihue.",NA,NA,NA,NA,NA,NA,"a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,NA,NA,NA,NA,NA,NA,NA,NA,"284304","b84d1b10-f712-4ad7-bce6-844770b6dc1d","ecologicallyOccursWith: Amomyrtus luma|ecologicallyOccursWith: Luma apiculata|ecologicallyOccursWith: Myrceugenia planipes|ecologicallyOccursWith: Nothofagus dombeyi","http://creativecommons.org/licenses/by-nc/3.0/","Landrum","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Amomyrtus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/201111/Amomyrtus_luma-11603.jpg","all rights reserved"
"2270552816","Amomyrtus luma (Molina) D.Legrand & Kausel",-42.66878,-73.99675,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:15.211+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3186044,6,7707728,220,690,5014,3186043,3186044,3186044,"Amomyrtus luma (Molina) D.Legrand & Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Amomyrtus","Amomyrtus luma","Amomyrtus","luma","SPECIES","ACCEPTED","NE",NA,20,"SOUTH_AMERICA","Los Lagos",2011,11,11,"2011-11-11",315,315,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:15.211+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2470559",FALSE,"2470559","none","none",FALSE,NA,"L. R. Landrum; S. Landrum",NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","NORTH_AMERICA",NA,"2470559",NA,NA,NA,"Plants","2270552816","8cdcf615-4ddb-43f9-9a57-8a27451eecbb","33115","ASU0059809","ASU",NA,NA,NA,"Amomyrtus luma (Molina) D.Legrand & Kausel","Small tree ca. 4 m high",NA,NA,NA,NA,NA,NA,NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","11625","Disturbed, mixed evergreen forest",NA,NA,"Road from Cucao to Huillinco, Puente Chumono",NA,NA,NA,NA,NA,NA,"a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,NA,NA,NA,NA,NA,NA,NA,NA,"284371","8cdcf615-4ddb-43f9-9a57-8a27451eecbb","ecologicallyOccursWith: Nothofagus nitida|ecologicallyOccursWith: Aextoxicon|ecologicallyOccursWith: Amomyrtus luma","http://creativecommons.org/licenses/by-nc/3.0/","Landrum","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Amomyrtus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0059/ASU0059809_lg.jpg","all rights reserved"
"2236041818","Amomyrtus luma (Molina) D.Legrand & Kausel",-42.3756,-72.4139,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:39:51.158+00:00",403,"PRESERVED_SPECIMEN","PRESENT",3186044,6,7707728,220,690,5014,3186043,3186044,3186044,"Amomyrtus luma (Molina) D.Legrand & Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Amomyrtus","Amomyrtus luma","Amomyrtus","luma","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Los Lagos (X)",2008,10,24,"2008-10-24",298,298,"2019-02-04T13:01:00.000+00:00","2024-08-02T12:39:51.158+00:00",NA,FALSE,"http://n2t.net/ark:/65665/3ab6e41bf-28ea-4f50-8039-80fea5b19972","none","none",FALSE,"NMNH Extant Biology","D. J. Layton",NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","NORTH_AMERICA",NA,"http://n2t.net/ark:/65665/3ab6e41bf-28ea-4f50-8039-80fea5b19972",NA,NA,NA,"US","2236041818","http://n2t.net/ark:/65665/3ab6e41bf-28ea-4f50-8039-80fea5b19972",NA,"US 3590906","US",NA,NA,NA,"Amomyrtus luma (Molina) D.Legrand & Kausel",NA,NA,NA,NA,NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","South America, Chile, Los Lagos (X)","be5b9c72-e499-42b8-a5dc-c27505cf232e","151c91ba-a521-4735-8c11-5abf8db7fb67","144",NA,"urn:lsid:biocol.org:col:15463",NA,"Région Los Lagos, Huinay, trail to Abuela's.",NA,NA,NA,NA,NA,NA,"urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",NA,NA,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m37f3daa0c-5406-4956-be46-02636fbb4834","all rights reserved"
