"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","elevation","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","datasetName","otherCatalogNumbers","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","recordNumber","identifier.1","institutionID","dynamicProperties","municipality","locality","collectionCode","gbifID","occurrenceID","catalogNumber","institutionCode","occurrenceRemarks","name","habitat","georeferenceProtocol","eventRemarks","higherClassification","fieldNotes","gadm","references","http...unknown.org.recordID","county","taxonID","rights","http...unknown.org.recordEnteredBy","collectionID","reproductiveCondition","higherGeography","nomenclaturalCode","verbatimEventDate","http...unknown.org.license","type","http...unknown.org.rightsHolder","ownerInstitutionCode","http...unknown.org.CatalogNumberNumeric","preparations","language","elevationAccuracy","bibliographicCitation","individualCount","coordinateUncertaintyInMeters","verbatimElevation","georeferenceSources","typeStatus","typifiedName","media_url","license"
"1424515597","Eugenia cristaensis O.Berg",-13.973889,-47.499722,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:44.993+00:00",520,"PRESERVED_SPECIMEN","PRESENT",5417105,6,7707728,220,690,5014,3177662,5417105,5417105,"Eugenia cristaensis O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia cristaensis","Eugenia","cristaensis","SPECIES","ACCEPTED","NE","2017-06-01T00:00:00",1546,"SOUTH_AMERICA","Goiás",2014,11,26,"2014-11-26",330,330,"2017-10-08T22:48:54.000+00:00","2024-08-01T12:21:44.993+00:00",FALSE,"urn:catalog:JBRJ:RB:996141","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 630796","M. Verdi; E. P. Fernandes, D. Maurenza","M.SOBRAL","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","7293","urn:catalog:JBRJ:RB:996141","04.936.616/0001-20","{""project"" : ""Projeto Cerrado/CNCFlora""}","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros, Pouso Alto.","RB","1424515597","urn:catalog:JBRJ:RB:996141","RB00996141","JBRJ","Folhas verdes; botão floral róseo; pouco frequente; encontrada em solo arenoso e úmido; áreas no entorno recentemente queimada","Eugenia cristaensis O.Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/99/61/41/00996141.jpg","http://creativecommons.org/licenses/by/4.0/"
"1424515666","Eugenia cristaensis O.Berg",-13.973889,-47.499722,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:46.361+00:00",520,"PRESERVED_SPECIMEN","PRESENT",5417105,6,7707728,220,690,5014,3177662,5417105,5417105,"Eugenia cristaensis O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia cristaensis","Eugenia","cristaensis","SPECIES","ACCEPTED","NE","2018-06-01T00:00:00",1546,"SOUTH_AMERICA","Goiás",2014,11,26,"2014-11-26",330,330,"2018-06-20T17:11:24.000+00:00","2024-08-01T12:21:46.361+00:00",FALSE,"urn:catalog:JBRJ:RB:996162","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 630817","M. Verdi; E. P. Fernandes, D. Maurenza","J.E.Q.Faria","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","7314","urn:catalog:JBRJ:RB:996162","04.936.616/0001-20","{""project"" : ""Projeto Cerrado/CNCFlora""}","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros, Pouso Alto.","RB","1424515666","urn:catalog:JBRJ:RB:996162","RB00996162","JBRJ","Folhas verdes; fruto amarelo; pouco frequente; encontrada em solo areno-pedregoso e úmido; áreas no entorno recentemente queimada","Eugenia cristaensis O.Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/99/61/62/00996162.jpg","http://creativecommons.org/licenses/by/4.0/"
"1424411819","Eugenia cristaensis O.Berg",-15.823333,-48.698333,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:41.437+00:00",520,"PRESERVED_SPECIMEN","PRESENT",5417105,6,7707728,220,690,5014,3177662,5417105,5417105,"Eugenia cristaensis O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia cristaensis","Eugenia","cristaensis","SPECIES","ACCEPTED","NE",NA,1262,"SOUTH_AMERICA","Goiás",2011,11,23,"2011-11-23",327,327,"2017-10-14T06:46:34.000+00:00","2024-08-01T12:21:41.437+00:00",FALSE,"urn:catalog:JBRJ:RB:710211","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 547253","D. P. Saraiva; R. C. Forzza; R. F. Monteiro","M. Sobral","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","281","urn:catalog:JBRJ:RB:710211","04.936.616/0001-20",NA,"Cocalzinho de Goiás","Localildade de Areias ca. 20 Km da BR 414. Cerrado com alforamentos pós queimada.","RB","1424411819","urn:catalog:JBRJ:RB:710211","RB00710211","JBRJ","Erva rasteira. Folhas verdes discolores. Flores  alvo-rosadas. Cálice verde. Pouco frequênte.","Eugenia cristaensis O.Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/71/2/11/00710211.jpg","http://creativecommons.org/licenses/by/4.0/"
"912615861","Eugenia cristaensis O.Berg",-14.13,-47.686944,"cdc,cdround,gass84,incomis,inmafu","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:15:39.460+00:00",407,"PRESERVED_SPECIMEN","PRESENT",5417105,6,7707728,220,690,5014,3177662,5417105,5417105,"Eugenia cristaensis O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia cristaensis","Eugenia","cristaensis","SPECIES","ACCEPTED","NE",NA,1231,"SOUTH_AMERICA",NA,2010,12,14,"2010-12-14T00:00",348,348,"2014-01-09T15:31:10.410+00:00","2024-08-02T01:15:39.460+00:00",FALSE,"K000812306","none","none","fa252605-26f6-426c-9892-94d071c2c77f",NA,FALSE,NA,NA,"Santos, M.F.,, Borges, L.M., Simon,","Faria, J.E.Q.","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE",NA,"610","K000812306",NA,NA,NA,"Alto Paraiso de Goias: Estrada GO-239, em direcao ao vilarejo de Sao Jorge. Mirante de Maytrea.","Herbarium","912615861","http://specimens.kew.org/herbarium/K000812306","K000812306","K",NA,"Eugenia cristaensis O.Berg","Cerrado campestre, apos passagem de fogo.","label","Subarbusto prostrado. Ramo levemente avermelhado. Fruto imaturo verde-amarelado, maduro amarelo passando a vermelho; pedicelo verde; calice verde.","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://d2seqvvyy3b8p2.cloudfront.net/f3fbe26d0c2e9e15ab10fab527d083a5.jpg","http://creativecommons.org/licenses/by/4.0/"
"1424070886","Eugenia cristaensis O.Berg",-14.160556,-47.468611,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:36.390+00:00",520,"PRESERVED_SPECIMEN","PRESENT",5417105,6,7707728,220,690,5014,3177662,5417105,5417105,"Eugenia cristaensis O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia cristaensis","Eugenia","cristaensis","SPECIES","ACCEPTED","NE","2010-09-01T00:00:00",1460,"SOUTH_AMERICA","Goiás",2003,12,2,"2003-12-02",336,336,"2017-10-06T11:00:13.000+00:00","2024-08-01T12:21:36.390+00:00",FALSE,"urn:catalog:JBRJ:RB:309658","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 396065","R. Mello-Silva; R.C. Fozza, B.R. Silva & R.D. Melo","José Eustáquio Quintino de Faria Junior","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","2259","urn:catalog:JBRJ:RB:309658","04.936.616/0001-20",NA,"Alto Paraíso de Goiás","Serra da Baliza. alto da serra. 1,3 km além da casinhola no alto da serra, 6,5 km da rodovia Alto Paraiso de goiás - Brasília (BR 010, km 162), entrada a 5,2 km da saída de Alto Paraíso de Goiás.","RB","1424070886","urn:catalog:JBRJ:RB:309658","RB00309658","JBRJ","Folhas discolores, verde-claras na face abaxial. Frutos imaturos verdes passando a alaranjados","Eugenia cristaensis O.Berg",NA,NA,NA,NA,"Campo limpo brejoso com pequenos inselbergs quartzíticos com vegetação arbustiva com vellozia sessilis. Em solo arenoso úmido, no campo limpo (brejo).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/30/96/58/00309658.jpg","http://creativecommons.org/licenses/by/4.0/"
"2270677114","Eugenia cristaensis O.Berg",-17.25,-53.35,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf",NA,"ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:05.905+00:00",276,"PRESERVED_SPECIMEN","PRESENT",5417105,6,7707728,220,690,5014,3177662,5417105,5417105,"Eugenia cristaensis O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia cristaensis","Eugenia","cristaensis","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Mato Grosso",1996,9,18,"1996-09-18",262,262,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:05.905+00:00",FALSE,"763317","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",TRUE,NA,"212587","C. Proenca; J.A. Ratter, J. Fonseca Filho, S. Bridgewater, M.F. Simon.","C. Proenca, 24/Sept/1996.","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA",NA,"1512","763317",NA,NA,NA,"15km NO de Alto do Araguiaia na Estrada para Itiquira. Centro Oeste.","Plants","2270677114","3cea37f2-0cdf-440d-afd4-ec7680248dd1","ASU0034152","ASU","Compare with E. florida DC.; Arbusto 0.6m. Flor blanca. Ocasional. Muitas gladulas traslucidas nas folhas.","Eugenia cristaensis O.Berg","Cerrado denso, solo de areia avermelhada.",NA,NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Eugenia",NA,NA,"https://swbiodiversity.org/seinet/collections/individual/index.php?occid=763317","3cea37f2-0cdf-440d-afd4-ec7680248dd1","Alto do Araguaia","47803","http://creativecommons.org/licenses/by-nc/3.0/","marisin","a2e32c87-d320-4a01-bafd-a9182ae2e191","flowers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0034/ASU0034152a_lg.jpg","http://creativecommons.org/licenses/by/4.0/"
"1424068061","Eugenia cristaensis O.Berg",-14.14,-47.719444,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:36.352+00:00",520,"PRESERVED_SPECIMEN","PRESENT",5417105,6,7707728,220,690,5014,3177662,5417105,5417105,"Eugenia cristaensis O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia cristaensis","Eugenia","cristaensis","SPECIES","ACCEPTED","NE","2005-06-01T00:00:00",1126,"SOUTH_AMERICA","Goiás",1995,9,28,"1995-09-28",271,271,"2017-10-06T10:54:30.000+00:00","2024-08-01T12:21:36.352+00:00",FALSE,"urn:catalog:JBRJ:RB:306813","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 416064","M.L. Fonseca; M.P. Neto","R. Marquete","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","646","urn:catalog:JBRJ:RB:306813","04.936.616/0001-20",NA,"Alto Paraíso de Goiás","Local do parque em frente à Mata Funda. Parque Nacional Chapada dos Veadeiros","RB","1424068061","urn:catalog:JBRJ:RB:306813","RB00306813","JBRJ","Subarbusto heliófito; folhas verdes, cartáceas; flores com cálice vináceo, corola rósea; botões florais esverdeados.","Eugenia cristaensis O.Berg",NA,NA,NA,NA,"Solo: arenoso. Relevo: Planalto. Campo cerrado, queimado.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/30/68/13/00306813.jpg","http://creativecommons.org/licenses/by/4.0/"
"1927910601","Eugenia cristaensis O.Berg",-15.5,-55.5,"gass84,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:13:04.960+00:00",415,"PRESERVED_SPECIMEN","PRESENT",5417105,6,7707728,220,690,5014,3177662,5417105,5417105,"Eugenia cristaensis O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia cristaensis","Eugenia","cristaensis","SPECIES","ACCEPTED","NE","1988-01-01T00:00:00",NA,"SOUTH_AMERICA","Mato Grosso",1985,10,21,"1985-10-21",294,294,NA,"2024-07-21T05:13:04.960+00:00",FALSE,"0a212ecc-6908-4537-8f8c-48e0171aaacd","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,"Vascular plants",NA,"C. A. Cid Ferreira","M. Sobral","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The New York Botanical Garden","6535","0a212ecc-6908-4537-8f8c-48e0171aaacd","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,"MT. Rio Caxipozinho, próx. a Cachoeira Véu de Noiva. Area da Chapada dos Guimaraes","NY","1927910601","0a212ecc-6908-4537-8f8c-48e0171aaacd","00907592","NY",NA,"Eugenia cristaensis O.Berg","Cerrado, solo areno-pedregoso",NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986554",NA,"Cuiabá Mun.",NA,NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,"ICN","21 Oct 1985",NA,"PhysicalObject",NA,NA,NA,"sheet","en",NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/2107/626/00907592.jpg","http://creativecommons.org/licenses/by/4.0/"
"1456469488","Eugenia cristaensis O.Berg",-15.75,-47.85,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:40:20.589+00:00",403,"PRESERVED_SPECIMEN","PRESENT",5417105,6,7707728,220,690,5014,3177662,5417105,5417105,"Eugenia cristaensis O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia cristaensis","Eugenia","cristaensis","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Distrito Federal",1977,11,16,"1977-11-16",320,320,"2022-11-02T14:06:00.000+00:00","2024-08-02T12:40:20.589+00:00",FALSE,"http://n2t.net/ark:/65665/3f9223131-db12-45cf-aeb0-424d9b46c62a","none","none","be5b9c72-e499-42b8-a5dc-c27505cf232e","151c91ba-a521-4735-8c11-5abf8db7fb67",TRUE,"NMNH Extant Biology",NA,"ex Taxonomy Class Univ. de Brasilia",NA,"WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA",NA,"557","http://n2t.net/ark:/65665/3f9223131-db12-45cf-aeb0-424d9b46c62a","urn:lsid:biocol.org:col:15463",NA,NA,"South side of campus of Universidade de Brasília","US","1456469488","http://n2t.net/ark:/65665/3f9223131-db12-45cf-aeb0-424d9b46c62a","US 2859349","US",NA,"Eugenia cristaensis O.Berg",NA,NA,NA,"Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae",NA,NA,NA,NA,"Brasília",NA,NA,NA,"urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",NA,"South America - Neotropics, Brazil, Distrito Federal, Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m38ccdaf8f-b94a-4699-8d1c-d7932ec9fcd9","http://creativecommons.org/licenses/by/4.0/"
"1929841145","Eugenia cristaensis O.Berg",-15.415111,-55.80725,"mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:14:12.548+00:00",415,"PRESERVED_SPECIMEN","PRESENT",5417105,6,7707728,220,690,5014,3177662,5417105,5417105,"Eugenia cristaensis O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia cristaensis","Eugenia","cristaensis","SPECIES","ACCEPTED","NE","2007-07-01T00:00:00",720,"SOUTH_AMERICA","Mato Grosso",1973,10,13,"1973-10-13",286,286,NA,"2024-07-21T05:14:12.548+00:00",FALSE,"92d01b8a-7292-4eb7-a610-8c6da196d5b4","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,"Vascular plants",NA,"G. T. Prance","F. F. Mazine","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The New York Botanical Garden","18917","92d01b8a-7292-4eb7-a610-8c6da196d5b4","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,"Cerradão behind Colegio de Buriti.","NY","1929841145","92d01b8a-7292-4eb7-a610-8c6da196d5b4","00907381","NY",NA,"Eugenia cristaensis O.Berg","Cerrado",NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985447",NA,"Chapada dos Guimarães Mun.",NA,NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,"ICN","13 Oct 1973",NA,"PhysicalObject",NA,NA,NA,"sheet","en",0,NA,NA,5000,"2362 ft","Google Earth",NA,NA,"http://sweetgum.nybg.org/images3/2107/540/00907381.jpg","http://creativecommons.org/licenses/by/4.0/"
