"key","scientificName","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","continent","stateProvince","gadm","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","datasetName","otherCatalogNumbers","recordedBy","identifiedBy","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","recordNumber","identifier.1","catalogNumber","institutionID","institutionCode","municipality","locality","gbifID","occurrenceRemarks","collectionCode","occurrenceID","name","decimalLatitude","decimalLongitude","higherGeography","geodeticDatum","habitat","georeferenceProtocol","eventRemarks","higherClassification","references","preparations","nomenclaturalCode","verbatimEventDate","language","type","identificationRemarks","collectionID","verbatimElevation","informationWithheld","verbatimLocality","disposition","ownerInstitutionCode","georeferencedDate","georeferenceSources","organismID","locationID","identificationQualifier","accessRights","individualCount","county","fieldNumber","typeStatus","fieldNotes","acceptedNameUsage","media_url","license"
"1252640027","Eugenia longiracemosa Kiaersk.","cdc,cdround,gass84,incomis,inmafu","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:14:50.345+00:00",407,"PRESERVED_SPECIMEN","PRESENT",5417537,6,7707728,220,690,5014,3177662,5417537,5417537,"Eugenia longiracemosa Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia longiracemosa","Eugenia","longiracemosa","SPECIES","ACCEPTED","NE",NA,"SOUTH_AMERICA",NA,NA,1997,10,16,"1997-10-16T00:00",289,289,NA,"2024-08-02T01:14:50.345+00:00",FALSE,"K001019082","none","none","fa252605-26f6-426c-9892-94d071c2c77f",NA,TRUE,NA,NA,"Assunção, P.A.C.L.; Pinheiro, Z.A.","Holst, B.K.","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE",NA,"698","K001019082","K001019082",NA,"K","Manaus","Reserva Florestal Adolpho Ducke, Manaus-Itacoatiara, km 26. Próx. à estrada principal e à guarita. Planta fichada: 4781-30.","1252640027","Flora da Reserva Ducke","Herbarium","http://specimens.kew.org/herbarium/K001019082","Eugenia longiracemosa Kiaersk.",-2.883334,-59.966667,"Manaus","WGS84","Data not transcribed.","Label","Data not transcribed.","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://d2seqvvyy3b8p2.cloudfront.net/af24a0fe3e6bc4c2c5f28df6d86e6be5.jpg","http://creativecommons.org/licenses/by/4.0/"
"1928643038","Eugenia longiracemosa Kiaersk.","gass84,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:13:43.195+00:00",415,"PRESERVED_SPECIMEN","PRESENT",5417537,6,7707728,220,690,5014,3177662,5417537,5417537,"Eugenia longiracemosa Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia longiracemosa","Eugenia","longiracemosa","SPECIES","ACCEPTED","NE",NA,"SOUTH_AMERICA","Amazonas",NA,1996,11,27,"1996-11-27",332,332,NA,"2024-07-21T05:13:43.195+00:00",FALSE,"3de53ee3-ddc9-4657-9872-3a9919cec3bc","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,"Vascular plants",NA,"M. J. G. Hopkins","M. A. D. de Souza","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The New York Botanical Garden","1611","3de53ee3-ddc9-4657-9872-3a9919cec3bc","01451201","http://biocol.org/urn:lsid:biocol.org:col:15556","NY",NA,"Manaus. Reserva Florestal Ducke-Tinga, ao lado da casa na entrada.","1928643038",NA,"NY","3de53ee3-ddc9-4657-9872-3a9919cec3bc","Eugenia longiracemosa Kiaersk.",-2.88,-59.97,NA,"WGS84",NA,NA,NA,NA,"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1333656","sheet","ICN","27 Nov 1996","en","PhysicalObject","[same det. at INPA]","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/458/894/v-247-01451201.jpg","http://creativecommons.org/licenses/by/4.0/"
"1252639939","Eugenia longiracemosa Kiaersk.","cdc,cdround,gass84,incomis,inmafu","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:14:50.872+00:00",407,"PRESERVED_SPECIMEN","PRESENT",5417537,6,7707728,220,690,5014,3177662,5417537,5417537,"Eugenia longiracemosa Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia longiracemosa","Eugenia","longiracemosa","SPECIES","ACCEPTED","NE",NA,"SOUTH_AMERICA",NA,NA,1995,10,31,"1995-10-31T00:00",304,304,"2021-07-07T18:09:08.173+00:00","2024-08-02T01:14:50.872+00:00",FALSE,"K001019081","none","none","fa252605-26f6-426c-9892-94d071c2c77f",NA,TRUE,NA,NA,"Sothers, C.A.; Silva, C.F.","Souza, M.A.D.","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE",NA,"658","K001019081","K001019081",NA,"K","Manaus","Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Torre.","1252639939","Departament for International Development, United Kingdora. Planta fichada:3519-30","Herbarium","http://specimens.kew.org/herbarium/K001019081","Eugenia longiracemosa Kiaersk.",-2.883333,-59.966667,"Manaus","WGS84","Data not transcribed.","Label","Data not transcribed.","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://d2seqvvyy3b8p2.cloudfront.net/2a8d08ecd67012dbb34a776e2fe6947b.jpg","http://creativecommons.org/licenses/by/4.0/"
"1929309317","Eugenia longiracemosa Kiaersk.","gass84,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:14:02.654+00:00",415,"PRESERVED_SPECIMEN","PRESENT",5417537,6,7707728,220,690,5014,3177662,5417537,5417537,"Eugenia longiracemosa Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia longiracemosa","Eugenia","longiracemosa","SPECIES","ACCEPTED","NE","2007-01-01T00:00:00","SOUTH_AMERICA","Pará",NA,1982,6,18,"1982-06-18",169,169,NA,"2024-07-21T05:14:02.654+00:00",FALSE,"6d114a8f-4cc1-444d-ac0a-548cf949b94a","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,"Vascular plants",NA,"C. R. Sperling","F. F. Mazine","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The New York Botanical Garden","6220","6d114a8f-4cc1-444d-ac0a-548cf949b94a","1551052","http://biocol.org/urn:lsid:biocol.org:col:15556","NY",NA,"Serra dos Carajás; 10 km east of AMZA camp N-1 and 3 km along the entrance road to AZUL, an abandoned manganese exploration camp.","1929309317",NA,"NY","6d114a8f-4cc1-444d-ac0a-548cf949b94a","Eugenia longiracemosa Kiaersk.",-6.07,-50.23,NA,"WGS84",NA,NA,NA,NA,"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1289694",NA,"ICN","18 Jun 1982","en","PhysicalObject",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556","2133 ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/768/520/01551052.jpg","http://creativecommons.org/licenses/by/4.0/"
"1928688350","Eugenia longiracemosa Kiaersk.","mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:13:39.397+00:00",415,"PRESERVED_SPECIMEN","PRESENT",5417537,6,7707728,220,690,5014,3177662,5417537,5417537,"Eugenia longiracemosa Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia longiracemosa","Eugenia","longiracemosa","SPECIES","ACCEPTED","NE","1993-01-01T00:00:00","SOUTH_AMERICA","Amazonas",NA,1978,10,5,"1978-10-05",278,278,NA,"2024-07-21T05:13:39.397+00:00",FALSE,"4112ab33-30f7-4a9e-8955-de04769a939d","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,"Vascular plants",NA,"M. T. Madison","B. K. Holst","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The New York Botanical Garden","6003","4112ab33-30f7-4a9e-8955-de04769a939d","01450898","http://biocol.org/urn:lsid:biocol.org:col:15556","NY",NA,"Rio Negro, N bank, between Rio Arará and Rio Cuieiras.","1928688350",NA,"NY","4112ab33-30f7-4a9e-8955-de04769a939d","Eugenia longiracemosa Kiaersk.",-2.923979,-60.46754,NA,"WGS84",NA,"Georeferencing Quick Reference Guide, Version 2012",NA,NA,"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1688366","sheet","ICN","05 Oct 1978","en","PhysicalObject",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,NA,NA,NA,"2014-09-19","Google Maps (map data 2014); Manis Georef. Calculator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/458/891/v-247-01450898.jpg","http://creativecommons.org/licenses/by/4.0/"
"1228515148","Eugenia longiracemosa Kiaersk.","gass84,ambcol,inmafu","90c853e6-56bd-480b-8e8f-6285c3f8d42b","7b8aff00-a9f8-11d8-944b-b8a03c50a862",NA,"3b84ff5b-79ce-427c-acb7-b4004e160f66","7b8aff00-a9f8-11d8-944b-b8a03c50a862","US","EML","2023-09-22T16:42:30.311+00:00","2024-01-25T10:59:53.755+00:00",313,"PRESERVED_SPECIMEN","PRESENT",5417537,6,7707728,220,690,5014,3177662,5417537,5417537,"Eugenia longiracemosa Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia longiracemosa","Eugenia","longiracemosa","SPECIES","ACCEPTED","NE",NA,"SOUTH_AMERICA","Amazonas",NA,1978,10,9,"1978-10-09",282,282,"2023-03-02T20:14:00.000+00:00","2024-01-25T10:59:53.755+00:00",FALSE,"a4a2e680-0e02-4093-b1b3-81f84733c586","none","none","689b4219-8256-4c6e-890b-2e81405d4c58",NA,TRUE,"seeds-22-sep-2023",NA,"M. T. Madison",NA,"Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The Field Museum of Natural History","6067","a4a2e680-0e02-4093-b1b3-81f84733c586","V0108966F","F","F",NA,"Amazonas","1228515148",NA,"Botany","a4a2e680-0e02-4093-b1b3-81f84733c586","Eugenia longiracemosa Kiaersk.",-5,-63,"South America, Brazil, Amazonas. [LL]","WGS84",NA,"TGN - Centroid",NA,"Plantae Spermatophyta Dicotyledoneae Myrtaceae",NA,NA,"ICBN",NA,NA,NA,NA,"Botany",NA,NA,NA,NA,"F",NA,"Getty Thesaurus of Geographic Names (TGN)","2388457","945bc7f7-f773-4410-8f63-dbf8bf61a8a0","cf.","http://fieldmuseum.org/about/copyright-information",NA,NA,NA,NA,NA,NA,"http://fm-digital-assets.fieldmuseum.org/504/740/V0108966F.jpg","http://creativecommons.org/licenses/by/4.0/"
"1928540139","Eugenia longiracemosa Kiaersk.","cdround,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:13:38.202+00:00",415,"PRESERVED_SPECIMEN","PRESENT",5417537,6,7707728,220,690,5014,3177662,5417537,5417537,"Eugenia longiracemosa Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia longiracemosa","Eugenia","longiracemosa","SPECIES","ACCEPTED","NE",NA,"SOUTH_AMERICA","Amazonas",NA,1977,10,27,"1977-10-27",300,300,NA,"2024-07-21T05:13:38.202+00:00",FALSE,"367b6567-e1f0-4d38-8bc2-f58809a06082","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,"Vascular plants",NA,"S. H. K. Keel",NA,"Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The New York Botanical Garden","208","367b6567-e1f0-4d38-8bc2-f58809a06082","01450897","http://biocol.org/urn:lsid:biocol.org:col:15556","NY",NA,"Tarumãzinho, 3 km N from the junction of Rio Negro & Igarapé Tarumã.","1928540139",NA,"NY","367b6567-e1f0-4d38-8bc2-f58809a06082","Eugenia longiracemosa Kiaersk.",-2.982928,-60.104404,NA,"WGS84",NA,"Georeferencing Quick Reference Guide, Version 2012",NA,NA,"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1688349","sheet","ICN","27 Oct 1977","en","PhysicalObject",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,NA,NA,NA,"2013-08-22","Google Maps (map data 2013); MaNIS Georef. Calculator",NA,NA,NA,NA,NA,"Manaus Mun.",NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/458/890/v-247-01450897.jpg","http://creativecommons.org/licenses/by/4.0/"
"1928908090","Eugenia longiracemosa Kiaersk.","mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:13:45.584+00:00",415,"PRESERVED_SPECIMEN","PRESENT",5417537,6,7707728,220,690,5014,3177662,5417537,5417537,"Eugenia longiracemosa Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia longiracemosa","Eugenia","longiracemosa","SPECIES","ACCEPTED","NE","1993-01-01T00:00:00","SOUTH_AMERICA","Amazonas",NA,1971,11,11,"1971-11-11",315,315,NA,"2024-07-21T05:13:45.584+00:00",FALSE,"509b499c-5ba6-4785-a0ab-85cf8c7d64dd","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,"Vascular plants",NA,"G. T. Prance","B. K. Holst","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The New York Botanical Garden","16254","509b499c-5ba6-4785-a0ab-85cf8c7d64dd","01450899","http://biocol.org/urn:lsid:biocol.org:col:15556","NY",NA,"Rio Negro between Carvoeiro & Rio Branco. Black water flooded river margin.","1928908090",NA,"NY","509b499c-5ba6-4785-a0ab-85cf8c7d64dd","Eugenia longiracemosa Kiaersk.",-1.4058,-61.9181,NA,"WGS84",NA,NA,NA,NA,"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1334087","sheet","ICN","11 Nov 1971","en","PhysicalObject","[same det. at INPA]","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,NA,NA,NA,NA,"Google Earth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/458/892/v-247-01450899.jpg","http://creativecommons.org/licenses/by/4.0/"
"1927995179","Eugenia longiracemosa Kiaersk.","gass84,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:15:14.060+00:00",415,"PRESERVED_SPECIMEN","PRESENT",5417537,6,7707728,220,690,5014,3177662,5417537,5417537,"Eugenia longiracemosa Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia longiracemosa","Eugenia","longiracemosa","SPECIES","ACCEPTED","NE","1972-01-01T00:00:00","SOUTH_AMERICA","Amazonas",NA,1969,3,18,"1969-03-18",77,77,NA,"2024-07-21T05:15:14.060+00:00",FALSE,"101c8aeb-38ea-45dc-b6ea-7e3fc1d5ed57","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,"Vascular plants",NA,"G. T. Prance","R. McVaugh","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The New York Botanical Garden","10428","101c8aeb-38ea-45dc-b6ea-7e3fc1d5ed57","01451202","http://biocol.org/urn:lsid:biocol.org:col:15556","NY",NA,"South bank of Rio Negro, Bahia de Bueussu, 15 Km above Manaus","1927995179",NA,"NY","101c8aeb-38ea-45dc-b6ea-7e3fc1d5ed57","Eugenia longiracemosa Kiaersk.",-3.1278,-60.1694,NA,"WGS84",NA,NA,NA,NA,"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1334308","sheet","ICN","18 Mar 1969","en","PhysicalObject","[same det. at INPA]","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,NA,NA,NA,"2014-09-11","Coordinates verified",NA,NA,NA,NA,NA,"Manaus Mun.",NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/458/895/v-247-01451202.jpg","http://creativecommons.org/licenses/by/4.0/"
"1928771955","Eugenia longiracemosa Kiaersk.","cdrep,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:13:41.470+00:00",415,"PRESERVED_SPECIMEN","PRESENT",5417537,6,7707728,220,690,5014,3177662,5417537,5417537,"Eugenia longiracemosa Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia longiracemosa","Eugenia","longiracemosa","SPECIES","ACCEPTED","NE","1967-01-01T00:00:00","SOUTH_AMERICA","Amazonas",NA,1937,4,18,"1937-04-18",108,108,NA,"2024-07-21T05:13:41.470+00:00",FALSE,"46ff0bfa-c657-4b09-90d1-0f0a17335ec6","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,"Vascular plants",NA,"W. A. Ducke","R. McVaugh","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The New York Botanical Garden","456","46ff0bfa-c657-4b09-90d1-0f0a17335ec6","01451203","http://biocol.org/urn:lsid:biocol.org:col:15556","NY",NA,"Igarapé da Cachoeira Grande","1928771955",NA,"NY","46ff0bfa-c657-4b09-90d1-0f0a17335ec6","Eugenia longiracemosa Kiaersk.",-3.1053211,-60.0262054,NA,"WGS84",NA,NA,NA,NA,"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1688544","sheet","ICN","18 Apr 1937","en","PhysicalObject",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,NA,NA,NA,NA,"CRIA (Centro de Referência em Informação Ambiental)",NA,NA,NA,NA,NA,"Manaus Mun.",NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/458/896/v-247-01451203.jpg","http://creativecommons.org/licenses/by/4.0/"
