"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","datasetName","otherCatalogNumbers","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","recordNumber","identifier.1","catalogNumber","institutionID","institutionCode","fieldNotes","municipality","locality","gbifID","collectionCode","occurrenceID","name","dynamicProperties","elevation","references","dateIdentified","occurrenceRemarks","individualCount","higherGeography","habitat","verbatimEventDate","higherClassification","collectionID","gadm","identificationQualifier","preparations","nomenclaturalCode","county","language","type","verbatimElevation","georeferencedDate","georeferenceProtocol","georeferenceSources","organismID","locationID","ownerInstitutionCode","accessRights","eventRemarks","locationRemarks","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","http...unknown.org.recordID","taxonID","rights","http...unknown.org.recordEnteredBy","reproductiveCondition","identificationRemarks","fieldNumber","verbatimLocality","typeStatus","distanceFromCentroidInMeters","typifiedName","media_url","license"
"3068490315","Eugenia spruceana O.Berg",-8.638611,-62.938889,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:52.636+00:00",520,"PRESERVED_SPECIMEN","PRESENT",5416343,6,7707728,220,690,5014,3177662,5416343,5416343,"Eugenia spruceana O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia spruceana","Eugenia","spruceana","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Rondônia",2019,10,1,"2019-10-01",274,274,"2023-07-05T20:03:30.000+00:00","2024-08-01T12:21:52.636+00:00",FALSE,"urn:catalog:JBRJ:RB:1436570","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 808942","K.R.C.Paixão; D.Daly, K.S.Gonçalves, A.A. Soares, A.L.P.Silveira,E.C.Oliveira,C.B.Anjos,F.A.Obermuller.","M. Sobral","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","701","urn:catalog:JBRJ:RB:1436570","RB01436570","04.936.616/0001-20","JBRJ","Mata de Igapó.","Itapuã Do Oeste","Floresta Nacional do Jacundá, rio Miriti.","3068490315","RB","urn:catalog:JBRJ:RB:1436570","Eugenia spruceana O.Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/43/65/70/01436570.jpg","http://creativecommons.org/licenses/by-nc-nd/4.0/"
"4444397010","Eugenia spruceana O.Berg",-7.38417,-58.2525,"cdc,gass84,inmafu","85714c48-f762-11e1-a439-00145eb45e9a","57254bd0-8256-11d8-b7ed-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655,3aee7756-565e-4dc5-b22c-f997fbd7105c","60454014-f762-11e1-a439-00145eb45e9a","57254bd0-8256-11d8-b7ed-b8a03c50a862","DE","BIOCASE","2023-12-05T09:13:43.838+00:00","2024-01-25T10:15:04.534+00:00",271,"PRESERVED_SPECIMEN","PRESENT",5416343,6,7707728,220,690,5014,3177662,5416343,5416343,"Eugenia spruceana O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia spruceana","Eugenia","spruceana","SPECIES","ACCEPTED","NE","SOUTH_AMERICA",NA,2018,12,8,"2018-12-08",342,342,NA,"2024-01-25T10:15:04.534+00:00",FALSE,"https://herbarium.bgbm.org/object/B101268039","none","none","4cf93dd2-06c8-4f49-89bc-a5d0805c6747","fceacd29-9f6c-4c9c-a4bc-67795f9cb972",FALSE,NA,NA,"Labiak,P.H., Forzza,R.C., Piva,L. & Durães,L.","M. Sobral 2023","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE",NA,"10133","https://herbarium.bgbm.org/object/B101268039","B 10 1268039",NA,"B",NA,NA,"Brazil: Brasil, Amazonas, Apuí. Parque Nacional do Juruena. Próximo à Comunidade de Barra de São Manuel. Igarapé Aximari. Floresta de Igapó  . Árvore, ca. 4 m alt. Folhas argénteas na face abaxial. Flores com calice corola e estames alvos; frutos verdes. Alt.: 110 m.2018-12-08, Leg.: Labiak,P.H., Forzza,R.C., Piva,L. & Durães,L. 10133.","4444397010","Herbarium Berolinense","https://herbarium.bgbm.org/object/B101268039","Eugenia spruceana O.Berg",NA,110,"https://herbarium.bgbm.org/object/B101268039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://herbarium.bgbm.org/data/iiif/B101268039/manifest.json","http://creativecommons.org/licenses/by-nc-nd/4.0/"
"1902144224","Eugenia spruceana O.Berg",-2.566667,-48.1,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:51.921+00:00",520,"PRESERVED_SPECIMEN","PRESENT",5416343,6,7707728,220,690,5014,3177662,5416343,5416343,"Eugenia spruceana O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia spruceana","Eugenia","spruceana","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Pará",2015,10,28,"2015-10-28",301,301,"2024-03-09T19:32:17.000+00:00","2024-08-01T12:21:51.921+00:00",FALSE,"urn:catalog:JBRJ:RB:1397345","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 774575","T. F. Schulte","Equipe IFN-PA","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","242","urn:catalog:JBRJ:RB:1397345","RB01397345","04.936.616/0001-20","JBRJ","Composta por pastagem, Juquira e árvores pioneiras. Solo rochoso. Contém muito substrato","Tomé-Açu","Conglomerado PA_1113. Subunidade 2. Subparcela 10. Árvore 4RN.","1902144224","RB","urn:catalog:JBRJ:RB:1397345","Eugenia spruceana O.Berg","{""project"" : ""Inventário Florestal Nacional - IFN""}",NA,NA,"2018-04-02T00:00:00","Base reta. Flor verde claro (não estavam maduras). Casca lisa com desprendimento escamoso e odor de corte aromático; casca externa fina de cor marrom clara, casca interna branca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/39/73/45/01397345.jpg","http://creativecommons.org/licenses/by-nc-nd/4.0/"
"1424486118","Eugenia spruceana O.Berg",-0.385555,-61.879444,"cdc,cdround,gass84,muluriiv,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:46.306+00:00",520,"PRESERVED_SPECIMEN","PRESENT",5416343,6,7707728,220,690,5014,3177662,5416343,5416343,"Eugenia spruceana O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia spruceana","Eugenia","spruceana","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Roraima",2014,4,25,"2014-04-25",115,115,"2017-10-18T18:11:21.000+00:00","2024-08-01T12:21:46.306+00:00",FALSE,"urn:catalog:JBRJ:RB:865863","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 601720","R. Goldenberg; P.H. Labiak, R.C. Forzza, A.M. Amorim, L. Freitas, F. Obermüller & R. Barbosa-Silva","M.SOBRAL","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","2039","urn:catalog:JBRJ:RB:865863","RB00865863","04.936.616/0001-20","JBRJ",NA,"Rorainópolis","Boca do Rio Branco.","1424486118","RB","urn:catalog:JBRJ:RB:865863","Eugenia spruceana O.Berg",NA,NA,NA,"2017-06-01T00:00:00","Árvore com a base submersa; frutos verdes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/86/58/63/00865863-1.jpg","http://creativecommons.org/licenses/by-nc-nd/4.0/"
"1456073170","Eugenia spruceana O.Berg",5.882,-60.1096,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:39:04.229+00:00",403,"PRESERVED_SPECIMEN","PRESENT",5416343,6,7707728,220,690,5014,3177662,5416343,5416343,"Eugenia spruceana O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia spruceana","Eugenia","spruceana","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Cuyuni-Mazaruni",2012,6,7,"2012-06-07",159,159,"2024-03-04T17:01:00.000+00:00","2024-08-02T12:39:04.229+00:00",FALSE,"http://n2t.net/ark:/65665/3401a5d89-bd67-4b67-a11f-14da09c10416","none","none","be5b9c72-e499-42b8-a5dc-c27505cf232e","151c91ba-a521-4735-8c11-5abf8db7fb67",TRUE,"NMNH Extant Biology",NA,"E. Tripp, K. Wurdack, A. Radosavljevic & J. Ralph","Holst, Bruce K.","WGS84","Magnoliopsida","GY","none","none","LATIN_AMERICA","Guyana","NORTH_AMERICA",NA,"3201","http://n2t.net/ark:/65665/3401a5d89-bd67-4b67-a11f-14da09c10416","US 3740558","urn:lsid:biocol.org:col:15463","US",NA,NA,"2nd and 3rd escarpments (of four) of Kamakusa Mt., upper west-facing slopes below summit","1456073170","US","http://n2t.net/ark:/65665/3401a5d89-bd67-4b67-a11f-14da09c10416","Eugenia spruceana O.Berg",NA,1330,NA,NA,NA,1,"South America - Neotropics, Guyana, Cuyuni-Mazaruni","Diverse cloud forest with Licania, Ebenaceae, tree ferns, Arecaceae","7 June 2012","Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m33062bf1e-5a02-4a1c-9345-7252ab785983","http://creativecommons.org/licenses/by-nc-nd/4.0/"
"3802867388","Eugenia spruceana O.Berg",-6.973889,-58.396944,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:53.969+00:00",520,"PRESERVED_SPECIMEN","PRESENT",5416343,6,7707728,220,690,5014,3177662,5416343,5416343,"Eugenia spruceana O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia spruceana","Eugenia","spruceana","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Amazonas",2008,3,12,"2008-03-12",72,72,"2022-05-30T16:43:26.000+00:00","2024-08-01T12:21:53.969+00:00",FALSE,"urn:catalog:JBRJ:RB:1462961","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 831296","M. Sobral; A. Gallo de Oliveira","M. Sobral","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","11583","urn:catalog:JBRJ:RB:1462961","RB01462961","04.936.616/0001-20","JBRJ",NA,"Maués","Rio Tapajós, trecho 2, igarapé Labirinto.","3802867388","RB","urn:catalog:JBRJ:RB:1462961","Eugenia spruceana O.Berg",NA,NA,NA,NA,"Árvore em igapó, frutos maduros vermelhos e vináceos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/46/29/61/01462961.jpg","http://creativecommons.org/licenses/by-nc-nd/4.0/"
"1456072692","Eugenia spruceana O.Berg",5.20461,-60.5766,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:39:04.001+00:00",403,"PRESERVED_SPECIMEN","PRESENT",5416343,6,7707728,220,690,5014,3177662,5416343,5416343,"Eugenia spruceana O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia spruceana","Eugenia","spruceana","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Cuyuni-Mazaruni",2004,6,22,"2004-06-22",174,174,"2019-01-09T23:48:00.000+00:00","2024-08-02T12:39:04.001+00:00",FALSE,"http://n2t.net/ark:/65665/33fdf0fb9-506d-4899-a789-8034c2692318","none","none","be5b9c72-e499-42b8-a5dc-c27505cf232e","151c91ba-a521-4735-8c11-5abf8db7fb67",FALSE,"NMNH Extant Biology",NA,"H. D. Clarke, C. Perry, E. Tripp, S. R. Stern & D. Gittens","Holst, Bruce K.","WGS84","Magnoliopsida","GY","none","none","LATIN_AMERICA","Guyana","NORTH_AMERICA",NA,"11937","http://n2t.net/ark:/65665/33fdf0fb9-506d-4899-a789-8034c2692318","US 3554771","urn:lsid:biocol.org:col:15463","US",NA,NA,"Mt. Maringma, slope below sub-summit plateau","1456072692","US","http://n2t.net/ark:/65665/33fdf0fb9-506d-4899-a789-8034c2692318","Eugenia spruceana O.Berg",NA,1490,NA,NA,NA,1,"South America - Neotropics, Guyana, Cuyuni-Mazaruni","Dense forest on sandstone and peat with Schefflera, Euterpe and Licania","22 June 2004","Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m3ea172b04-b225-4a2f-a0bc-bbe890f7356b","http://creativecommons.org/licenses/by-nc-nd/4.0/"
"1930119560","Eugenia spruceana O.Berg",-19.22781,-39.96261,"gass84,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:14:23.853+00:00",415,"PRESERVED_SPECIMEN","PRESENT",5416343,6,7707728,220,690,5014,3177662,5416343,5416343,"Eugenia spruceana O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia spruceana","Eugenia","spruceana","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Espírito Santo",1999,2,8,"1999-02-08",39,39,NA,"2024-07-21T05:14:23.853+00:00",FALSE,"a63a3ba8-427e-43c1-82e6-c0eebcf0e2da","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,"Vascular plants",NA,"E. M. Nic Lughadha",NA,"WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The New York Botanical Garden","176","a63a3ba8-427e-43c1-82e6-c0eebcf0e2da","2422775","http://biocol.org/urn:lsid:biocol.org:col:15556","NY",NA,NA,"Reserva Florestal da Companhia Vale do Rio Doce. Aceiro Catalão com João Pedro, próximo ao córrego João Pedro.","1930119560","NY","a63a3ba8-427e-43c1-82e6-c0eebcf0e2da","Eugenia spruceana O.Berg",NA,NA,"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2673347",NA,NA,NA,NA,NA,"08 Feb 1999",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,"sheet","ICN","Linhares Mun.","en","PhysicalObject","66-98 ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/1653/846/02422775.jpg","http://creativecommons.org/licenses/by-nc-nd/4.0/"
"1928215679","Eugenia spruceana O.Berg",-9.022628,-69.439675,"mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:13:29.335+00:00",415,"PRESERVED_SPECIMEN","PRESENT",5416343,6,7707728,220,690,5014,3177662,5416343,5416343,"Eugenia spruceana O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia spruceana","Eugenia","spruceana","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Acre",1996,11,15,"1996-11-15",320,320,NA,"2024-07-21T05:13:29.335+00:00",FALSE,"1f88085b-2d2a-485b-af35-dedba1040d95","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,"Vascular plants",NA,"M. Silveira","B. K. Holst","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The New York Botanical Garden","1516","1f88085b-2d2a-485b-af35-dedba1040d95","330704","http://biocol.org/urn:lsid:biocol.org:col:15556","NY",NA,NA,"Rio Purus, margem esquerda, seringal Itatinga, colocaçao do Sr. Raimundo Cesar de Oliveira.","1928215679","NY","1f88085b-2d2a-485b-af35-dedba1040d95","Eugenia spruceana O.Berg",NA,NA,"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301471","1997-12-01T00:00:00",NA,NA,NA,"Floresta de Terra firme.","15 Nov 1996",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,"sheet","ICN","Manoel Urbano Mun.","en","PhysicalObject",NA,"2014-08-21","Georeferencing Quick Reference Guide, Version 2012","Google Maps (map data 2014); Manis Georef. Calculator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/496/352/00330704.jpg","http://creativecommons.org/licenses/by-nc-nd/4.0/"
"1929407821","Eugenia spruceana O.Berg",-2.333333,-65.166667,"gass84,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:13:59.744+00:00",415,"PRESERVED_SPECIMEN","PRESENT",5416343,6,7707728,220,690,5014,3177662,5416343,5416343,"Eugenia spruceana O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia spruceana","Eugenia","spruceana","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Amazonas",1991,1,9,"1991-01-09",9,9,NA,"2024-07-21T05:13:59.744+00:00",FALSE,"741811ba-4f99-4ef2-abbc-2cc03a9ea563","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,"Vascular plants",NA,"C. A. Cid Ferreira","M. L. Kawasaki","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The New York Botanical Garden","10018","741811ba-4f99-4ef2-abbc-2cc03a9ea563","01459605","http://biocol.org/urn:lsid:biocol.org:col:15556","NY",NA,NA,"Margem esquerda do rio Japurá, entre as Ilhas Mapixari e Cururu.","1929407821","NY","741811ba-4f99-4ef2-abbc-2cc03a9ea563","Eugenia spruceana O.Berg",NA,NA,"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1699327","1992-01-01T00:00:00","[Collector has used this collection number more than once.]",NA,NA,NA,"09 Jan 1991",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,"sheet","ICN","Maraã Mun.","en","PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/470/178/v-247-01459605.jpg","http://creativecommons.org/licenses/by-nc-nd/4.0/"
