"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","verbatimEventDate","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","coordinateUncertaintyInMeters","informationWithheld","networkKeys","individualCount","lifeStage","higherGeography","institutionKey","collectionKey","recordNumber","habitat","institutionID","islandGroup","island","locality","higherClassification","collectionID","elevation","otherCatalogNumbers","http...unknown.org.recordID","georeferenceRemarks","rights","occurrenceRemarks","associatedOccurrences","dynamicProperties","associatedTaxa","http...unknown.org.recordEnteredBy","reproductiveCondition","preparations","nomenclaturalCode","language","type","verbatimElevation","gadm","georeferencedDate","georeferenceProtocol","georeferenceSources","recordedByIDs.type","recordedByIDs.value","locationRemarks","elevationAccuracy","typeStatus","typifiedName","datasetID","ownerInstitutionCode","fieldNumber","http...unknown.org.license","http...unknown.org.rightsHolder","http...unknown.org.CatalogNumberNumeric","eventID","disposition","media_url","license"
"1318938928","Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.",18.1409,-66.9738,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:39:10.962+00:00",403,"PRESERVED_SPECIMEN","PRESENT",5418181,6,7707728,220,690,5014,3177662,5418181,5418181,"Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia stahlii","Eugenia","stahlii","SPECIES","ACCEPTED","NE",NA,"NORTH_AMERICA","Maricao",2014,9,6,"2014-09-06",249,249,"2024-03-22T15:35:00.000+00:00","2024-08-02T12:39:10.962+00:00",NA,FALSE,"http://n2t.net/ark:/65665/34cccff28-5743-4b87-a0f1-86f151b3b29f","none","none",FALSE,"NMNH Extant Biology","P. Acevedo-Rodriguez, J. Knight & O. Monsegur","Acevedo-Rodríguez, P., (BOT), Smithsonian Institution - National Museum of Natural History (UNITED STATES)","WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA",NA,"http://n2t.net/ark:/65665/34cccff28-5743-4b87-a0f1-86f151b3b29f",NA,NA,NA,"US","1318938928","http://n2t.net/ark:/65665/34cccff28-5743-4b87-a0f1-86f151b3b29f",NA,"US 3686619","US",NA,NA,NA,"Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.",NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",1,"Flowering","West Indies - Neotropics, Puerto Rico, Maricao, Greater Antilles, Puerto Rico","be5b9c72-e499-42b8-a5dc-c27505cf232e","151c91ba-a521-4735-8c11-5abf8db7fb67","15946","Remnant forest in recreational complex","urn:lsid:biocol.org:col:15463","Greater Antilles","Puerto Rico","Monte del Estado Recreation Area; along street by entrance of complex","Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m3a4aa183a-741c-44df-a098-1f553a39b0a9","Usage Conditions Apply"
"3762878366","Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.",18.32295,-65.8166,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:23.094+00:00",276,"PRESERVED_SPECIMEN","PRESENT",5418181,6,7707728,220,690,5014,3177662,5418181,5418181,"Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia stahlii","Eugenia","stahlii","SPECIES","ACCEPTED","NE",NA,"NORTH_AMERICA",NA,2008,12,10,"2008-12-10",345,345,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:23.094+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29220535",FALSE,"29220535","none","none",FALSE,NA,NA,NA,"WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA",NA,"29220535",NA,"12/10/2008",NA,"Plants","3762878366","2671cf31-5315-4437-bd6a-a62929565a45","47940","ASU0321506","ASU",NA,NA,NA,"Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.",NA,NA,NA,NA,NA,NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",NA,"Tropical Wet Forest, soil order: Ultisol",NA,NA,NA,"La Condesa","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Eugenia","a2e32c87-d320-4a01-bafd-a9182ae2e191",389,"CSP09060","2671cf31-5315-4437-bd6a-a62929565a45","MAP: 3460, MAT: 24.2","http://creativecommons.org/licenses/by-nc/3.0/","Tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP09/CSP09060_lg.jpg","Usage Conditions Apply"
"2270467150","Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.",18.1505,-66.9905,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:08.657+00:00",276,"PRESERVED_SPECIMEN","PRESENT",5418181,6,7707728,220,690,5014,3177662,5418181,5418181,"Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia stahlii","Eugenia","stahlii","SPECIES","ACCEPTED","NE",NA,"NORTH_AMERICA",NA,2001,8,15,"2001-08-15",227,227,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:08.657+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1110725",FALSE,"1110725","none","none",TRUE,NA,"Andrew Salywon; Neil Snow",NA,"WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA",NA,"1110725",NA,NA,NA,"Plants","2270467150","683d224a-e320-44ff-877f-ffea1aabf584","47940","ASU0016372","ASU",NA,NA,NA,"Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.",NA,NA,NA,NA,NA,NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","1279","Growing by roadside in thick stand of Bambusa vulgaris.",NA,NA,NA,"Mpio. de Maricao. Barrio Maricao Afuera. Rte 120, km 16.05 on road to Maricao from Sabana Grande.","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Eugenia","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,"240381","683d224a-e320-44ff-877f-ffea1aabf584",NA,"http://creativecommons.org/licenses/by-nc/3.0/","Tree 7m tall. Bark rough, irregularly brown and gray; calyx lobes light green, glandular, erect in fruit; petals white, horizontal at anthesis, abovate, 1-1.5cm long; filaments white, anthers light brown; hypanthium lime green; pedicaels green, verrucose; fruit globose, ca. 2cm in diameter.","herbariumSpecimenDuplicate: https://swbiodiversity.org/seinet/collections/individual/index.php?guid=629bf7a2-ff3a-4c83-aa91-44aa75f5f1c6","Tree 7 m tall. Bark rough, irregularly brown and gray; calyx lobes light green, glandular, erect in fruit; petals white, horizontal at anthesis, abovate, 1-1.5 cm long; filaments white, anthers light brown; hypanthium lime green; pedicaels green, verrucose; fruit globose, ca. 2 cm in diameter.","ecologicallyOccursWith: Bambusa vulgaris","marisin","flowers and fruits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0016/ASU0016372_lg.jpg","Usage Conditions Apply"
"2270467200","Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.",18.2833,-65.7833,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:08.749+00:00",276,"PRESERVED_SPECIMEN","PRESENT",5418181,6,7707728,220,690,5014,3177662,5418181,5418181,"Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia stahlii","Eugenia","stahlii","SPECIES","ACCEPTED","NE","1989-01-01T00:00:00","NORTH_AMERICA",NA,1987,1,4,"1987-01-04",4,4,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:08.749+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1110727",FALSE,"1110727","none","none",TRUE,NA,"B. M. Boom; M. Christ, R. Doenges, K. Griffin, A. Hartley, E. Kramer, N. Marshall, J. Rombold","L.R. Landrum, 1989.","WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA",NA,"1110727",NA,NA,NA,"Plants","2270467200","e2624684-7d4f-4fe2-affa-2d1983c606f1","47940","ASU0016373","ASU",NA,NA,NA,"Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.",NA,NA,NA,NA,NA,NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","6886",NA,NA,NA,NA,"Along Hwy 191, just S of jct with road to summit of El Yunque.","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Eugenia","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,"155927","e2624684-7d4f-4fe2-affa-2d1983c606f1",NA,"http://creativecommons.org/licenses/by-nc/3.0/","Tree 10cm dbh, 2.5m tall; flowers white.",NA,"Tree 10 cm DBH, 2.5m tall; flowers white.",NA,"marisin","flowers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0016/ASU0016373_lg.jpg","Usage Conditions Apply"
"1929698844","Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.",18.15306,-66.554167,"mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:15:56.190+00:00",415,"PRESERVED_SPECIMEN","PRESENT",5418181,6,7707728,220,690,5014,3177662,5418181,5418181,"Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia stahlii","Eugenia","stahlii","SPECIES","ACCEPTED","NE","1984-01-01T00:00:00","NORTH_AMERICA",NA,1984,5,23,"1984-05-23",144,144,NA,"2024-07-21T05:15:56.190+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1013902",FALSE,"88b9408c-1eb2-48dc-a170-3e15a4ab7085","none","none",FALSE,"Vascular plants","A. H. Liogier","A. H. Liogier","WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA","The New York Botanical Garden","88b9408c-1eb2-48dc-a170-3e15a4ab7085",NA,"23 May 1984",NA,"NY","1929698844","88b9408c-1eb2-48dc-a170-3e15a4ab7085",NA,"946302","NY",NA,NA,NA,"Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.",NA,NA,NA,NA,NA,NA,"ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72","35076",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,"Cerro Maravilla.",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sheet","ICN","en","PhysicalObject","3281 ft",NA,"2009-11-20","Online gazetteer","USGS Geographic Names Information System (GNIS), Google Earth (map data 2009)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/189/547/v-247-00946302.jpg","Usage Conditions Apply"
"1929981449","Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.",18.155975,-66.988822,"cdround,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:14:16.741+00:00",415,"PRESERVED_SPECIMEN","PRESENT",5418181,6,7707728,220,690,5014,3177662,5418181,5418181,"Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia stahlii","Eugenia","stahlii","SPECIES","ACCEPTED","NE","1984-01-01T00:00:00","NORTH_AMERICA",NA,1984,6,13,"1984-06-13",165,165,NA,"2024-07-21T05:14:16.741+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1013904",FALSE,"9cc775cc-f213-4b40-af4a-ed6442f447cc","none","none",FALSE,"Vascular plants","A. H. Liogier","A. H. Liogier","WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA","The New York Botanical Garden","9cc775cc-f213-4b40-af4a-ed6442f447cc",NA,"13 Jun 1984",NA,"NY","1929981449","9cc775cc-f213-4b40-af4a-ed6442f447cc",NA,"946295","NY",NA,NA,NA,"Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.",NA,NA,NA,NA,NA,NA,"ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72","35167",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,"Maricao State Forest.",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sheet","ICN","en","PhysicalObject","2625 ft",NA,"2009-05-07",NA,"Google Earth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/189/542/v-247-00946295.jpg","Usage Conditions Apply"
"1930832875","Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.",18.15306,-66.554167,"mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:14:45.612+00:00",415,"PRESERVED_SPECIMEN","PRESENT",5418181,6,7707728,220,690,5014,3177662,5418181,5418181,"Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia stahlii","Eugenia","stahlii","SPECIES","ACCEPTED","NE","1983-01-01T00:00:00","NORTH_AMERICA",NA,1983,6,7,"1983-06-07",158,158,NA,"2024-07-21T05:14:45.612+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1013903",FALSE,"d8d9f67a-a6f6-485f-8b56-4f9753e68c9a","none","none",FALSE,"Vascular plants","A. H. Liogier","A. H. Liogier","WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA","The New York Botanical Garden","d8d9f67a-a6f6-485f-8b56-4f9753e68c9a",NA,"07 Jun 1983",NA,"NY","1930832875","d8d9f67a-a6f6-485f-8b56-4f9753e68c9a",NA,"946301","NY",NA,NA,NA,"Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.",NA,NA,NA,NA,NA,NA,"ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72","34384","In forest.","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,"Cerro Maravilla.",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sheet","ICN","en","PhysicalObject","3281 ft",NA,"2009-11-20","Online gazetteer","USGS Geographic Names Information System (GNIS), Google Earth (map data 2009)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/189/546/v-247-00946301.jpg","Usage Conditions Apply"
"1928759021","Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.",18.155975,-66.988822,"cdround,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:15:33.293+00:00",415,"PRESERVED_SPECIMEN","PRESENT",5418181,6,7707728,220,690,5014,3177662,5418181,5418181,"Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia stahlii","Eugenia","stahlii","SPECIES","ACCEPTED","NE",NA,"NORTH_AMERICA",NA,1964,3,30,"1964-03-30",90,90,NA,"2024-07-21T05:15:33.293+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1013799",FALSE,"4616606a-ccfb-4979-b9e3-76baed0b9d69","none","none",FALSE,"Vascular plants","A. H. Liogier",NA,"WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA","The New York Botanical Garden","4616606a-ccfb-4979-b9e3-76baed0b9d69",NA,"30 Mar 1964",NA,"NY","1928759021","4616606a-ccfb-4979-b9e3-76baed0b9d69",NA,"946314","NY",NA,NA,NA,"Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.",NA,NA,NA,NA,NA,NA,"ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72","10770","Wet woods.","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,"Maricao State Forest.",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sheet","ICN","en","PhysicalObject","2625 ft",NA,"2009-05-07",NA,"Google Earth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/189/560/v-247-00946314.jpg","Usage Conditions Apply"
"1928850972","Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.",18.26309,-65.82904,"gass84,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:13:54.864+00:00",415,"PRESERVED_SPECIMEN","PRESENT",5418181,6,7707728,220,690,5014,3177662,5418181,5418181,"Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia stahlii","Eugenia","stahlii","SPECIES","ACCEPTED","NE",NA,"NORTH_AMERICA",NA,1964,3,21,"1964-03-21",81,81,NA,"2024-07-21T05:13:54.864+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1013914",FALSE,"4c8957a8-6304-4986-a77a-04c9b4269a9f","none","none",FALSE,"Vascular plants","A. H. Liogier",NA,"WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA","The New York Botanical Garden","4c8957a8-6304-4986-a77a-04c9b4269a9f",NA,"21 Mar 1964",NA,"NY","1928850972","4c8957a8-6304-4986-a77a-04c9b4269a9f",NA,"946290","NY",NA,NA,NA,"Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.",NA,NA,NA,NA,NA,NA,"ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72","10738",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,"Southern slope of El Toro, Luquillo Mts.",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sheet","ICN","en","PhysicalObject","1969 ft",NA,"2008-07-21",NA,"Google Earth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/189/537/v-247-00946290.jpg","Usage Conditions Apply"
"1927898195","Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.",18.321257,-65.81973,"mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:13:04.140+00:00",415,"PRESERVED_SPECIMEN","PRESENT",5418181,6,7707728,220,690,5014,3177662,5418181,5418181,"Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia stahlii","Eugenia","stahlii","SPECIES","ACCEPTED","NE",NA,"NORTH_AMERICA",NA,1964,4,18,"1964-04-18",109,109,NA,"2024-07-21T05:13:04.140+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1013913",FALSE,"093a6819-fef5-4065-932b-bbcdca4ee8b9","none","none",TRUE,"Vascular plants","A. H. Liogier",NA,"WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA","The New York Botanical Garden","093a6819-fef5-4065-932b-bbcdca4ee8b9",NA,"18 Apr 1964",NA,"NY","1927898195","093a6819-fef5-4065-932b-bbcdca4ee8b9",NA,"946291","NY",NA,NA,NA,"Eugenia stahlii (Kiaersk.) Krug & Urb. ex Urb.",NA,NA,NA,NA,NA,NA,"ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72","10858","In wet woods.","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,"El Verde, Luquillo Mts.",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sheet","ICN","en","PhysicalObject","1312-1640 ft",NA,"2010-07-30",NA,"Google Earth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/189/538/v-247-00946291.jpg","Usage Conditions Apply"
