"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","stateProvince","gadm","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","license","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","informationWithheld","http...unknown.org.nick","verbatimEventDate","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","continent","occurrenceRemarks","networkKeys","individualCount","lifeStage","elevation","higherGeography","institutionKey","collectionKey","recordNumber","habitat","institutionID","locality","higherClassification","collectionID","county","georeferencedBy","otherCatalogNumbers","georeferenceVerificationStatus","http...unknown.org.recordID","rights","http...unknown.org.recordEnteredBy","georeferenceSources","dynamicProperties","reproductiveCondition","preparations","nomenclaturalCode","language","type","verbatimElevation","elevationAccuracy","islandGroup","island","georeferencedDate","verbatimLocality","disposition","previousIdentifications","ownerInstitutionCode","associatedOccurrences","georeferenceProtocol","typeStatus","identificationRemarks","locationRemarks","media_url"
"1319212451","Mosiera xerophytica (Britton) Salywon",17.9372,-67.1925,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:39:14.409+00:00",403,"PRESERVED_SPECIMEN","PRESENT",3185156,6,7707728,220,690,5014,3185119,3185156,3185156,"Mosiera xerophytica (Britton) Salywon","Plantae","Tracheophyta","Myrtales","Myrtaceae","Mosiera","Mosiera xerophytica","Mosiera","xerophytica","SPECIES","ACCEPTED","NT",NA,NA,"Cabo Rojo",NA,2009,6,15,"2009-06-15",166,166,"2022-11-02T13:41:00.000+00:00","2024-08-02T12:39:14.409+00:00",NA,"Usage Conditions Apply",FALSE,"http://n2t.net/ark:/65665/358ec1cf5-fe7f-4a27-aff5-eb93daa119da","none","none",FALSE,"NMNH Extant Biology","F. S. Axelrod, L. Majeure & T. Majeure",NA,"WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA",NA,"http://n2t.net/ark:/65665/358ec1cf5-fe7f-4a27-aff5-eb93daa119da",NA,NA,NA,"US","1319212451","http://n2t.net/ark:/65665/358ec1cf5-fe7f-4a27-aff5-eb93daa119da",NA,"US 3627658","US",NA,NA,NA,"Mosiera xerophytica (Britton) Salywon","NORTH_AMERICA",NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",1,"Fruiting",5,"West Indies - Neotropics, Puerto Rico, Cabo Rojo","be5b9c72-e499-42b8-a5dc-c27505cf232e","151c91ba-a521-4735-8c11-5abf8db7fb67","14229","Dry coastal scrub.","urn:lsid:biocol.org:col:15463","Bo. Boquerón, northernmost Morillo de Cabo Rojo (with lighthouse).","Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m31a6769f6-34e2-4ee9-bca5-62c68ce2a9a3"
"1319089772","Mosiera xerophytica (Britton) Salywon",17.5653,-66.5752,"gass84,preneglon,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:41:04.891+00:00",403,"PRESERVED_SPECIMEN","PRESENT",3185156,6,7707728,220,690,5014,3185119,3185156,3185156,"Mosiera xerophytica (Britton) Salywon","Plantae","Tracheophyta","Myrtales","Myrtaceae","Mosiera","Mosiera xerophytica","Mosiera","xerophytica","SPECIES","ACCEPTED","NT",NA,NA,"Guánica","none",2006,5,18,"2006-05-18",138,138,"2019-01-10T12:09:00.000+00:00","2024-08-02T12:41:04.891+00:00",NA,"Usage Conditions Apply",FALSE,"http://n2t.net/ark:/65665/353799f90-f2c9-4a02-817b-450734c2a8c4","none","none",FALSE,"NMNH Extant Biology","O. Monsegur",NA,"WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA",NA,"http://n2t.net/ark:/65665/353799f90-f2c9-4a02-817b-450734c2a8c4",NA,NA,"18 May 2006","US","1319089772","http://n2t.net/ark:/65665/353799f90-f2c9-4a02-817b-450734c2a8c4",NA,"US 3532081","US",NA,NA,NA,"Mosiera xerophytica (Britton) Salywon",NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",1,NA,8,"West Indies - Neotropics, Puerto Rico, Guánica, Montalva","be5b9c72-e499-42b8-a5dc-c27505cf232e","151c91ba-a521-4735-8c11-5abf8db7fb67","728",NA,"urn:lsid:biocol.org:col:15463","Guánica Forest Reserve. End of road 325, at La Jungla.","Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8","Montalva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m3969a28cd-e973-46c9-b7e1-2eee744f485b"
"2270557745","Mosiera xerophytica (Britton) Salywon",17.9535,-66.9273,"cdc,gass84,rdativ,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:16.266+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3185156,6,7707728,220,690,5014,3185119,3185156,3185156,"Mosiera xerophytica (Britton) Salywon","Plantae","Tracheophyta","Myrtales","Myrtaceae","Mosiera","Mosiera xerophytica","Mosiera","xerophytica","SPECIES","ACCEPTED","NT",NA,4000,NA,NA,1999,7,4,"1999-07-04",185,185,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:16.266+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3099025","Usage Conditions Apply",FALSE,"3099025","none","none",FALSE,NA,"Andrew Salywon; David Seigler",NA,"WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA",NA,"3099025",NA,NA,NA,"Plants","2270557745","3e343a9d-924b-4086-a14f-c2c28b24edd5","168130","ASU0033097","ASU",NA,NA,NA,"Mosiera xerophytica (Britton) Salywon","NORTH_AMERICA","Shrub 2 m high, sterile. Rare.",NA,NA,NA,100,NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","796","Dry scrub forest on limestone.",NA,"Guanica; Hwy 2 just west of Ponce by Holiday Inn, km 221.2.","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Mosiera","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,"jssharpe","244609","reviewed - high confidence","3e343a9d-924b-4086-a14f-c2c28b24edd5","http://creativecommons.org/licenses/by-nc/3.0/","karrivas","georef batch tool 2012-07-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0033/ASU0033097_lg.jpg"
"2270559275","Mosiera xerophytica (Britton) Salywon",17.9535,-66.9273,"cdc,gass84,rdativ,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:16.198+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3185156,6,7707728,220,690,5014,3185119,3185156,3185156,"Mosiera xerophytica (Britton) Salywon","Plantae","Tracheophyta","Myrtales","Myrtaceae","Mosiera","Mosiera xerophytica","Mosiera","xerophytica","SPECIES","ACCEPTED","NT",NA,4000,NA,NA,1999,7,4,"1999-07-04",185,185,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:16.198+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3099027","Usage Conditions Apply",FALSE,"3099027","none","none",FALSE,NA,"Andrew Salywon; David Seigler",NA,"WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA",NA,"3099027",NA,NA,NA,"Plants","2270559275","4ec54794-23d3-499c-af96-4fd101cb838d","168130","ASU0033099","ASU",NA,NA,NA,"Mosiera xerophytica (Britton) Salywon","NORTH_AMERICA","Shrub 4 m tall, petals white, bark reddish-brown. Locally common.",NA,NA,NA,150,NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","792","Dry scrub forest on limestone.",NA,"Guanica; Barrio Carnero, Rt 334, at entrance of Guanica Forest Reserve.","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Mosiera","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,"jssharpe","244610","reviewed - high confidence","4ec54794-23d3-499c-af96-4fd101cb838d","http://creativecommons.org/licenses/by-nc/3.0/","karrivas","georef batch tool 2012-07-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0033/ASU0033099_lg.jpg"
"2270558531","Mosiera xerophytica (Britton) Salywon",17.9535,-66.9273,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:16.128+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3185156,6,7707728,220,690,5014,3185119,3185156,3185156,"Mosiera xerophytica (Britton) Salywon","Plantae","Tracheophyta","Myrtales","Myrtaceae","Mosiera","Mosiera xerophytica","Mosiera","xerophytica","SPECIES","ACCEPTED","NT",NA,4000,NA,NA,1999,7,4,"1999-07-04",185,185,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:16.128+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3099028","Usage Conditions Apply",FALSE,"3099028","none","none",FALSE,NA,"Andrew Salywon; David Seigler",NA,"WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA",NA,"3099028",NA,NA,NA,"Plants","2270558531","9ead5606-594f-4853-ad6e-fe3a7bea7d21","168130","ASU0033100","ASU",NA,NA,NA,"Mosiera xerophytica (Britton) Salywon","NORTH_AMERICA","Shrub 3 m tall, with few leaves, petals white.",NA,NA,NA,150,NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","794","Dry scub forest on limestone.",NA,"Guanica; Barrio Carnero, Rt 334, at entrance of Guanica Forest Reserve.","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Mosiera","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,"jssharpe","244588","reviewed - high confidence","9ead5606-594f-4853-ad6e-fe3a7bea7d21","http://creativecommons.org/licenses/by-nc/3.0/","alorozco","georef batch tool 2012-07-10","Shrub 3 m tall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0033/ASU0033100_lg.jpg"
"2270560498","Mosiera xerophytica (Britton) Salywon",17.9527,-66.8572,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:16.102+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3185156,6,7707728,220,690,5014,3185119,3185156,3185156,"Mosiera xerophytica (Britton) Salywon","Plantae","Tracheophyta","Myrtales","Myrtaceae","Mosiera","Mosiera xerophytica","Mosiera","xerophytica","SPECIES","ACCEPTED","NT",NA,500,"Yauco","none",1999,7,3,"1999-07-03",184,184,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:16.102+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3099029","Usage Conditions Apply",FALSE,"3099029","none","none",TRUE,NA,"Andrew Salywon; F. Axelrod, D. Seigler",NA,"WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA",NA,"3099029",NA,NA,NA,"Plants","2270560498","62fc5730-dff9-4cc4-9bcc-93da8554e819","168130","ASU0033101","ASU",NA,NA,NA,"Mosiera xerophytica (Britton) Salywon","NORTH_AMERICA","Large shrub 3.5 m tall with widely spaced branches, petals white the bark bronze grey.",NA,NA,NA,25,NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","783","Dry srub forest on limestone.",NA,"Barrio Barina, ridge above Bahia de la Ballena.","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Mosiera","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,"jssharpe","244611","reviewed - high confidence","62fc5730-dff9-4cc4-9bcc-93da8554e819","http://creativecommons.org/licenses/by-nc/3.0/","marisin","georef batch tool 2012-07-10","Large shrub 3.5m tall with widely spaced branches, petals white the bark bronze grey.","flowers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0033/ASU0033101_lg.jpg"
"2270560449","Mosiera xerophytica (Britton) Salywon",17.983333,-66.75,"cdc,gass84,rdativ,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:16.232+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3185156,6,7707728,220,690,5014,3185119,3185156,3185156,"Mosiera xerophytica (Britton) Salywon","Plantae","Tracheophyta","Myrtales","Myrtaceae","Mosiera","Mosiera xerophytica","Mosiera","xerophytica","SPECIES","ACCEPTED","NT","2003-07-01T00:00:00",NA,NA,"none",1991,6,20,"1991-06-20",171,171,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:16.232+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3099030","Usage Conditions Apply",FALSE,"3099030","none","none",TRUE,NA,"James S. Miller; R. E. Gereau, Chris D. Sherman, C. M. Taylor","Andrew Salywon","WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA",NA,"3099030",NA,NA,NA,"Plants","2270560449","10e964bc-64cb-4740-86b5-57b1e15a14cf","168130","ASU0033102","ASU",NA,NA,NA,"Mosiera xerophytica (Britton) Salywon","NORTH_AMERICA","5 anthers with 1 gland each. Shrub 3 m tall; corollas and stamens white. Ovules ca 105 in 1 ovary, only ca 3 becoming seeds. Placental pariental.",NA,NA,NA,20,NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","6493",NA,NA,"Municipio of Penvelas: Along route 127, 2 km W of route 384.","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Mosiera","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,NA,"193853",NA,"10e964bc-64cb-4740-86b5-57b1e15a14cf","http://creativecommons.org/licenses/by-nc/3.0/","alorozco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0033/ASU0033102_lg.jpg"
"1929472447","Mosiera xerophytica (Britton) Salywon",17.958069,-66.893507,"mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:14:07.641+00:00",415,"PRESERVED_SPECIMEN","PRESENT",3185156,6,7707728,220,690,5014,3185119,3185156,3185156,"Mosiera xerophytica (Britton) Salywon","Plantae","Tracheophyta","Myrtales","Myrtaceae","Mosiera","Mosiera xerophytica","Mosiera","xerophytica","SPECIES","ACCEPTED","NT",NA,NA,NA,NA,1988,5,10,"1988-05-10",131,131,NA,"2024-07-21T05:14:07.641+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2135249","Usage Conditions Apply",FALSE,"78a63b4b-9a40-4551-af06-a0803138f130","none","none",FALSE,"Vascular plants","A. H. Liogier",NA,"WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA","The New York Botanical Garden","78a63b4b-9a40-4551-af06-a0803138f130",NA,NA,"10 May 1988","NY","1929472447","78a63b4b-9a40-4551-af06-a0803138f130",NA,"01907688","NY",NA,NA,NA,"Mosiera xerophytica (Britton) Salywon","NORTH_AMERICA",NA,NA,NA,NA,NA,NA,"ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72","36531",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556","Guanica State Forest.",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,NA,NA,NA,NA,NA,"Google Earth",NA,NA,"sheet","ICN","en","PhysicalObject",NA,NA,NA,NA,"2010-04-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/1073/023/01907688.jpg"
"2270557237","Mosiera xerophytica (Britton) Salywon",18.3149,-64.7884,"cdc,gass84,rdativ,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:16.045+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3185156,6,7707728,220,690,5014,3185119,3185156,3185156,"Mosiera xerophytica (Britton) Salywon","Plantae","Tracheophyta","Myrtales","Myrtaceae","Mosiera","Mosiera xerophytica","Mosiera","xerophytica","SPECIES","ACCEPTED","NT","2003-01-01T00:00:00",500,"Saint John",NA,1985,6,3,"1985-06-03",154,154,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:16.045+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3099026","Usage Conditions Apply",FALSE,"3099026","none","none",FALSE,NA,"P. Acevedo; R. O. Woodbury, J. Matusak","Andrew Salywon","WGS84","Magnoliopsida","VI","none","none","LATIN_AMERICA","Virgin Islands (U.S.)","NORTH_AMERICA",NA,"3099026",NA,NA,NA,"Plants","2270557237","f96bbca2-7e13-4f25-a482-4c1767d2b266","168130","ASU0033098","ASU",NA,NA,NA,"Mosiera xerophytica (Britton) Salywon","NORTH_AMERICA","A shrub 2 m tall, white flowers.",NA,NA,NA,NA,NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","764",NA,NA,"Maria Bluff area.","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Mosiera","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,"jssharpe","146986","reviewed - high confidence","f96bbca2-7e13-4f25-a482-4c1767d2b266","http://creativecommons.org/licenses/by-nc/3.0/","karrivas","georef batch tool 2012-07-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0033/ASU0033098_lg.jpg"
"2270557488","Mosiera xerophytica (Britton) Salywon",18.3149,-64.7884,"cdc,gass84,rdativ,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:16.027+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3185156,6,7707728,220,690,5014,3185119,3185156,3185156,"Mosiera xerophytica (Britton) Salywon","Plantae","Tracheophyta","Myrtales","Myrtaceae","Mosiera","Mosiera xerophytica","Mosiera","xerophytica","SPECIES","ACCEPTED","NT","2005-01-01T00:00:00",500,"Saint John",NA,1984,6,16,"1984-06-16",168,168,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:16.027+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3099024","Usage Conditions Apply",FALSE,"3099024","none","none",FALSE,NA,"G. T. Prance; S. A. Mori, J. Earhart, A. E. Prance and R. O. Woodbury","L. R. Landrum","WGS84","Magnoliopsida","VI","none","none","LATIN_AMERICA","Virgin Islands (U.S.)","NORTH_AMERICA",NA,"3099024",NA,NA,NA,"Plants","2270557488","9dfa7fb5-8eda-45d5-9bd1-13c55b11a214","168130","ASU0033096","ASU",NA,NA,NA,"Mosiera xerophytica (Britton) Salywon","NORTH_AMERICA","Shrub 2 m; petals and filaments white.",NA,NA,NA,NA,NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","29298",NA,NA,"St. John; Marias Bluff. Coastal scrub.","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Mosiera","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,"jssharpe","260747","reviewed - high confidence","9dfa7fb5-8eda-45d5-9bd1-13c55b11a214","http://creativecommons.org/licenses/by-nc/3.0/","karrivas","georef batch tool 2012-07-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"herbariumSpecimenDuplicate: https://swbiodiversity.org/seinet/collections/individual/index.php?guid=992d7064-9f5e-43cc-ba27-8cfb4ce51067",NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0033/ASU0033096_lg.jpg"
