"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","verbatimEventDate","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","identifiedByIDs.type","identifiedByIDs.value","networkKeys","institutionKey","collectionKey","otherCatalogNumbers","recordNumber","institutionID","fieldNotes","municipality","locality","individualCount","gadm","higherGeography","county","higherClassification","collectionID","preparations","habitat","nomenclaturalCode","language","type","verbatimElevation","elevation","nomenclaturalStatus","ownerInstitutionCode","bibliographicCitation","georeferenceProtocol","organismID","locationID","accessRights","georeferenceSources","occurrenceRemarks","http...unknown.org.recordID","rights","http...unknown.org.recordEnteredBy","fieldNumber","georeferencedDate","identificationRemarks","materialSampleID","verbatimIdentification","recordedByIDs.type","recordedByIDs.value","georeferencedBy","georeferenceVerificationStatus","eventID","disposition","typeStatus","infraspecificEpithet","footprintSRS","typifiedName","media_url","license"
"2451449201","Myrceugenia myrtoides O.Berg",-29.717222,-53.7275,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:51.649+00:00",520,"PRESERVED_SPECIMEN","PRESENT",3185572,6,7707728,220,690,5014,3185514,3185572,3185572,"Myrceugenia myrtoides O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia myrtoides","Myrceugenia","myrtoides","SPECIES","ACCEPTED","NE","2014-11-11T00:00:00",NA,"SOUTH_AMERICA","Rio Grande do Sul",2014,11,11,"2014-11-11",315,315,"2019-11-11T21:55:01.000+00:00","2024-08-01T12:21:51.649+00:00",NA,FALSE,"urn:catalog:JBRJ:RB:1422491","none","none",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","M. Figueira","M. Figueira","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1422491",NA,NA,NA,"RB","2451449201","urn:catalog:JBRJ:RB:1422491",NA,"RB01422491","JBRJ",NA,NA,NA,"Myrceugenia myrtoides O.Berg",NA,NA,"4b0d8edb-7504-42c4-9349-63e86c01bf97","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa","RB 797824","260","04.936.616/0001-20","Ambiente com vegetação de origem antrópica, com elementos dos Domínios Atlântico e do Pampa, relevo suave.","Santa Maria","Campus da UFSM, próximo do Jardim Botânico.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/42/24/91/01422491.jpg","http://creativecommons.org/licenses/by/4.0/"
"2451558795","Myrceugenia myrtoides O.Berg",-29.757222,-53.8575,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:52.033+00:00",520,"PRESERVED_SPECIMEN","PRESENT",3185572,6,7707728,220,690,5014,3185514,3185572,3185572,"Myrceugenia myrtoides O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia myrtoides","Myrceugenia","myrtoides","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Rio Grande do Sul",2012,3,31,"2012-03-31",91,91,"2019-11-13T21:44:51.000+00:00","2024-08-01T12:21:52.033+00:00",NA,FALSE,"urn:catalog:JBRJ:RB:1423396","none","none",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","M. Figueira","M. Figueira","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1423396",NA,NA,NA,"RB","2451558795","urn:catalog:JBRJ:RB:1423396",NA,"RB01423396","JBRJ",NA,NA,NA,"Myrceugenia myrtoides O.Berg",NA,NA,"4b0d8edb-7504-42c4-9349-63e86c01bf97","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa","RB 798728","51","04.936.616/0001-20","Região de encraves dos Domínios Atlântico e Pampa, relevo suave-ondulado, solo arenoso.","Santa Maria","Campo de instrução de Santa Maria (CISM).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/42/33/96/01423396.jpg","http://creativecommons.org/licenses/by/4.0/"
"1930358893","Myrceugenia myrtoides O.Berg",-28.8875,-50.4386,"gass84,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:16:13.558+00:00",415,"PRESERVED_SPECIMEN","PRESENT",3185572,6,7707728,220,690,5014,3185514,3185572,3185572,"Myrceugenia myrtoides O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia myrtoides","Myrceugenia","myrtoides","SPECIES","ACCEPTED","NE","1999-01-01T00:00:00",NA,"SOUTH_AMERICA","Rio Grande do Sul",1999,2,25,"1999-02-25",56,56,NA,"2024-07-21T05:16:13.558+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=38261",FALSE,"b74e46bc-f5fc-43f9-a918-5075a8d77cd5","none","none",TRUE,"Vascular plants","M. Rossato","S. F. Smith","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The New York Botanical Garden","b74e46bc-f5fc-43f9-a918-5075a8d77cd5",NA,"25 Feb 1999",NA,"NY","1930358893","b74e46bc-f5fc-43f9-a918-5075a8d77cd5",NA,"615848","NY",NA,NA,NA,"Myrceugenia myrtoides O.Berg",NA,NA,NA,"ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",NA,"47","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,"Fazenda Rodeio Velho",NA,NA,NA,"Jaquirana Mun.",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556","sheet","Em beira da mata","ICN","en","PhysicalObject","3281 ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/2106/502/00615848.jpg","http://creativecommons.org/licenses/by/4.0/"
"1260817154","Myrceugenia myrtoides O.Berg",-28.8875,-50.43861,"gass84,colmano,inmafu","7bd65a7a-f762-11e1-a439-00145eb45e9a","90fd6680-349f-11d8-aa2d-b8a03c50a862","c4e134d3-c68f-406d-a116-6a37895602e0","90fd6680-349f-11d8-aa2d-b8a03c50a862","US","EML","2024-08-02T18:16:10.271+00:00","2024-08-02T20:16:47.522+00:00",340,"PRESERVED_SPECIMEN","PRESENT",3185572,6,7707728,220,690,5014,3185514,3185572,3185572,"Myrceugenia myrtoides O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia myrtoides","Myrceugenia","myrtoides","SPECIES","ACCEPTED","NE","1999-01-01T00:00:00",NA,"SOUTH_AMERICA","Rio Grande do Sul",1999,NA,NA,"1999",NA,NA,"2008-05-27T22:02:00.000+00:00","2024-08-02T20:16:47.522+00:00",NA,FALSE,"urn:catalog:MO:Tropicos:3403578","none","none",FALSE,"Tropicos","M. Rossato","Stephen f. Smith em I.","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","Missouri Botanical Garden","urn:catalog:MO:Tropicos:3403578",NA,NA,NA,"Tropicos","1260817154","urn:catalog:MO:Tropicos:3403578","22100990","3403578","MO",NA,NA,NA,"Myrceugenia myrtoides O.Berg",NA,NA,NA,"1be3aa67-8f90-4309-92f4-bd55426a8c09",NA,NA,"Rossato 47",NA,NA,NA,"Mun de Jaquiraan, Rodeio Velho em beria da mata",NA,NA,NA,NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:15859",NA,NA,"ICNafp",NA,"PhysicalObject",NA,1000,"No opinion","MOBOT","http://www.tropicos.org/Specimen/3403578",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://images.mobot.org/tropicosimages3/detailimages/TropicosImages2/100137000/0F8AB80C-D7BA-4F5C-99F2-CE5AC0AC5595.jpg","http://creativecommons.org/licenses/by/4.0/"
"1228611922","Myrceugenia myrtoides O.Berg",-30,-54,"gass84,ambcol,inmafu","90c853e6-56bd-480b-8e8f-6285c3f8d42b","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","7b8aff00-a9f8-11d8-944b-b8a03c50a862","US","EML","2023-09-22T16:42:30.311+00:00","2024-01-25T11:00:04.519+00:00",313,"PRESERVED_SPECIMEN","PRESENT",3185572,6,7707728,220,690,5014,3185514,3185572,3185572,"Myrceugenia myrtoides O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia myrtoides","Myrceugenia","myrtoides","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Rio Grande do Sul",1986,7,31,"1986-07-31",212,212,"2023-03-02T18:28:00.000+00:00","2024-01-25T11:00:04.519+00:00",NA,FALSE,"24076c4a-ce03-4521-a59f-5573dbfeef83","none","none",TRUE,"seeds-22-sep-2023","J. R. Mattos",NA,"WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The Field Museum of Natural History","24076c4a-ce03-4521-a59f-5573dbfeef83",NA,NA,NA,"Botany","1228611922","24076c4a-ce03-4521-a59f-5573dbfeef83",NA,"V0106016F","F",NA,NA,NA,"Myrceugenia myrtoides O.Berg",NA,NA,NA,"689b4219-8256-4c6e-890b-2e81405d4c58",NA,NA,"30567","F",NA,NA,"Rio Grande do Sul",NA,NA,"South America, Brazil, Rio Grande do Sul. [LL]",NA,"Plantae Spermatophyta Dicotyledoneae Myrtaceae","Botany",NA,NA,"ICBN",NA,NA,NA,NA,NA,"F",NA,"TGN - Centroid","2479474","802c5e8f-11f0-4fbe-a2c4-380d6db6ab1d","http://fieldmuseum.org/about/copyright-information","Getty Thesaurus of Geographic Names (TGN)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://fm-digital-assets.fieldmuseum.org/519/988/V0106016F.jpg","http://creativecommons.org/licenses/by/4.0/"
"1929438832","Myrceugenia myrtoides O.Berg",-30.0433191,-52.8947848,"cdrep,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:15:50.231+00:00",415,"PRESERVED_SPECIMEN","PRESENT",3185572,6,7707728,220,690,5014,3185514,3185572,3185572,"Myrceugenia myrtoides O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia myrtoides","Myrceugenia","myrtoides","SPECIES","ACCEPTED","NE","1983-01-01T00:00:00",NA,"SOUTH_AMERICA","Rio Grande do Sul",1983,10,NA,"1983-10",NA,NA,NA,"2024-07-21T05:15:50.231+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=38259",FALSE,"763f984b-f6fd-47af-b5bc-e78131b8b6bc","none","none",TRUE,"Vascular plants","M. Sobral","M. Sobral","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The New York Botanical Garden","763f984b-f6fd-47af-b5bc-e78131b8b6bc",NA,"Oct 1983",NA,"NY","1929438832","763f984b-f6fd-47af-b5bc-e78131b8b6bc",NA,"615844","NY",NA,NA,NA,"Myrceugenia myrtoides O.Berg",NA,NA,NA,"ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",NA,"2624","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,"Durasnal, Cachoeira do Sul",NA,NA,NA,"Cachoeira do Sul Mun.",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556","sheet","Em beira de mata","ICN","en","PhysicalObject",NA,NA,NA,NA,NA,"Other source",NA,NA,NA,"CRIA (Centro de Referência em Informação Ambiental)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/2106/498/00615844.jpg","http://creativecommons.org/licenses/by/4.0/"
"1928512695","Myrceugenia myrtoides O.Berg",-29.75,-51.17,"gass84,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:13:37.062+00:00",415,"PRESERVED_SPECIMEN","PRESENT",3185572,6,7707728,220,690,5014,3185514,3185572,3185572,"Myrceugenia myrtoides O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia myrtoides","Myrceugenia","myrtoides","SPECIES","ACCEPTED","NE","1980-01-01T00:00:00",NA,"SOUTH_AMERICA","Rio Grande do Sul",1977,12,29,"1977-12-29",363,363,NA,"2024-07-21T05:13:37.062+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=38266",FALSE,"34a61853-4669-40fd-8c03-3a073f22429b","none","none",TRUE,"Vascular plants","L. R. Landrum","L. R. Landrum","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The New York Botanical Garden","34a61853-4669-40fd-8c03-3a073f22429b",NA,"29 Dec 1977",NA,"NY","1928512695","34a61853-4669-40fd-8c03-3a073f22429b",NA,"615846","NY",NA,NA,NA,"Myrceugenia myrtoides O.Berg",NA,NA,NA,"ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",NA,"3023","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,"Arroio Manteiga",NA,NA,NA,"São Leopoldo Mun.",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556","sheet","Shrubby vegetation on hillside","ICN","en","PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/2106/500/00615846.jpg","http://creativecommons.org/licenses/by/4.0/"
"1928715488","Myrceugenia myrtoides O.Berg",-29.75,-51.17,"gass84,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:15:31.962+00:00",415,"PRESERVED_SPECIMEN","PRESENT",3185572,6,7707728,220,690,5014,3185514,3185572,3185572,"Myrceugenia myrtoides O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia myrtoides","Myrceugenia","myrtoides","SPECIES","ACCEPTED","NE","1980-01-01T00:00:00",NA,"SOUTH_AMERICA","Rio Grande do Sul",1977,12,29,"1977-12-29",363,363,NA,"2024-07-21T05:15:31.962+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=38265",FALSE,"43079af9-7ae5-4780-b933-5716860f31c3","none","none",TRUE,"Vascular plants","L. R. Landrum","L. R. Landrum","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The New York Botanical Garden","43079af9-7ae5-4780-b933-5716860f31c3",NA,"29 Dec 1977",NA,"NY","1928715488","43079af9-7ae5-4780-b933-5716860f31c3",NA,"615845","NY",NA,NA,NA,"Myrceugenia myrtoides O.Berg",NA,NA,NA,"ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",NA,"3045","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,"Club de Pesca e Caça",NA,NA,NA,"São Leopoldo Mun.",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556","sheet","At edge of forest and campo","ICN","en","PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/2106/499/00615845.jpg","http://creativecommons.org/licenses/by/4.0/"
"1928753505","Myrceugenia myrtoides O.Berg",-29.75,-51.17,"gass84,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:13:46.385+00:00",415,"PRESERVED_SPECIMEN","PRESENT",3185572,6,7707728,220,690,5014,3185514,3185572,3185572,"Myrceugenia myrtoides O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia myrtoides","Myrceugenia","myrtoides","SPECIES","ACCEPTED","NE","1980-01-01T00:00:00",NA,"SOUTH_AMERICA","Rio Grande do Sul",1977,12,29,"1977-12-29",363,363,NA,"2024-07-21T05:13:46.385+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=38263",FALSE,"45acff84-25ce-43a8-b64f-e673f4f0cd84","none","none",TRUE,"Vascular plants","L. R. Landrum","C. M. D. E. Legrand","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The New York Botanical Garden","45acff84-25ce-43a8-b64f-e673f4f0cd84",NA,"29 Dec 1977",NA,"NY","1928753505","45acff84-25ce-43a8-b64f-e673f4f0cd84",NA,"615843","NY",NA,NA,NA,"Myrceugenia myrtoides O.Berg",NA,NA,NA,"ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",NA,"3044","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,"Club de Pesca e Caça",NA,NA,NA,"São Leopoldo Mun.",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556","sheet","At edge of forest and campo","ICN","en","PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/2106/497/00615843.jpg","http://creativecommons.org/licenses/by/4.0/"
"2270677011","Myrceugenia myrtoides O.Berg",-29.75,-51.1667,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:06.138+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3185572,6,7707728,220,690,5014,3185514,3185572,3185572,"Myrceugenia myrtoides O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia myrtoides","Myrceugenia","myrtoides","SPECIES","ACCEPTED","NE","1980-01-01T00:00:00",NA,"SOUTH_AMERICA","Rio Grande do Sul",1977,12,29,"1977-12-29",363,363,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:06.138+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=764415",FALSE,"764415","none","none",TRUE,NA,"L. R. Landrum","L.R. Landrum, 1980.","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA",NA,"764415",NA,NA,NA,"Plants","2270677011","85bf1a1b-076c-4c75-aa28-c0f69cfeb0e2","33742","ASU0060672","ASU",NA,NA,NA,"Myrceugenia myrtoides O.Berg",NA,NA,NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","150887","3024",NA,NA,NA,"Arroio Manteiga.",NA,NA,NA,"Sao Leopoldo","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Myrceugenia","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,"Shrubby vegetation on hillside.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-3m tall.","85bf1a1b-076c-4c75-aa28-c0f69cfeb0e2","http://creativecommons.org/licenses/by-nc/3.0/","marisin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0060/ASU0060672_lg.jpg","http://creativecommons.org/licenses/by/4.0/"
