"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","license","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","verbatimEventDate","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","occurrenceRemarks","recordedByIDs.type","recordedByIDs.value","identifiedByIDs.type","identifiedByIDs.value","informationWithheld","elevation","institutionKey","collectionKey","otherCatalogNumbers","recordNumber","habitat","http...unknown.org.recordID","associatedTaxa","locality","rights","http...unknown.org.recordEnteredBy","higherClassification","collectionID","reproductiveCondition","networkKeys","elevationAccuracy","higherGeography","institutionID","nomenclaturalCode","county","http...unknown.org.license","type","http...unknown.org.rightsHolder","ownerInstitutionCode","http...unknown.org.CatalogNumberNumeric","verbatimElevation","individualCount","gadm","georeferenceProtocol","georeferenceRemarks","organismID","locationID","accessRights","georeferenceSources","georeferencedBy","georeferenceVerificationStatus","preparations","eventID","footprintSRS","bibliographicCitation","verbatimIdentification","media_url"
"2270516128","Myrceugenia pinifolia (Phil.) Kausel",-36.8797,-72.9878,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:13.631+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3185821,6,7707728,220,690,5014,3185514,3185821,3185821,"Myrceugenia pinifolia (Phil.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia pinifolia","Myrceugenia","pinifolia","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Biobio",2010,9,20,"2010-09-20",263,263,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:13.631+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1915037","http://creativecommons.org/licenses/by/4.0/",FALSE,"1915037","none","none",FALSE,NA,"L. R. Landrum",NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","NORTH_AMERICA",NA,"1915037",NA,NA,NA,"Plants","2270516128","4d4569df-a48d-4637-8701-00ce71174dc7","48025","ASU0058716","ASU",NA,NA,NA,"Myrceugenia pinifolia (Phil.) Kausel","Shrub ca. 1.5 m high",NA,NA,NA,NA,NA,130,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","281520","11509","stream bank in forest","4d4569df-a48d-4637-8701-00ce71174dc7","ecologicallyOccursWith: Nothofagus dombeyi","Concepcion, Reserva Nonguen, ca. 1 km from entrance along stream","http://creativecommons.org/licenses/by-nc/3.0/","Les","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Myrceugenia","a2e32c87-d320-4a01-bafd-a9182ae2e191","fruit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0058/ASU0058716_lg.jpg"
"574752797","Myrceugenia pinifolia (Phil.) Kausel",-37.2225,-73.021111,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:59.543+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185821,6,7707728,220,690,5014,3185514,3185821,3185821,"Myrceugenia pinifolia (Phil.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia pinifolia","Myrceugenia","pinifolia","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Bío-Bío",2004,11,13,"2004-11-13",318,318,NA,"2024-07-30T17:31:59.543+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"https://data.rbge.org.uk/herb/E00212465","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00212465",NA,"13th November 2004",NA,"E","574752797","https://data.rbge.org.uk/herb/E00212465",NA,"E00212465","RBGE",NA,NA,NA,"Myrceugenia pinifolia (Phil.) Kausel",NA,NA,NA,NA,NA,NA,112,"0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc",NA,"1314","Overhanging river with Podocarpus salignus and Nothofagus obliqua secondary forest.",NA,NA,"Chile:Región VIII [Biobío]:Provincia de Concepción:Santa Juana:Fifty meters after Pte Eucalypto (Pte Papal) on the Río Lias",NA,NA,NA,"https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",0,"Temperate South America","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Concepción","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","194429","112m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00212465/manifest"
"574852443","Myrceugenia pinifolia (Phil.) Kausel",-37.135556,-73.124167,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:59.527+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185821,6,7707728,220,690,5014,3185514,3185821,3185821,"Myrceugenia pinifolia (Phil.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia pinifolia","Myrceugenia","pinifolia","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Bío-Bío",2004,11,15,"2004-11-15",320,320,NA,"2024-07-30T17:31:59.527+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"https://data.rbge.org.uk/herb/E00212466","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00212466",NA,"15th November 2004",NA,"E","574852443","https://data.rbge.org.uk/herb/E00212466",NA,"E00212466","RBGE",NA,NA,NA,"Myrceugenia pinifolia (Phil.) Kausel",NA,NA,NA,NA,NA,NA,136,"0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc",NA,"1351","Ravine with large river and very little native vegetation remaining - mostly Acaci., Pinus radiata and Eucalyptu.. Native trees - Laureliopsis philippiana an Nothofagus obliqu..",NA,NA,"Chile:Región VIII [Biobío]:Provincia de Arauco:Colcura. Predio Chivilingo 2,  Puente Melizos 1",NA,NA,NA,"https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",0,"Temperate South America","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Arauco","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","194890","136m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00212466/full/300,/0/default.jpg"
"574753810","Myrceugenia pinifolia (Phil.) Kausel",-36.801944,-72.795833,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:59.851+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185821,6,7707728,220,690,5014,3185514,3185821,3185821,"Myrceugenia pinifolia (Phil.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia pinifolia","Myrceugenia","pinifolia","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Bío-Bío",2004,11,13,"2004-11-13",318,318,NA,"2024-07-30T17:31:59.851+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"https://data.rbge.org.uk/herb/E00212467","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00212467",NA,"13th November 2004",NA,"E","574753810","https://data.rbge.org.uk/herb/E00212467",NA,"E00212467","RBGE",NA,NA,NA,"Myrceugenia pinifolia (Phil.) Kausel",NA,NA,NA,NA,NA,NA,89,"0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc",NA,"1324","River margin in dense shade of exotic trees including Acacia dealbat.. Only a few specimens of remnant  native species - Cryptocarya alb., Blepharocalyx cruckshanksi..",NA,NA,"Chile:Región VIII [Biobío]:Provincia de Concepción:Florida:1 km west of Puente 7 on road from Concepción to Florida",NA,NA,NA,"https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",0,"Temperate South America","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Concepción","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","194535","89m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00212467/manifest"
"574871231","Myrceugenia pinifolia (Phil.) Kausel",-35.979444,-72.689167,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:58.467+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185821,6,7707728,220,690,5014,3185514,3185821,3185821,"Myrceugenia pinifolia (Phil.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia pinifolia","Myrceugenia","pinifolia","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Maule",2003,1,27,"2003-01-27",27,27,NA,"2024-07-30T17:31:58.467+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"https://data.rbge.org.uk/herb/E00158490","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00158490",NA,"27th January 2003",NA,"E","574871231","https://data.rbge.org.uk/herb/E00158490",NA,"E00158490","RBGE",NA,NA,NA,"Myrceugenia pinifolia (Phil.) Kausel",NA,NA,NA,NA,NA,NA,340,"0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc",NA,"207","Maulino forest; river side edges;  Vegetation: Aextoxicon punctatu., Nothofagus glauc., Podocarpus salignu., Aristotelia chilensi.,  Laurelia sempervirens and Berberidopsis corallin.. Riverside shrubs include Myrceugenia pinifoli., Fuchsia magellanic., Ugni candollei with Tropaeoleum ciliatum and Berberidopsis corallina as climbers. Regeneration of Pitavia punctata relatively good.",NA,NA,"Chile:Región VII [Maule]:Provincia de Cauquenes:Cauquenes:Reserva Nacional Los Queules, Quebrada Ramadillas, north slopes next to the river",NA,NA,NA,"https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",0,"Temperate South America","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Cauquenes","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","170941","340m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00158490/manifest"
"574854905","Myrceugenia pinifolia (Phil.) Kausel",-35.833056,-72.511667,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:58.592+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185821,6,7707728,220,690,5014,3185514,3185821,3185821,"Myrceugenia pinifolia (Phil.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia pinifolia","Myrceugenia","pinifolia","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Maule",2003,1,26,"2003-01-26",26,26,NA,"2024-07-30T17:31:58.592+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"https://data.rbge.org.uk/herb/E00158565","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00158565",NA,"26th January 2003",NA,"E","574854905","https://data.rbge.org.uk/herb/E00158565",NA,"E00158565","RBGE",NA,NA,NA,"Myrceugenia pinifolia (Phil.) Kausel",NA,NA,NA,NA,NA,NA,191,"0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc",NA,"163","Water margins and poorly drained areas prone to flooding. Pitavia always associated with Drimys winter.. Other plants present include Luma cheque., Desfontainia spinos., Aextoxico., Gaultheria tenuifoli., Luma apiculat..Chusquea s., Persea lingue and Tepualia stipulari.. Surrounding forest dominated by Nothofagus alessandri., N. glauca and N. dombey..;  Vegetation: Pitavia always associated with Drimys winter.. Other plants present include Luma cheque., Desfontainia spinos., Aextoxico., Gaultheria tenuifoli., Luma apiculat..Chusquea s., Persea lingue and Tepualia stipulari.. Surrounding forest dominated by Nothofagus alessandri., N. glauca and N. dombey..",NA,NA,"Chile:Región VII [Maule]:Provincia de Cauquenes:Chanco:Reserva Los Ruiles, Sector Los Ruiles, Area La Tupia; section starting 100m downstream of CONAF headquarters on the north bank of the Río Curanilahue",NA,NA,NA,"https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",0,"Temperate South America","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Cauquenes","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","170589","191m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00158565/manifest"
"574655541","Myrceugenia pinifolia (Phil.) Kausel",-35.833056,-72.511667,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:58.496+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185821,6,7707728,220,690,5014,3185514,3185821,3185821,"Myrceugenia pinifolia (Phil.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia pinifolia","Myrceugenia","pinifolia","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Maule",2003,1,26,"2003-01-26",26,26,NA,"2024-07-30T17:31:58.496+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"https://data.rbge.org.uk/herb/E00158631","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00158631",NA,"26th January 2003",NA,"E","574655541","https://data.rbge.org.uk/herb/E00158631",NA,"E00158631","RBGE",NA,NA,NA,"Myrceugenia pinifolia (Phil.) Kausel",NA,NA,NA,NA,NA,NA,191,"0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc",NA,"165","Water margins and poorly drained areas prone to flooding. Pitavia always associated with Drimys winter.. Other plants present include Luma cheque., Desfontainia spinos., Aextoxico., Gaultheria tenuifoli., Luma apiculat..Chusquea s., Persea lingue and Tepualia stipulari.. Surrounding forest dominated by Nothofagus alessandri., N. glauca and N. dombey..;  Vegetation: Pitavia always associated with Drimys winter.. Other plants present include Luma cheque., Desfontainia spinos., Aextoxico., Gaultheria tenuifoli., Luma apiculat..Chusquea s., Persea lingue and Tepualia stipulari.. Surrounding forest dominated by Nothofagus alessandri., N. glauca and N. dombey..",NA,NA,"Chile:Región VII [Maule]:Provincia de Cauquenes:Chanco:Reserva Los Ruiles, Sector Los Ruiles, Area La Tupia; section starting 100m downstream of CONAF headquarters on the north bank of the Río Curanilahue",NA,NA,NA,"https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",0,"Temperate South America","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Cauquenes","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","170591","191m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00158631/full/300,/0/default.jpg"
"574655539","Myrceugenia pinifolia (Phil.) Kausel",-35.833056,-72.511667,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:58.472+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185821,6,7707728,220,690,5014,3185514,3185821,3185821,"Myrceugenia pinifolia (Phil.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia pinifolia","Myrceugenia","pinifolia","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Maule",2003,1,26,"2003-01-26",26,26,NA,"2024-07-30T17:31:58.472+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"https://data.rbge.org.uk/herb/E00158636","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00158636",NA,"26th January 2003",NA,"E","574655539","https://data.rbge.org.uk/herb/E00158636",NA,"E00158636","RBGE",NA,NA,NA,"Myrceugenia pinifolia (Phil.) Kausel",NA,NA,NA,NA,NA,NA,191,"0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc",NA,"164","Water margins and poorly drained areas prone to flooding. Pitavia always associated with Drimys winter.. Other plants present include Luma cheque., Desfontainia spinos., Aextoxico., Gaultheria tenuifoli., Luma apiculat..Chusquea s., Persea lingue and Tepualia stipulari.. Surrounding forest dominated by Nothofagus alessandri., N. glauca and N. dombey..;  Vegetation: Pitavia always associated with Drimys winter.. Other plants present include Luma cheque., Desfontainia spinos., Aextoxico., Gaultheria tenuifoli., Luma apiculat..Chusquea s., Persea lingue and Tepualia stipulari.. Surrounding forest dominated by Nothofagus alessandri., N. glauca and N. dombey..",NA,NA,"Chile:Región VII [Maule]:Provincia de Cauquenes:Chanco:Reserva Los Ruiles, Sector Los Ruiles, Area La Tupia; section starting 100m downstream of CONAF headquarters on the north bank of the Río Curanilahue",NA,NA,NA,"https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",0,"Temperate South America","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Cauquenes","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","170590","191m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00158636/manifest"
"575306083","Myrceugenia pinifolia (Phil.) Kausel",-36.7,-72.933333,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:58.470+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185821,6,7707728,220,690,5014,3185514,3185821,3185821,"Myrceugenia pinifolia (Phil.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia pinifolia","Myrceugenia","pinifolia","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Bío-Bío",2003,2,4,"2003-02-04",35,35,NA,"2024-07-30T17:31:58.470+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"https://data.rbge.org.uk/herb/E00158582","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00158582",NA,"4th February 2003",NA,"E","575306083","https://data.rbge.org.uk/herb/E00158582",NA,"E00158582","RBGE",NA,NA,NA,"Myrceugenia pinifolia (Phil.) Kausel",NA,NA,NA,NA,NA,NA,NA,"0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc",NA,"498","Boggy stream margins and drier slopes above.",NA,NA,"Chile:Región VIII [Biobío]:Provincia de Concepción:Penco:Aguas Primeras Bajas, close to bridge; 0.5 km from the Quebrada Honda 1",NA,NA,NA,"https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",NA,"Temperate South America","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Concepción","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","170744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00158582/full/300,/0/default.jpg"
"575279743","Myrceugenia pinifolia (Phil.) Kausel",-37.572222,-73.364167,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:57.514+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185821,6,7707728,220,690,5014,3185514,3185821,3185821,"Myrceugenia pinifolia (Phil.) Kausel","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","Myrceugenia pinifolia","Myrceugenia","pinifolia","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Bío-Bío",1998,3,11,"1998-03-11",70,70,NA,"2024-07-30T17:31:57.514+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"https://data.rbge.org.uk/herb/E00096215","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00096215",NA,"11th March 1998",NA,"E","575279743","https://data.rbge.org.uk/herb/E00096215",NA,"E00096215","RBGE",NA,NA,NA,"Myrceugenia pinifolia (Phil.) Kausel",NA,NA,NA,NA,NA,NA,110,"0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc",NA,"514","Densely vegetated riverside margin with tall trees.",NA,NA,"Chile:Región VIII [Biobío]:Prov. de Arauco:Lebu:Río Trongol",NA,NA,NA,"https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",0,"Temperate South America","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Arauco","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","67592","110m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00096215/manifest"
