"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","infraspecificEpithet","taxonRank","taxonomicStatus","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","verbatimEventDate","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","informationWithheld","occurrenceRemarks","iucnRedListCategory","gadm","distanceFromCentroidInMeters","identificationRemarks","recordedByIDs.type","recordedByIDs.value","identifiedByIDs.type","identifiedByIDs.value","networkKeys","elevation","recordNumber","habitat","georeferenceProtocol","locality","eventRemarks","higherClassification","higherGeography","municipality","institutionKey","institutionID","nomenclaturalCode","county","language","type","reproductiveCondition","dynamicProperties","verbatimElevation","nomenclaturalStatus","ownerInstitutionCode","bibliographicCitation","collectionID","preparations","disposition","locationRemarks","previousIdentifications","collectionKey","otherCatalogNumbers","http...unknown.org.recordID","rights","http...unknown.org.recordEnteredBy","georeferenceSources","lifeStage","fieldNumber","organismID","locationID","accessRights","individualCount","associatedTaxa","elevationAccuracy","georeferencedBy","georeferenceVerificationStatus","island","verbatimTaxonRank","associatedOccurrences","eventID","georeferenceRemarks","identificationQualifier","georeferencedDate","establishmentMeans","typeStatus","materialSampleID","verbatimIdentification","fieldNotes","typifiedName","media_url","license"
"4519392875","Calyptranthes chytraculia (L.) Sw.",18.198638,-77.257611,"cdc,cdround,gass84,inmano","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:14:47.330+00:00",407,"PRESERVED_SPECIMEN","PRESENT",3181268,6,7707728,220,690,5014,3173889,10750299,10750299,"Myrcia chytraculia (L.) A.R.Lourenço & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia chytraculia","Calyptranthes","chytraculia",NA,"SPECIES","SYNONYM",NA,NA,"NORTH_AMERICA",NA,2015,3,17,"2015-03-17T00:00",76,76,NA,"2024-08-02T01:14:47.330+00:00",NA,FALSE,"K000771902","none","none",FALSE,NA,"Campbell, K.; Vasconcelos, T.N.C.; Lucas, E.; Meikle, J.",NA,"WGS84","Magnoliopsida","JM","none","none","LATIN_AMERICA","Jamaica","EUROPE",NA,"K000771902",NA,NA,NA,"Herbarium","4519392875","http://specimens.kew.org/herbarium/K000771902",NA,"K000771902",NA,NA,NA,NA,"Calyptranthes chytraculia (L.) Sw.",NA,NA,"LC",NA,3628.76164254104,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",713,"201530","Dry forest.","Label","St Ann Parish, Mason River Reserve, Park borders","Small tree of 4.5m. Young buds.","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://d2seqvvyy3b8p2.cloudfront.net/b4aec752a2e45e349480126227df654c.jpg","http://creativecommons.org/licenses/by/4.0/"
"1503276730","Myrcia zuzygium (L.) A.R.Lourenço & E.Lucas",18.1997,-77.3944,"cdc,gass84,incomis","af1b4db0-c8ce-4a95-b700-8a6a02bed9d6","253fc67c-c7fb-4c85-88f5-43ac6d9dc8a9","40dee7df-00ee-4965-bcaf-5291dbab4b08","253fc67c-c7fb-4c85-88f5-43ac6d9dc8a9","US","EML","2024-01-26T19:01:55.931+00:00","2024-01-29T12:47:11.038+00:00",398,"PRESERVED_SPECIMEN","PRESENT",10670453,6,7707728,220,690,5014,3173889,10750299,11654916,"Myrcia chytraculia var. zuzygium (L.) G.P.Burton & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia chytraculia","Myrcia","zuzygium",NA,"SPECIES","SYNONYM","2018-11-25T00:00:00",NA,"NORTH_AMERICA","Middlesex Co.",2015,5,5,"2015-05-05",125,125,NA,"2024-01-29T12:47:11.038+00:00",NA,FALSE,"6BE691A5-CF3A-405C-85A6-D7B0742F81EA","none","none",FALSE,NA,"A. R. Franck, A. Oberli, P.A. Lewis, P. Rose, A. Reid","L. C. Noel","WGS84","Magnoliopsida","JM","none","none","LATIN_AMERICA","Jamaica","NORTH_AMERICA",NA,"6BE691A5-CF3A-405C-85A6-D7B0742F81EA",NA,NA,"4 km SW of B3 junction at Cave Valley.","Herb","1503276730","6BE691A5-CF3A-405C-85A6-D7B0742F81EA",NA,"280139","USF",NA,NA,"307398","Myrcia zuzygium (L.) A.R.Lourenço & E.Lucas",NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,750,"3820","Limestone forest.",NA,"Peckham Woods, 4 km SW of B3 junction at Cave Valley.",NA,"Plantae | Dicots | Myrtaceae","Jamaica|Middlesex Co.|Clarendon Par.","Peckham Woods","efc9e42f-509d-47fe-a30a-1bbd7ac8ba31","urn:lsid:biocol.org:col:15638","ICN","Clarendon Par.","en","PhysicalObject","Bud","{""habit"":""Shrub to 3 m; flower buds yellow-green with upper half becoming reddish.""}","750 m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://cdn.plantatlas.org/img/specimens/USF/280139.jpg","http://creativecommons.org/licenses/by/4.0/"
"4441029389","Calyptranthes chytraculia (L.) Sw.",8.680667,-83.576028,"cdround,gass84,colmano,inmafu,diffown","e053ff53-c156-4e2e-b9b5-4462e9625424","90fd6680-349f-11d8-aa2d-b8a03c50a862","c4e134d3-c68f-406d-a116-6a37895602e0","90fd6680-349f-11d8-aa2d-b8a03c50a862","US","EML","2024-08-02T18:32:16.663+00:00","2024-08-02T19:58:49.811+00:00",102,"PRESERVED_SPECIMEN","PRESENT",3181268,6,7707728,220,690,5014,3173889,10750299,10750299,"Myrcia chytraculia (L.) A.R.Lourenço & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia chytraculia","Calyptranthes","chytraculia",NA,"SPECIES","SYNONYM","2014-01-01T00:00:00",NA,"NORTH_AMERICA","Puntarenas",2014,4,10,"2014-04-10",100,100,"2023-11-16T07:50:00.000+00:00","2024-08-02T19:58:49.811+00:00",NA,FALSE,"urn:catalog:MO:Tropicos:103425257","none","none",TRUE,"Tropicos","Nelson Zamora","Zamora Villalobos, Nelson A.","WGS84","Magnoliopsida","CR","none","none","LATIN_AMERICA","Costa Rica","NORTH_AMERICA","Missouri Botanical Garden","urn:catalog:MO:Tropicos:103425257",NA,NA,NA,"Tropicos","4441029389","urn:catalog:MO:Tropicos:103425257","22102077","103425257","CR",NA,NA,NA,"Calyptranthes chytraculia (L.) Sw.",NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,395,"Zamora Villalobos 6646",NA,NA,"Área de Conservación Osa, Península de Osa. Reserva Forestal Golfo Dulce.  Rancho Quemado, Fila Rancho Quemado. Sendero a Cerro Brujo. CCR10042014.",NA,NA,NA,NA,"6dcf2ee2-c348-4b04-9ef6-1e10109f2136",NA,"ICNafp","Osa",NA,"PhysicalObject",NA,NA,NA,"Legitimate","MOBOT","http://www.tropicos.org/Specimen/103425257","http://biocol.org/urn:lsid:biocol.org:col:15859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://images.mobot.org/tropicosimages5/detailimages/TropicosImagesVol5/101905000/530F1107-DE26-4DB2-A5DF-039C5DF60FE6.jpg","http://creativecommons.org/licenses/by/4.0/"
"4519393874","Calyptranthes chytraculia (L.) Sw.",9.738056,-82.8235,"cdc,cdround,gass84,inmano","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:15:32.530+00:00",407,"PRESERVED_SPECIMEN","PRESENT",3181268,6,7707728,220,690,5014,3173889,10750299,10750299,"Myrcia chytraculia (L.) A.R.Lourenço & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia chytraculia","Calyptranthes","chytraculia",NA,"SPECIES","SYNONYM","2011-10-01T00:00:00",NA,"NORTH_AMERICA",NA,2011,8,23,"2011-08-23T00:00",235,235,NA,"2024-08-02T01:15:32.530+00:00",NA,FALSE,"K000771904","none","none",TRUE,NA,"Estrada, A.; Lobo, S. & Ruiz-Boyer, A.","Estrada, A.","WGS84","Magnoliopsida","CR","none","none","LATIN_AMERICA","Costa Rica","EUROPE",NA,"K000771904",NA,NA,NA,"Herbarium","4519393874","http://specimens.kew.org/herbarium/K000771904",NA,"K000771904",NA,NA,NA,NA,"Calyptranthes chytraculia (L.) Sw.",NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",1,"5049","Creciendo a orilla de estero,","Label","Cahuita. P.N. Cahuita. Sector Cahuita. Sendero de Playa Blanca.","Arbolito de 5 m. Frutos verdes.","Myrtaceae","Talamanca","Talamanca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://d2seqvvyy3b8p2.cloudfront.net/9cce89743b57ee1299204535ca08eb40.jpg","http://creativecommons.org/licenses/by/4.0/"
"1457747629","Calyptranthes zuzygium (L.) Sw.",25.675,-80.268333,"cdc,cdround,gass84,colmano,inmafu","b89d52a2-861d-4388-adad-c0da3d55fc78","8483a1f0-1032-11db-ae00-b8a03c50a862","12fadca0-d638-416d-8cee-6f29ef37a249","8483a1f0-1032-11db-ae00-b8a03c50a862","US","EML","2024-08-05T04:01:24.363+00:00","2024-08-05T04:07:00.652+00:00",2274,"PRESERVED_SPECIMEN","PRESENT",3181563,6,7707728,220,690,5014,3173889,10750299,11654916,"Myrcia chytraculia var. zuzygium (L.) G.P.Burton & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia chytraculia","Calyptranthes","zuzygium",NA,"SPECIES","SYNONYM",NA,NA,"NORTH_AMERICA","Florida",2008,1,3,"2008-01-03",3,3,NA,"2024-08-05T04:07:00.652+00:00","http://specifyportal.flmnh.ufl.edu/herbarium/?filter=catalogNumber:234407",FALSE,"0b6a1209-b3d9-42fd-b391-7f08c6f601f5","none","none",TRUE,NA,"J. Richard Abbott",NA,"WGS84","Magnoliopsida","US","none","none","NORTH_AMERICA","United States of America","NORTH_AMERICA","University of Florida","0b6a1209-b3d9-42fd-b391-7f08c6f601f5",NA,"3 January 2008","Miami, Coral Gables, Fairchild Tropical Botanic Garden, 10901 Old Cutler Road.",NA,"1457747629","0b6a1209-b3d9-42fd-b391-7f08c6f601f5",NA,"234407","FLAS",NA,NA,NA,"Calyptranthes zuzygium (L.) Sw.","location information not given for endangered species",NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"24064",NA,NA,NA,NA,NA,NA,NA,"2bfdf57f-35bd-450a-b830-a5189c2d836d","University of Florida Herbarium","ICN","Miami-Dade County",NA,NA,"Vegetative",NA,NA,NA,"FLAS",NA,NA,"Preserved herbarium specimen","FLASCAT","Coral Gables: Fairchild Tropical Botanic Garden","[Orig. id.:] Calyptranthes zuzygium (L.) Sw.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://cdn.floridamuseum.ufl.edu/Herbarium/1811989b-7a34-41fd-8390-80e4dcc63ffc","http://creativecommons.org/licenses/by/4.0/"
"3763061622","Calyptranthes chytraculia (L.) Sw.",10.01439,-83.0678,"cdc,gass84,inmafu","85714c48-f762-11e1-a439-00145eb45e9a","57254bd0-8256-11d8-b7ed-b8a03c50a862","60454014-f762-11e1-a439-00145eb45e9a","57254bd0-8256-11d8-b7ed-b8a03c50a862","DE","BIOCASE","2023-12-05T09:13:43.838+00:00","2024-01-25T10:15:03.028+00:00",271,"PRESERVED_SPECIMEN","PRESENT",3181268,6,7707728,220,690,5014,3173889,10750299,10750299,"Myrcia chytraculia (L.) A.R.Lourenço & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia chytraculia","Calyptranthes","chytraculia",NA,"SPECIES","SYNONYM",NA,NA,"NORTH_AMERICA",NA,2008,5,6,"2008-05-06",127,127,NA,"2024-01-25T10:15:03.028+00:00","https://herbarium.bgbm.org/object/B101143142",FALSE,"https://herbarium.bgbm.org/object/B101143142","none","none",TRUE,NA,"Solano,D., González Brenes,F.A., Soto,A., Villalobos,R., Jimenez,J.M., Solís,M., Herrera,A. & Chacón Chavarría,O.","D. Solano","WGS84","Magnoliopsida","CR","none","none","LATIN_AMERICA","Costa Rica","EUROPE",NA,"https://herbarium.bgbm.org/object/B101143142",NA,NA,NA,"Herbarium Berolinense","3763061622","https://herbarium.bgbm.org/object/B101143142",NA,"B 10 1143142","B",NA,NA,NA,"Calyptranthes chytraculia (L.) Sw.",NA,NA,"LC","none",NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655,3aee7756-565e-4dc5-b22c-f997fbd7105c",NA,"5536",NA,NA,"Costa Rica: Limón: Limón. Limón. Parque Cariari. Colectando a orillas de la playa en bosque predominado con árboles de Lonchocarpus spp., Inga multijuga, Cosmibuena macro, Terminalia cattapa y Tapiria guianensis. El sotobosque predominado por Piper spp. Philodendron spp. y Anthurium sp. Arbusto de 5 m, creciendo sobre arrecife coralino en paredón junto a la playa. Tallo con la corteza blancuzca. Inflorescencias ferrugíneas, flores con pétalos y estambres blancos. Muy común. lifestage: flowering. 2008-05-06, Leg.: Solano,D., González Brenes,F.A., Soto,A., Villalobos,R., Jimenez,J.M., Solís,M., Herrera,A. & Chacón Chavarría,O. 5536.",NA,NA,NA,NA,"4cf93dd2-06c8-4f49-89bc-a5d0805c6747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fceacd29-9f6c-4c9c-a4bc-67795f9cb972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://image.bgbm.org/images/internal/HerbarThumbs/B101143142_1700","http://creativecommons.org/licenses/by/4.0/"
"2237712892","Myrcia zuzygium (L.) A.R.Lourenço & E.Lucas",27.8325,-82.3429,"cdc,gass84,incomis","af1b4db0-c8ce-4a95-b700-8a6a02bed9d6","253fc67c-c7fb-4c85-88f5-43ac6d9dc8a9","40dee7df-00ee-4965-bcaf-5291dbab4b08","253fc67c-c7fb-4c85-88f5-43ac6d9dc8a9","US","EML","2024-01-26T19:01:55.931+00:00","2024-01-29T12:47:12.692+00:00",398,"PRESERVED_SPECIMEN","PRESENT",10670453,6,7707728,220,690,5014,3173889,10750299,11654916,"Myrcia chytraculia var. zuzygium (L.) G.P.Burton & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia chytraculia","Myrcia","zuzygium",NA,"SPECIES","SYNONYM","2019-04-01T00:00:00",NA,"NORTH_AMERICA","Florida",2008,7,23,"2008-07-23",205,205,NA,"2024-01-29T12:47:12.692+00:00",NA,FALSE,"A4D26096-85C4-45F7-9EC4-A9D9F2383DCF","none","none",FALSE,NA,"S. E. Green","B. F. Hansen","WGS84","Magnoliopsida","US","none","none","NORTH_AMERICA","United States of America","NORTH_AMERICA",NA,"A4D26096-85C4-45F7-9EC4-A9D9F2383DCF",NA,NA,"No Name Key, National Key Deer Refuge; just S of rock quarry.","Herb","2237712892","A4D26096-85C4-45F7-9EC4-A9D9F2383DCF",NA,"299192","USF",NA,NA,"321971","Myrcia zuzygium (L.) A.R.Lourenço & E.Lucas",NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"50","Fire-suppressed pine rockland.",NA,"No Name Key, National Key Deer Refuge; just S of rock quarry.",NA,"Plantae | Dicots | Myrtaceae","USA|Florida|Monroe Co.",NA,"efc9e42f-509d-47fe-a30a-1bbd7ac8ba31","urn:lsid:biocol.org:col:15638","ICN","Monroe Co.","en","PhysicalObject","Fertile","{""habit"":""One small tree present, 3 m high, with a few flowers and fruit.""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://cdn.plantatlas.org/img/specimens/USF/299192.jpg","http://creativecommons.org/licenses/by/4.0/"
"3885620421","Calyptranthes chytraculia (L.) Sw.",8.683333,-83.216667,"cdc,cdround,colmano,inmafu","857bce66-f762-11e1-a439-00145eb45e9a","2d6e0e40-2aee-11d8-aa2d-b8a03c50a862","75c5d4ef-378e-4f25-984a-f32510926d7c","2d6e0e40-2aee-11d8-aa2d-b8a03c50a862","AT","DWC_ARCHIVE","2024-07-11T11:22:42.270+00:00","2024-07-11T12:29:18.178+00:00",270,"PRESERVED_SPECIMEN","PRESENT",3181268,6,7707728,220,690,5014,3173889,10750299,10750299,"Myrcia chytraculia (L.) A.R.Lourenço & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia chytraculia","Calyptranthes","chytraculia",NA,"SPECIES","SYNONYM",NA,500,"NORTH_AMERICA",NA,2002,1,27,"2002-01-27",27,27,"2024-01-31T00:00:00.000+00:00","2024-07-11T12:29:18.178+00:00",NA,FALSE,"100080958","none","none",TRUE,NA,"Huber Werner","Huber Werner","WGS84","Magnoliopsida","CR","none","none","LATIN_AMERICA","Costa Rica","EUROPE",NA,"100080958",NA,NA,NA,"ZOBODAT","3885620421","https://www.zobodat.at/belege.php?id=100080958",NA,"100080958","LI",NA,NA,NA,"Calyptranthes chytraculia (L.) Sw.",NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,"P.N. Piedras Blancas, P.N. Esquinas, near the Tropenstation La Gamba on the fila (research-plot, 584-F1lb)",NA,NA,NA,NA,"22b39a15-aa0a-432c-b8e6-a77463a9e938",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.zobodat.at/bilder/belege/00004765.jpg","http://creativecommons.org/licenses/by/4.0/"
"3885544132","Calyptranthes chytraculia (L.) Sw.",8.683333,-83.216667,"cdc,cdround,colmano,inmafu","857bce66-f762-11e1-a439-00145eb45e9a","2d6e0e40-2aee-11d8-aa2d-b8a03c50a862","75c5d4ef-378e-4f25-984a-f32510926d7c","2d6e0e40-2aee-11d8-aa2d-b8a03c50a862","AT","DWC_ARCHIVE","2024-07-11T11:22:42.270+00:00","2024-07-11T12:27:42.352+00:00",270,"PRESERVED_SPECIMEN","PRESENT",3181268,6,7707728,220,690,5014,3173889,10750299,10750299,"Myrcia chytraculia (L.) A.R.Lourenço & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia chytraculia","Calyptranthes","chytraculia",NA,"SPECIES","SYNONYM",NA,500,"NORTH_AMERICA",NA,2002,1,27,"2002-01-27",27,27,"2024-01-31T00:00:00.000+00:00","2024-07-11T12:27:42.352+00:00",NA,FALSE,"100113977","none","none",TRUE,NA,"Huber Werner","Huber Werner","WGS84","Magnoliopsida","CR","none","none","LATIN_AMERICA","Costa Rica","EUROPE",NA,"100113977",NA,NA,NA,"ZOBODAT","3885544132","https://www.zobodat.at/belege.php?id=100113977",NA,"100113977","LI",NA,NA,NA,"Calyptranthes chytraculia (L.) Sw.",NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,"P.N. Piedras Blancas, P.N. Esquinas, near the Tropenstation La Gamba on the fila (research-plot, 584-F1lb)",NA,NA,NA,NA,"22b39a15-aa0a-432c-b8e6-a77463a9e938",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.zobodat.at/bilder/belege/00033584.jpg","http://creativecommons.org/licenses/by/4.0/"
"2270645900","Calyptranthes zuzygium (L.) Sw.",24.916667,-77.933333,"cdc,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:18.147+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3181563,6,7707728,220,690,5014,3173889,10750299,11654916,"Myrcia chytraculia var. zuzygium (L.) G.P.Burton & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia chytraculia","Calyptranthes","zuzygium",NA,"SPECIES","SYNONYM",NA,2000,"NORTH_AMERICA","North Andros",2002,5,16,"2002-05-16",136,136,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:18.147+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=7287129",FALSE,"7287129","none","none",FALSE,NA,"Michael A. Vincent; R. James Hickey & Jessica Woo",NA,"WGS84","Magnoliopsida","BS","none","none","LATIN_AMERICA","Bahamas","NORTH_AMERICA",NA,"7287129",NA,NA,NA,"Plants","2270645900","6c092962-acbf-48e6-8044-f751e192f56e","47734","ASU0087203","ASU",NA,NA,NA,"Calyptranthes zuzygium (L.) Sw.",NA,"Tree 15', flowers cream","LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10515","High coppice ridge",NA,"North Andros Island; above London Creek at the ""London Ridge"" site.",NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calyptranthes",NA,NA,"530c45d0-e0f7-401d-b3f6-34f58482c485",NA,NA,NA,"en",NA,NA,NA,NA,NA,NA,NA,"a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,NA,NA,NA,"0bbd7d8f-706c-4e2a-9505-58b142356450","292950","6c092962-acbf-48e6-8044-f751e192f56e","http://creativecommons.org/licenses/by-nc/3.0/","waltola64","GeoLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU_Plants/201508/ASU0087203_1439740221_lg.jpg","http://creativecommons.org/licenses/by/4.0/"
