"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","datasetName","otherCatalogNumbers","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","recordNumber","identifier.1","institutionID","dynamicProperties","municipality","locality","collectionCode","gbifID","occurrenceID","catalogNumber","institutionCode","occurrenceRemarks","name","individualCount","higherGeography","higherClassification","collectionID","lifeStage","elevation","elevationAccuracy","habitat","verbatimEventDate","county","georeferenceProtocol","gadm","dateIdentified","coordinateUncertaintyInMeters","georeferencedBy","references","georeferenceVerificationStatus","http...unknown.org.recordID","taxonID","rights","http...unknown.org.recordEnteredBy","georeferenceSources","typeStatus","preparations","nomenclaturalCode","language","type","verbatimElevation","fieldNumber","verbatimLocality","disposition","accessRights","reproductiveCondition","eventRemarks","media_url","license"
"3704814386","Myrcia florifera (Mc Vaugh) Gaem & E.Lucas",0.891111,-61.500833,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:53.845+00:00",520,"PRESERVED_SPECIMEN","PRESENT",10942661,6,7707728,220,690,5014,3173889,10942661,10942661,"Myrcia florifera (Mc Vaugh) Gaem & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia florifera","Myrcia","florifera","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Roraima",2021,11,12,"2021-11-12",316,316,"2023-06-29T23:17:50.000+00:00","2024-08-01T12:21:53.845+00:00",FALSE,"urn:catalog:JBRJ:RB:1454048","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 825215","R.Goldenberg; R.C. Forzza, E.C. Oliveira, F. Obermüller, E. Fujisaki, R. Patrício","M. Sobral","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","2779","urn:catalog:JBRJ:RB:1454048","04.936.616/0001-20","{""project"" : ""Programa de Monitoramento da Biodiversidade - ICMBio""}","Caracaraí","Lago da Cigana. Estação Ecológica Niquiá","RB","3704814386","urn:catalog:JBRJ:RB:1454048","RB01454048","JBRJ","Árvore 8m. Botões brancos","Myrcia florifera (Mc Vaugh) Gaem & E.Lucas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/45/40/48/01454048.jpg","Usage Conditions Apply"
"1456265322","Myrcia florifera (Mc Vaugh) Gaem & E.Lucas",-2.42,-60.93,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:39:45.838+00:00",403,"PRESERVED_SPECIMEN","PRESENT",10942661,6,7707728,220,690,5014,3173889,10942661,10942661,"Myrcia florifera (Mc Vaugh) Gaem & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia florifera","Myrcia","florifera","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Amazonas",1991,8,8,"1991-08-08",220,220,"2023-11-07T14:34:00.000+00:00","2024-08-02T12:39:45.838+00:00",FALSE,"http://n2t.net/ark:/65665/399d5dc15-e528-4b3f-a3cf-836a1eb733fe","none","none","be5b9c72-e499-42b8-a5dc-c27505cf232e","151c91ba-a521-4735-8c11-5abf8db7fb67",FALSE,"NMNH Extant Biology",NA,"S. A. Mori & C. A. Gracie",NA,"WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA",NA,"21964","http://n2t.net/ark:/65665/399d5dc15-e528-4b3f-a3cf-836a1eb733fe","urn:lsid:biocol.org:col:15463",NA,NA,"Rio Negro. Santo Antonio","US","1456265322","http://n2t.net/ark:/65665/399d5dc15-e528-4b3f-a3cf-836a1eb733fe","US 3332114","US",NA,"Myrcia florifera (Mc Vaugh) Gaem & E.Lucas",1,"South America - Neotropics, Brazil, Amazonas","Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m39afd9d50-12b8-4520-a2ac-540692614271","Usage Conditions Apply"
"1456456066","Myrcia florifera (Mc Vaugh) Gaem & E.Lucas",6.23,-67.09,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:41:58.496+00:00",403,"PRESERVED_SPECIMEN","PRESENT",10942661,6,7707728,220,690,5014,3173889,10942661,10942661,"Myrcia florifera (Mc Vaugh) Gaem & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia florifera","Myrcia","florifera","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Bolívar",1989,1,NA,"1989-01-25/1989-01-28",25,28,"2023-11-07T14:40:00.000+00:00","2024-08-02T12:41:58.496+00:00",FALSE,"http://n2t.net/ark:/65665/3f2dd9dd2-ac40-47f1-bb8f-aac2fc857942","none","none","be5b9c72-e499-42b8-a5dc-c27505cf232e","151c91ba-a521-4735-8c11-5abf8db7fb67",FALSE,"NMNH Extant Biology",NA,"N. L. Cuello",NA,"WGS84","Magnoliopsida","VE","none","none","LATIN_AMERICA","Venezuela (Bolivarian Republic of)","NORTH_AMERICA",NA,"612","http://n2t.net/ark:/65665/3f2dd9dd2-ac40-47f1-bb8f-aac2fc857942","urn:lsid:biocol.org:col:15463",NA,NA,"Rio Parguaza, entre el fundo 'El Carmen' y 'Vuelta Larga'","US","1456456066","http://n2t.net/ark:/65665/3f2dd9dd2-ac40-47f1-bb8f-aac2fc857942","US 3466353","US",NA,"Myrcia florifera (Mc Vaugh) Gaem & E.Lucas",1,"South America - Neotropics, Venezuela, Bolívar, Cedeño","Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8","Flowering",25,5,"Bosque ribereno a las margenes del rio","25-Jan-89 to 28-Jan-89","Cedeño",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m33b87b612-eb42-48b8-84b4-351bf7bd3983","Usage Conditions Apply"
"1456032727","Myrcia florifera (Mc Vaugh) Gaem & E.Lucas",1.92,-67.0611,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:38:52.417+00:00",403,"PRESERVED_SPECIMEN","PRESENT",10942661,6,7707728,220,690,5014,3173889,10942661,10942661,"Myrcia florifera (Mc Vaugh) Gaem & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia florifera","Myrcia","florifera","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Amazonas",1989,2,NA,"1989-02-10/1989-02-22",41,53,"2024-04-03T16:47:00.000+00:00","2024-08-02T12:38:52.417+00:00",FALSE,"http://n2t.net/ark:/65665/32d3ba841-7e76-4502-b828-78319181d4e7","none","none","be5b9c72-e499-42b8-a5dc-c27505cf232e","151c91ba-a521-4735-8c11-5abf8db7fb67",FALSE,"NMNH Extant Biology",NA,"B. G. Stergios, K. Kubitzki, G. A. Aymard & E. Melgueiro",NA,"WGS84","Magnoliopsida","VE","none","none","LATIN_AMERICA","Venezuela (Bolivarian Republic of)","NORTH_AMERICA",NA,"13092","http://n2t.net/ark:/65665/32d3ba841-7e76-4502-b828-78319181d4e7","urn:lsid:biocol.org:col:15463",NA,NA,"Río Negro, entre San Carlos de río Negro y la boca del río Casiquiare","US","1456032727","http://n2t.net/ark:/65665/32d3ba841-7e76-4502-b828-78319181d4e7","US 3468681","US",NA,"Myrcia florifera (Mc Vaugh) Gaem & E.Lucas",1,"South America - Neotropics, Venezuela, Amazonas, Río Negro","Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8","Fruiting",NA,NA,"Selvas pluviales riberenas del río; en tierra firme","10-Feb-89 to 22-Feb-89","Río Negro","Google maps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m37ee648a2-89e7-4e24-9a51-5428955935eb","Usage Conditions Apply"
"1456350310","Myrcia florifera (Mc Vaugh) Gaem & E.Lucas",4.66,-66.28,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:39:57.620+00:00",403,"PRESERVED_SPECIMEN","PRESENT",10942661,6,7707728,220,690,5014,3173889,10942661,10942661,"Myrcia florifera (Mc Vaugh) Gaem & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia florifera","Myrcia","florifera","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Amazonas",1989,10,NA,"1989-10",NA,NA,"2024-04-03T16:47:00.000+00:00","2024-08-02T12:39:57.620+00:00",FALSE,"http://n2t.net/ark:/65665/3c1981d43-bfe2-46a4-b85b-f4c6d9eb2a31","none","none","be5b9c72-e499-42b8-a5dc-c27505cf232e","151c91ba-a521-4735-8c11-5abf8db7fb67",FALSE,"NMNH Extant Biology",NA,"L. Delgado V.",NA,"WGS84","Magnoliopsida","VE","none","none","LATIN_AMERICA","Venezuela (Bolivarian Republic of)","NORTH_AMERICA",NA,"914","http://n2t.net/ark:/65665/3c1981d43-bfe2-46a4-b85b-f4c6d9eb2a31","urn:lsid:biocol.org:col:15463",NA,NA,"Cerro Moriche","US","1456350310","http://n2t.net/ark:/65665/3c1981d43-bfe2-46a4-b85b-f4c6d9eb2a31","US 3475298","US",NA,"Myrcia florifera (Mc Vaugh) Gaem & E.Lucas",1,"South America - Neotropics, Venezuela, Amazonas, Atabapo","Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8","Flowering",NA,NA,"Sabana graminosa y arbustal denso sobre montaña de meta-arenisca; en zona inundable","Oct-89","Atabapo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m3d5ea00b6-1fb0-4717-9a5e-2f5242dd3850","Usage Conditions Apply"
"1456418012","Myrcia florifera (Mc Vaugh) Gaem & E.Lucas",0.1,-67.27,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:40:10.237+00:00",403,"PRESERVED_SPECIMEN","PRESENT",10942661,6,7707728,220,690,5014,3173889,10942661,10942661,"Myrcia florifera (Mc Vaugh) Gaem & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia florifera","Myrcia","florifera","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Amazonas",1987,10,20,"1987-10-20",293,293,"2023-11-07T14:35:00.000+00:00","2024-08-02T12:40:10.237+00:00",FALSE,"http://n2t.net/ark:/65665/3e104a077-8e30-4728-aa09-0b2e0f200959","none","none","be5b9c72-e499-42b8-a5dc-c27505cf232e","151c91ba-a521-4735-8c11-5abf8db7fb67",FALSE,"NMNH Extant Biology",NA,"P. Maas, D. W. Stevenson & J. F. Ramos",NA,"WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA",NA,"6799","http://n2t.net/ark:/65665/3e104a077-8e30-4728-aa09-0b2e0f200959","urn:lsid:biocol.org:col:15463",NA,NA,"Rio Negro, right side of Ilha Tamanduá (locally Ilha Marajó)","US","1456418012","http://n2t.net/ark:/65665/3e104a077-8e30-4728-aa09-0b2e0f200959","US 3218224","US",NA,"Myrcia florifera (Mc Vaugh) Gaem & E.Lucas",1,"South America - Neotropics, Brazil, Amazonas","Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m39ccf0328-c2d1-43b4-941c-ced971381992","Usage Conditions Apply"
"1456443196","Myrcia florifera (Mc Vaugh) Gaem & E.Lucas",-0.13,-67.07,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:41:48.477+00:00",403,"PRESERVED_SPECIMEN","PRESENT",10942661,6,7707728,220,690,5014,3173889,10942661,10942661,"Myrcia florifera (Mc Vaugh) Gaem & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia florifera","Myrcia","florifera","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Amazonas",1987,11,27,"1987-11-27",331,331,"2023-11-07T14:35:00.000+00:00","2024-08-02T12:41:48.477+00:00",FALSE,"http://n2t.net/ark:/65665/3ece4779c-980f-496a-abcf-594879c93c1a","none","none","be5b9c72-e499-42b8-a5dc-c27505cf232e","151c91ba-a521-4735-8c11-5abf8db7fb67",FALSE,"NMNH Extant Biology",NA,"M. L. Kawasaki",NA,"WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA",NA,"328","http://n2t.net/ark:/65665/3ece4779c-980f-496a-abcf-594879c93c1a","urn:lsid:biocol.org:col:15463",NA,NA,"03-04km rio abaixo da cidade na direção sudeste","US","1456443196","http://n2t.net/ark:/65665/3ece4779c-980f-496a-abcf-594879c93c1a","US 3332656","US",NA,"Myrcia florifera (Mc Vaugh) Gaem & E.Lucas",1,"South America - Neotropics, Brazil, Amazonas, São Gabriel da Cachoeira","Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",NA,NA,NA,NA,NA,"São Gabriel da Cachoeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m317638e47-f644-4eba-b097-053eed556d50","Usage Conditions Apply"
"1456366370","Myrcia florifera (Mc Vaugh) Gaem & E.Lucas",-3.55,-64.4,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:40:02.387+00:00",403,"PRESERVED_SPECIMEN","PRESENT",10942661,6,7707728,220,690,5014,3173889,10942661,10942661,"Myrcia florifera (Mc Vaugh) Gaem & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia florifera","Myrcia","florifera","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Amazonas",1982,10,20,"1982-10-20",293,293,"2023-11-07T14:36:00.000+00:00","2024-08-02T12:40:02.387+00:00",FALSE,"http://n2t.net/ark:/65665/3c9012a88-1a2c-48c8-b83a-898487f1a4dc","none","none","be5b9c72-e499-42b8-a5dc-c27505cf232e","151c91ba-a521-4735-8c11-5abf8db7fb67",FALSE,"NMNH Extant Biology",NA,"C. A. Cid Ferreira",NA,"WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA",NA,"3321","http://n2t.net/ark:/65665/3c9012a88-1a2c-48c8-b83a-898487f1a4dc","urn:lsid:biocol.org:col:15463",NA,NA,"Rio Solimões, margem direita","US","1456366370","http://n2t.net/ark:/65665/3c9012a88-1a2c-48c8-b83a-898487f1a4dc","US 3022723","US",NA,"Myrcia florifera (Mc Vaugh) Gaem & E.Lucas",1,"South America - Neotropics, Brazil, Amazonas, Tefé","Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",NA,NA,NA,NA,NA,"Tefé",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m32fdfdfd8-3994-4b5c-917a-deca826ce5d2","Usage Conditions Apply"
"2235815209","Myrcia florifera (Mc Vaugh) Gaem & E.Lucas",-1.42,-69.42,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:41:02.255+00:00",403,"PRESERVED_SPECIMEN","PRESENT",10942661,6,7707728,220,690,5014,3173889,10942661,10942661,"Myrcia florifera (Mc Vaugh) Gaem & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia florifera","Myrcia","florifera","SPECIES","ACCEPTED","NE","SOUTH_AMERICA",NA,1982,11,18,"1982-11-18",322,322,"2023-11-07T14:41:00.000+00:00","2024-08-02T12:41:02.255+00:00",FALSE,"http://n2t.net/ark:/65665/32dc98c14-d736-4ff2-8082-f503c223e49c","none","none","be5b9c72-e499-42b8-a5dc-c27505cf232e","151c91ba-a521-4735-8c11-5abf8db7fb67",FALSE,"NMNH Extant Biology",NA,"I. L. Amaral, -- Cornélio, J. Guedes & J. Lima",NA,"WGS84","Magnoliopsida","CO","none","none","LATIN_AMERICA","Colombia","NORTH_AMERICA",NA,"559","http://n2t.net/ark:/65665/32dc98c14-d736-4ff2-8082-f503c223e49c","urn:lsid:biocol.org:col:15463",NA,NA,"Fronteira Brasil-Colombia, confluência dos rios Traira e, Apaporis, cachoeira Urumutum, a 1:30 minutos de Vila Bittencourt.","US","2235815209","http://n2t.net/ark:/65665/32dc98c14-d736-4ff2-8082-f503c223e49c","US 3105578","US",NA,"Myrcia florifera (Mc Vaugh) Gaem & E.Lucas",1,"South America - Neotropics, Colombia","Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m392a69a47-6057-44ea-8b2b-118ea74281b1","Usage Conditions Apply"
"1456387233","Myrcia florifera (Mc Vaugh) Gaem & E.Lucas",-1.75,-60,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:41:50.635+00:00",403,"PRESERVED_SPECIMEN","PRESENT",10942661,6,7707728,220,690,5014,3173889,10942661,10942661,"Myrcia florifera (Mc Vaugh) Gaem & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia florifera","Myrcia","florifera","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Amazonas",1982,11,8,"1982-11-08",312,312,"2024-06-26T09:53:00.000+00:00","2024-08-02T12:41:50.635+00:00",FALSE,"http://n2t.net/ark:/65665/3d2cd8884-b09e-446c-ae99-c27f30196e95","none","none","be5b9c72-e499-42b8-a5dc-c27505cf232e","151c91ba-a521-4735-8c11-5abf8db7fb67",FALSE,"NMNH Extant Biology",NA,"C. A. Cid Ferreira & J. Lima",NA,"WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA",NA,"3530","http://n2t.net/ark:/65665/3d2cd8884-b09e-446c-ae99-c27f30196e95","urn:lsid:biocol.org:col:15463",NA,NA,"Entre os Municípios de Maraã e Japurá, rio Japurá afluente do rio Solimões, ao longo do rio","US","1456387233","http://n2t.net/ark:/65665/3d2cd8884-b09e-446c-ae99-c27f30196e95","US 3019864","US",NA,"Myrcia florifera (Mc Vaugh) Gaem & E.Lucas",1,"South America - Neotropics, Brazil, Amazonas","Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m3c3d03340-043e-4488-8a9c-9fbf876cd0c5","Usage Conditions Apply"
