"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","license","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","datasetName","otherCatalogNumbers","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","recordNumber","identifier.1","institutionID","municipality","locality","collectionCode","gbifID","occurrenceID","catalogNumber","institutionCode","fieldNotes","occurrenceRemarks","name","elevation","georeferenceVerificationStatus","references","preparations","habitat","nomenclaturalCode","verbatimEventDate","county","language","type","identificationRemarks","collectionID","georeferenceProtocol","georeferenceSources","typeStatus","eventRemarks","higherClassification","gadm","georeferencedDate","coordinateUncertaintyInMeters","elevationAccuracy","verbatimElevation","media_url"
"1424455700","Myrcia grazielae NicLugh.",-13.802778,-39.170833,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:42.745+00:00",520,"PRESERVED_SPECIMEN","PRESENT",7438724,6,7707728,220,690,5014,3173889,7438724,7438724,"Myrcia grazielae NicLugh.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia grazielae","Myrcia","grazielae","SPECIES","DOUBTFUL","NE","2022-06-01T00:00:00","SOUTH_AMERICA","Bahia",2010,11,6,"2010-11-06",310,310,"2022-07-26T22:10:40.000+00:00","2024-08-01T12:21:42.745+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"urn:catalog:JBRJ:RB:792714","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 580386","J.L. Paixão; et al.","T.Fernandes","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","1891","urn:catalog:JBRJ:RB:792714","04.936.616/0001-20","Porto Seguro","Estação  Ecologica  da  VERACEL.","RB","1424455700","urn:catalog:JBRJ:RB:792714","RB00792714","JBRJ","Mata Atlântica Sul Baiana","Árvore, ca. 12 m de altura. Folhas discolores com face superior verde brilhante e face interior com tricomas vermelhos.","Myrcia grazielae NicLugh.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/79/27/14/00792714.jpg"
"1424421744","Myrcia grazielae NicLugh.",-16.5,-39.25,"cdc,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:42.190+00:00",520,"PRESERVED_SPECIMEN","PRESENT",7438724,6,7707728,220,690,5014,3173889,7438724,7438724,"Myrcia grazielae NicLugh.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia grazielae","Myrcia","grazielae","SPECIES","DOUBTFUL","NE","2012-11-01T00:00:00","SOUTH_AMERICA","Bahia",2009,9,22,"2009-09-22",265,265,"2021-08-23T18:21:42.000+00:00","2024-08-01T12:21:42.190+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"urn:catalog:JBRJ:RB:722725","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 554645","L. Daneu","J.E.Q. Faria","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","173","urn:catalog:JBRJ:RB:722725","04.936.616/0001-20","Porto Seguro","Parque  Nacional  do  Pau  Brasil  .","RB","1424421744","urn:catalog:JBRJ:RB:722725","RB00722725","JBRJ",NA,"Árvore ca. 6m alt. Folhas verde-brilhante com a face inferior opaca. Frutos maduros amarelos.","Myrcia grazielae NicLugh.",100,"inferred coordinates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/72/27/25/00722725.jpg"
"1928741214","Myrcia grazielae NicLugh.",-17.25,-39.25,"gass84,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:13:40.800+00:00",415,"PRESERVED_SPECIMEN","PRESENT",7438724,6,7707728,220,690,5014,3173889,7438724,7438724,"Myrcia grazielae NicLugh.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia grazielae","Myrcia","grazielae","SPECIES","DOUBTFUL","NE","2015-01-01T00:00:00","SOUTH_AMERICA","Bahia",1993,10,20,"1993-10-20",293,293,NA,"2024-07-21T05:13:40.800+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"44ce30c7-b68c-4e69-b6fb-b7fa22eee02a","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,"Vascular plants",NA,"W. W. Thomas","B. S. Amorim","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The New York Botanical Garden","10001","44ce30c7-b68c-4e69-b6fb-b7fa22eee02a","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,"8 km west of Cumuruxatiba on road to Itamaraju","NY","1928741214","44ce30c7-b68c-4e69-b6fb-b7fa22eee02a","1552351","NY",NA,NA,"Myrcia grazielae NicLugh.",NA,NA,"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623534","sheet","Disturbed restinga forest with swampy area.","ICN","20 Oct 1993","Prado Mun.","en","PhysicalObject","Duplicate specimen at herb. MO--4859138    identified as such.","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/882/580/01552351.jpg"
"1424075762","Myrcia grazielae NicLugh.",-17.25,-39.25,"cdc,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:34.426+00:00",520,"PRESERVED_SPECIMEN","PRESENT",7438724,6,7707728,220,690,5014,3173889,7438724,7438724,"Myrcia grazielae NicLugh.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia grazielae","Myrcia","grazielae","SPECIES","DOUBTFUL","NE","2019-07-01T00:00:00","SOUTH_AMERICA","Bahia",1993,10,20,"1993-10-20",293,293,"2019-07-23T16:15:49.000+00:00","2024-08-01T12:21:34.426+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"urn:catalog:JBRJ:RB:314630","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 373810","W.W.Thomas; et al","Melo, J.D.O; Stadnik, A.","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden",NA,"urn:catalog:JBRJ:RB:314630","04.936.616/0001-20","Prado","8 Km West of Cumuruxatiba on road to Itamaraju.","RB","1424075762","urn:catalog:JBRJ:RB:314630","RB00314630","JBRJ","Disturbed restinga forest with swampy area","Tree, 8m, leaves cucullate, coriaceous with sunken veins, shiny green above, paler beneath, fruits yellow- orange","Myrcia grazielae NicLugh.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/31/46/30/00314630.jpg"
"1928775133","Myrcia grazielae NicLugh.",-14.33,-39.08,"gass84,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:13:51.572+00:00",415,"PRESERVED_SPECIMEN","PRESENT",7438724,6,7707728,220,690,5014,3173889,7438724,7438724,"Myrcia grazielae NicLugh.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia grazielae","Myrcia","grazielae","SPECIES","DOUBTFUL","NE","2012-01-01T00:00:00","SOUTH_AMERICA","Bahia",1992,5,16,"1992-05-16",137,137,NA,"2024-07-21T05:13:51.572+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"473aba50-5ce9-41de-b3b5-ae6732c0db14","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,"Vascular plants",NA,"W. W. Thomas","B. S. Amorim","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The New York Botanical Garden","9397","473aba50-5ce9-41de-b3b5-ae6732c0db14","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,"Marambaia, 1 km N and 2.5 km W of junction Marambaia rd and rd from BR 101 to Itacaré (BA 654), 6 km W of Itacaré","NY","1928775133","473aba50-5ce9-41de-b3b5-ae6732c0db14","00895779","NY",NA,NA,"Myrcia grazielae NicLugh.",NA,NA,"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623524","sheet","Southern Bahian moist forest.","ICN","16 May 1992","Itacaré Mun.","en","PhysicalObject","Paratype. Kew Bulletin 67: 235-243. 2012.","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/2154/512/00895779.jpg"
"1930315773","Myrcia grazielae NicLugh.",-14.3164964,-39.323005,"cdrep,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:14:34.353+00:00",415,"PRESERVED_SPECIMEN","PRESENT",7438724,6,7707728,220,690,5014,3173889,7438724,7438724,"Myrcia grazielae NicLugh.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia grazielae","Myrcia","grazielae","SPECIES","DOUBTFUL","NE",NA,"SOUTH_AMERICA","Bahia",1991,11,20,"1991-11-20",324,324,NA,"2024-07-21T05:14:34.353+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"b4452351-a579-42d6-a820-d69fdb6d6072","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,"Vascular plants",NA,"A. M. Amorim","E. M. Nic Lughadha","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The New York Botanical Garden","464","b4452351-a579-42d6-a820-d69fdb6d6072","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,"Ramal a esquerda na estrada Ubaitaba/Itacaré, a 4 km do loteamento da Marambaia","NY","1930315773","b4452351-a579-42d6-a820-d69fdb6d6072","02715700","NY",NA,NA,"Myrcia grazielae NicLugh.",NA,NA,"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623002","sheet",NA,"ICN","20 Nov 1991","Ubaitaba Mun.","en","PhysicalObject","[Determination from SpeciesLink (CEPEC 52338), Sep. 2016]","http://biocol.org/urn:lsid:biocol.org:col:15556","Other source","CRIA (Centro de Referência em Informação Ambiental)",NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/2226/252/02715700.jpg"
"912079937","Myrcia grazielae NicLugh.",-16.433333,-39.083333,"cdc,cdround,gass84,incomis,inmafu","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:14:23.233+00:00",407,"PRESERVED_SPECIMEN","PRESENT",7438724,6,7707728,220,690,5014,3173889,7438724,7438724,"Myrcia grazielae NicLugh.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia grazielae","Myrcia","grazielae","SPECIES","DOUBTFUL","NE",NA,"SOUTH_AMERICA",NA,1989,1,10,"1989-01-10T00:00",10,10,"2013-12-03T10:08:51.003+00:00","2024-08-02T01:14:23.233+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"K000003140","none","none","fa252605-26f6-426c-9892-94d071c2c77f",NA,TRUE,NA,NA,"Folli, D.A.","Nic Lughadha, E.M.","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE",NA,"851","K000003140",NA,NA,"Reserva Florestal de Porto Seguro - CVRD/BA. Aceiro prox. ao córrego Águas Claras, lado direito.","Herbarium","912079937","http://specimens.kew.org/herbarium/K000003140","K000003140","K",NA,"Reserva Florestal da C.V.R.D. Linhares Esp. Santo Exsicata N.o. de Registro 2149; Darwin Initiative seen for repatriation of data to Bahia Brazil 1998/99; Murta vermelha","Myrcia grazielae NicLugh.",NA,NA,NA,NA,"em Floresta Alta",NA,NA,NA,NA,NA,NA,NA,"Gazetteer",NA,"TYPE","Árvore, [symbol = plus or minus] 6m de altura e fuste de [symbol = plus or minus] 3m, DAP 10,2cm, da copa [symbol = plus or minus] 2m. Com flor e botão branco. Fuste cilíndrico e casca áspera.","Myrtaceae",NA,NA,NA,NA,NA,"http://d2seqvvyy3b8p2.cloudfront.net/aa6ed238e8192cca7eb49a7c2c164ae8.jpg"
"1930886166","Myrcia grazielae NicLugh.",-16.094866,-39.207196,"mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:16:24.101+00:00",415,"PRESERVED_SPECIMEN","PRESENT",7438724,6,7707728,220,690,5014,3173889,7438724,7438724,"Myrcia grazielae NicLugh.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia grazielae","Myrcia","grazielae","SPECIES","DOUBTFUL","NE",NA,"SOUTH_AMERICA","Bahia",1979,5,17,"1979-05-17",137,137,NA,"2024-07-21T05:16:24.101+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"dcaa7ba4-ae5d-46ff-934a-67878e02707c","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,"Vascular plants",NA,"L. A. Mattos Silva",NA,"WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The New York Botanical Garden","381","dcaa7ba4-ae5d-46ff-934a-67878e02707c","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,"Estação Exp. Gregório Bondar, km 58 da Rod. Belmonte/Itapebi.","NY","1930886166","dcaa7ba4-ae5d-46ff-934a-67878e02707c","720487","NY",NA,NA,"Myrcia grazielae NicLugh.",NA,NA,"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2505361","sheet",NA,"ICN","17 May 1979","Belmonte Mun.","en","PhysicalObject",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556","Georeferencing Quick Reference Guide, Version 2012","Google Maps (map data 2014), Manis Georef. Calculator",NA,NA,NA,NA,"2014-09-15",NA,NA,NA,"http://sweetgum.nybg.org/images3/1389/122/00720487.jpg"
"1928886330","Myrcia grazielae NicLugh.",-16.2820386,-39.0242843,"cdrep,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:13:55.120+00:00",415,"PRESERVED_SPECIMEN","PRESENT",7438724,6,7707728,220,690,5014,3173889,7438724,7438724,"Myrcia grazielae NicLugh.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia grazielae","Myrcia","grazielae","SPECIES","DOUBTFUL","NE","2012-01-01T00:00:00","SOUTH_AMERICA","Bahia",1979,7,4,"1979-07-04",185,185,NA,"2024-07-21T05:13:55.120+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"4f1800ad-99ad-490e-80c2-2534a3130b2e","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,"Vascular plants",NA,"S. A. Mori","E. M. Nic Lughadha","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The New York Botanical Garden","12068","4f1800ad-99ad-490e-80c2-2534a3130b2e","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,"Ramal para a Torre de Embratel com a entrada no km 25.6 da Rodovia BR 367 (Eunápolis/Porto Seguro).","NY","1928886330","4f1800ad-99ad-490e-80c2-2534a3130b2e","02282343","NY",NA,NA,"Myrcia grazielae NicLugh.",150,NA,"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=90102","sheet","Região de Mata Higrófila. Vegetação perturbada.","ICN","04 Jul 1979","Santa Cruz Cabrália Mun.","en","PhysicalObject",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556","Other source","CRIA (Centro de Referência em Informação Ambiental)",NA,NA,NA,NA,NA,49584,0,"ca. 492 ft","http://sweetgum.nybg.org/images3/1308/763/02282343.jpg"
"1931130154","Myrcia grazielae NicLugh.",-14.5970026,-39.2841024,"cdrep,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:14:52.637+00:00",415,"PRESERVED_SPECIMEN","PRESENT",7438724,6,7707728,220,690,5014,3173889,7438724,7438724,"Myrcia grazielae NicLugh.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia grazielae","Myrcia","grazielae","SPECIES","DOUBTFUL","NE","2012-01-01T00:00:00","SOUTH_AMERICA","Bahia",1979,12,2,"1979-12-02",336,336,NA,"2024-07-21T05:14:52.637+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"edf2f612-e76e-4411-9dbd-0a84839d2ce6","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,"Vascular plants",NA,"S. A. Mori","E. M. Nic Lughadha","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The New York Botanical Garden","13061","edf2f612-e76e-4411-9dbd-0a84839d2ce6","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,"Estrada que liga Uruçuca com Serra Grande, a 28 km ao NE de Uruçuca","NY","1931130154","edf2f612-e76e-4411-9dbd-0a84839d2ce6","02282346","NY",NA,NA,"Myrcia grazielae NicLugh.",NA,NA,"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=90110","sheet","Mata Higrófila em via de destruição","ICN","02 Dec 1979","Uruçuca Mun.","en","PhysicalObject",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556","Other source","CRIA (Centro de Referência em Informação Ambiental)",NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/1308/766/02282346.jpg"
