"key","scientificName","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","elevation","continent","gadm","higherGeography","year","month","day","eventDate","startDayOfYear","endDayOfYear","lastInterpreted","isSequenced","identifier","facts","relations","isInCluster","recordedBy","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","recordNumber","identifier.1","habitat","georeferenceProtocol","municipality","locality","eventRemarks","collectionCode","gbifID","occurrenceID","taxonRemarks","catalogNumber","higherClassification","name","identifiedBy","decimalLatitude","decimalLongitude","geodeticDatum","stateProvince","modified","references","institutionKey","collectionKey","associatedOccurrences","http...unknown.org.recordID","county","taxonID","institutionCode","rights","occurrenceRemarks","http...unknown.org.recordEnteredBy","collectionID","otherCatalogNumbers","verbatimEventDate","georeferenceRemarks","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceSources","individualCount","lifeStage","datasetName","institutionID","preparations","rightsHolder","informationWithheld","nomenclaturalCode","verbatimLocality","disposition","locationRemarks","previousIdentifications","ownerInstitutionCode","reproductiveCondition","islandGroup","island","elevationAccuracy","infraspecificEpithet","dateIdentified","fieldNumber","language","type","identificationID","organismID","accessRights","georeferencedDate","verbatimElevation","associatedTaxa","nomenclaturalStatus","bibliographicCitation","identificationQualifier","distanceFromCentroidInMeters","dynamicProperties","identificationRemarks","typeStatus","recordedByIDs.type","recordedByIDs.value","identifiedByIDs.type","identifiedByIDs.value","materialSampleID","verbatimIdentification","locationID","eventID","verbatimTaxonRank","datasetID","fieldNotes","footprintSRS","typifiedName","media_url","license"
"4519388945","Calyptranthes pallens (Poir.) Griseb.","cdc,cdround,gass84,inmano","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:14:48.093+00:00",407,"PRESERVED_SPECIMEN","PRESENT",3181673,6,7707728,220,690,5014,3173889,10841740,10841740,"Myrcia neopallens A.R.Lourenço & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neopallens","Calyptranthes","pallens","SPECIES","SYNONYM","NE",8,"NORTH_AMERICA",NA,"Rio San Juan",2012,5,10,"2012-05-10T00:00",131,131,"2024-08-02T01:14:48.093+00:00",FALSE,"K000812341","none","none",FALSE,"Clase, T.; Peguero, B.; Toribio, P.","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","EUROPE","7387","K000812341","vegetacion costera","Estimate","Rio San Juan","ubicada alrededor del balneario Laguna Gri-gri","Arbol de 7m, con botones florales","Herbarium","4519388945","http://specimens.kew.org/herbarium/K000812341",NA,"K000812341","Myrtaceae","Calyptranthes pallens (Poir.) Griseb.",NA,19.646944,-70.079722,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://d2seqvvyy3b8p2.cloudfront.net/469760ff12736399fd4c0a94fed79860.jpg","http://creativecommons.org/licenses/by-sa/3.0/"
"2270486835","Calyptranthes pallens (Poir.) Griseb.","cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf",NA,"ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:20.094+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3181673,6,7707728,220,690,5014,3173889,10841740,10841740,"Myrcia neopallens A.R.Lourenço & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neopallens","Calyptranthes","pallens","SPECIES","SYNONYM","NE",89,"NORTH_AMERICA",NA,NA,2010,2,6,"2010-02-06",37,37,"2024-08-01T20:02:20.094+00:00",FALSE,"13256705","none","none",FALSE,"Marcela Ruiz Guerrero; Albert van der Heiden, Prisciliano Mejia Rosario","Magnoliopsida","MX","none","none","LATIN_AMERICA","Mexico","NORTH_AMERICA","2010-014","13256705",NA,NA,NA,"Arroyo de Los Laurelitos, Ejido Palos Blancos",NA,"Plants","2270486835","77b14daa-28e7-4037-8f41-7b51fc286264",NA,"ASU0297530","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calyptranthes","Calyptranthes pallens (Poir.) Griseb.",NA,23.236567,-105.892933,"WGS84","Sinaloa","2023-07-16T07:02:03.000+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13256705","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","herbariumSpecimenDuplicate: https://swbiodiversity.org/seinet/collections/individual/index.php?guid=9cba5997-7a0b-4416-94d1-d599ba38cee9","77b14daa-28e7-4037-8f41-7b51fc286264","Rosario","33804","ASU","http://creativecommons.org/licenses/by-nc/3.0/","Arbol no comun, 6m altura. Fruto verde a rojizo. ""Arrayancillo"" fide Don Modesto Ramos.","waltola64","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0297/ASU0297530_lg.jpg","http://creativecommons.org/licenses/by-sa/3.0/"
"3762874422","Calyptranthes pallens (Poir.) Griseb.","cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf",NA,"ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:23.104+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3181673,6,7707728,220,690,5014,3173889,10841740,10841740,"Myrcia neopallens A.R.Lourenço & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neopallens","Calyptranthes","pallens","SPECIES","SYNONYM","NE",1415,"NORTH_AMERICA",NA,NA,2009,2,13,"2009-02-13",44,44,"2024-08-01T20:02:23.104+00:00",FALSE,"29221733","none","none",FALSE,NA,"Magnoliopsida","CR","none","none","LATIN_AMERICA","Costa Rica","NORTH_AMERICA",NA,"29221733","Tropical Lower Montane Wet Forest, soil order: Andisol",NA,NA,"Santa Elena, Monteverde",NA,"Plants","3762874422","e9eb26d1-7063-452d-b5c8-4637c116ab40",NA,"ASU0319239","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calyptranthes","Calyptranthes pallens (Poir.) Griseb.",NA,10.31668,-84.8184,"WGS84",NA,"2023-07-16T07:02:03.000+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29221733","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",NA,"e9eb26d1-7063-452d-b5c8-4637c116ab40",NA,"33804","ASU","http://creativecommons.org/licenses/by-nc/3.0/","Tree",NA,"a2e32c87-d320-4a01-bafd-a9182ae2e191","CSP11289","02/13/2009","MAP: 3012, MAT: 18.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP11/CSP11289_lg.jpg","http://creativecommons.org/licenses/by-sa/3.0/"
"2270558150","Calyptranthes pallens (Poir.) Griseb.","cdc,gass84,rdativ,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf",NA,"ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:16.073+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3181673,6,7707728,220,690,5014,3173889,10841740,10841740,"Myrcia neopallens A.R.Lourenço & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neopallens","Calyptranthes","pallens","SPECIES","SYNONYM","NE",NA,"NORTH_AMERICA",NA,NA,2009,5,24,"2009-05-24",144,144,"2024-08-01T20:02:16.073+00:00",FALSE,"3101149","none","none",FALSE,"A. C. Araujo; E. J. Lucas, T. Clase, T. Ulian","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA","1792","3101149","Cultivated.",NA,NA,"Mun. Santo Domingo Norte, Distr. Nacional, Jardin Botanico de Santo Domingo.",NA,"Plants","2270558150","544c75ea-3e40-4e1e-8bc3-d51b2529ff25",NA,"ASU0057262","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calyptranthes","Calyptranthes pallens (Poir.) Griseb.",NA,18.493531,-69.953558,"WGS84","Santo Domingo","2023-07-16T07:02:03.000+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3101149","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",NA,"544c75ea-3e40-4e1e-8bc3-d51b2529ff25",NA,"33804","ASU","http://creativecommons.org/licenses/by-nc/3.0/","Material coletado en silica.; Tree to 4 m, inflorescence with short, orange hairs, flowers white, buds and young fruits green with light orange pubescence.","alorozco","a2e32c87-d320-4a01-bafd-a9182ae2e191","278229",NA,NA,1000,"ksanderford","reviewed - high confidence","georef batch tool 2012-07-05; GeoLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0057/ASU0057262_lg.jpg","http://creativecommons.org/licenses/by-sa/3.0/"
"2270559193","Calyptranthes pallens (Poir.) Griseb.","cdc,gass84,rdativ,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf",NA,"ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:16.248+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3181673,6,7707728,220,690,5014,3173889,10841740,10841740,"Myrcia neopallens A.R.Lourenço & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neopallens","Calyptranthes","pallens","SPECIES","SYNONYM","NE",NA,"NORTH_AMERICA",NA,NA,2009,5,27,"2009-05-27",147,147,"2024-08-01T20:02:16.248+00:00",FALSE,"3101153","none","none",TRUE,"A. C. Araujo; E. J. Lucas, T. Ulian, T. Clase, J. Coronado, W. Agramonte","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA","1795","3101153",NA,NA,NA,"Mun. Pedernales; carretera internacional, 1 km despues del cruce de Agua Negra.",NA,"Plants","2270559193","ac08231f-1f2b-4467-966c-2343ab1f97a3",NA,"ASU0057266","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calyptranthes","Calyptranthes pallens (Poir.) Griseb.",NA,18.110224,-71.720973,"WGS84","Pedernales","2023-07-16T07:02:03.000+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3101153","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",NA,"ac08231f-1f2b-4467-966c-2343ab1f97a3",NA,"33804","ASU","http://creativecommons.org/licenses/by-nc/3.0/","Tree to 8-10 m, bark grey, leaves dark green, young branches and buds light green with orange hairs, leaves hairy below.","alorozco","a2e32c87-d320-4a01-bafd-a9182ae2e191","278240",NA,NA,3036,"ksanderford","reviewed - high confidence","georef batch tool 2012-07-05; GeoLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0057/ASU0057266_lg.jpg","http://creativecommons.org/licenses/by-sa/3.0/"
"2270557592","Calyptranthes pallens (Poir.) Griseb.","cdc,gass84,preneglat,rdativ,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf",NA,"ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:16.315+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3181673,6,7707728,220,690,5014,3173889,10841740,10841740,"Myrcia neopallens A.R.Lourenço & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neopallens","Calyptranthes","pallens","SPECIES","SYNONYM","NE",720,"NORTH_AMERICA",NA,NA,2009,5,28,"2009-05-28",148,148,"2024-08-01T20:02:16.315+00:00",FALSE,"3101157","none","none",TRUE,"E. J. Lucas; A. C. Araujo, T. Ulian, T. Clase, J. Coronado, W. Agramonte","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA","1122","3101157","Humid bosque.",NA,NA,"Road from Cabo Rojo and Mercedes towards ALCOA mine HQ.",NA,"Plants","2270557592","89d5f571-4a05-4fe3-976b-b1c0e4e0cf4e",NA,"ASU0057270","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calyptranthes","Calyptranthes pallens (Poir.) Griseb.",NA,18.1125,-71.621389,"WGS84","Pedernales","2023-07-16T07:02:03.000+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3101157","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",NA,"89d5f571-4a05-4fe3-976b-b1c0e4e0cf4e",NA,"33804","ASU","http://creativecommons.org/licenses/by-nc/3.0/","Material coletado en silica.; Tree to 4.5 m.","alorozco","a2e32c87-d320-4a01-bafd-a9182ae2e191","278238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0057/ASU0057270a_lg.jpg","http://creativecommons.org/licenses/by-sa/3.0/"
"2270557462","Calyptranthes pallens (Poir.) Griseb.","cdc,gass84,preneglat,rdativ,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf",NA,"ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:16.084+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3181673,6,7707728,220,690,5014,3173889,10841740,10841740,"Myrcia neopallens A.R.Lourenço & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neopallens","Calyptranthes","pallens","SPECIES","SYNONYM","NE",340,"NORTH_AMERICA",NA,NA,2009,5,29,"2009-05-29",149,149,"2024-08-01T20:02:16.084+00:00",FALSE,"3101158","none","none",FALSE,"E. J. Lucas; A. C. Araujo, T. Ulian, T. Clase, J. Coronado, W. Agramonte","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA","1119","3101158","Open scrub surrounded by humid 'bosque'.",NA,NA,"Agua Negra.",NA,"Plants","2270557462","b64f849a-74ce-44d1-b44c-c272db0497f8",NA,"ASU0057271","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calyptranthes","Calyptranthes pallens (Poir.) Griseb.",NA,18.118333,-71.723889,"WGS84","Pedernales","2023-07-16T07:02:03.000+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3101158","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",NA,"b64f849a-74ce-44d1-b44c-c272db0497f8",NA,"33804","ASU","http://creativecommons.org/licenses/by-nc/3.0/","Sturdy tree to 8 m, branching at ca. 5 m, inflorescence rusty brown, petals white.","alorozco","a2e32c87-d320-4a01-bafd-a9182ae2e191","278219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0057/ASU0057271_lg.jpg","http://creativecommons.org/licenses/by-sa/3.0/"
"1318965639","Myrcia neopallens A.R.Lourenço & E.Lucas","gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:39:11.927+00:00",403,"PRESERVED_SPECIMEN","PRESENT",10841740,6,7707728,220,690,5014,3173889,10841740,10841740,"Myrcia neopallens A.R.Lourenço & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neopallens","Myrcia","neopallens","SPECIES","ACCEPTED","NE",3,"NORTH_AMERICA",NA,"West Indies - Neotropics, Puerto Rico",2008,6,4,"2008-06-04",156,156,"2024-08-02T12:39:11.927+00:00",FALSE,"http://n2t.net/ark:/65665/34dfc9232-60a2-4ffd-9746-513b4d6cbb8e","none","none",FALSE,"F. S. Axelrod, D. Soejarto & A. Herrera","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA","14038","http://n2t.net/ark:/65665/34dfc9232-60a2-4ffd-9746-513b4d6cbb8e","Scrub forest on coastal limestone.",NA,NA,"Loíza: Bo. Torrecilla Baja, W edge of Punta Vacía Talega.",NA,"US","1318965639","http://n2t.net/ark:/65665/34dfc9232-60a2-4ffd-9746-513b4d6cbb8e",NA,"US 3627589","Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae","Myrcia neopallens A.R.Lourenço & E.Lucas",NA,18.4528,-65.9047,"WGS84",NA,"2023-11-14T09:27:00.000+00:00",NA,"be5b9c72-e499-42b8-a5dc-c27505cf232e","151c91ba-a521-4735-8c11-5abf8db7fb67",NA,NA,NA,NA,"US",NA,NA,NA,"urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",NA,NA,NA,NA,NA,NA,NA,1,"Flowering","NMNH Extant Biology","urn:lsid:biocol.org:col:15463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m3ae55498e-ca16-4a07-aa66-9521f15c6eab","http://creativecommons.org/licenses/by-sa/3.0/"
"1457744713","Calyptranthes pallens (Poir.) Griseb.","cdc,cdround,gass84,colmano,inmafu","b89d52a2-861d-4388-adad-c0da3d55fc78","8483a1f0-1032-11db-ae00-b8a03c50a862",NA,"12fadca0-d638-416d-8cee-6f29ef37a249","8483a1f0-1032-11db-ae00-b8a03c50a862","US","EML","2024-08-05T04:01:24.363+00:00","2024-08-05T04:06:59.861+00:00",2274,"PRESERVED_SPECIMEN","PRESENT",3181673,6,7707728,220,690,5014,3173889,10841740,10841740,"Myrcia neopallens A.R.Lourenço & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neopallens","Calyptranthes","pallens","SPECIES","SYNONYM","NE",NA,"NORTH_AMERICA",NA,NA,2008,9,11,"2008-09-11",255,255,"2024-08-05T04:06:59.861+00:00",FALSE,"02fe958b-0c0f-4688-a72d-c4fa35254f69","none","none",TRUE,"J. Richard Abbott","Magnoliopsida","US","none","none","NORTH_AMERICA","United States of America","NORTH_AMERICA","24987","02fe958b-0c0f-4688-a72d-c4fa35254f69",NA,NA,NA,NA,NA,NA,"1457744713","02fe958b-0c0f-4688-a72d-c4fa35254f69",NA,"232834",NA,"Calyptranthes pallens (Poir.) Griseb.",NA,25.675,-80.268333,"WGS84","Florida",NA,"http://specifyportal.flmnh.ufl.edu/herbarium/?filter=catalogNumber:232834","2bfdf57f-35bd-450a-b830-a5189c2d836d",NA,NA,NA,"Miami-Dade County",NA,"FLAS",NA,NA,NA,NA,NA,"11 September 2008",NA,NA,NA,NA,NA,NA,NA,NA,"University of Florida Herbarium","Preserved herbarium specimen","University of Florida","location information not given for endangered species","ICN","Miami, Coral Gables, Fairchild Tropical Botanic Garden, 10901 Old Cutler Road.","FLASCAT","Coral Gables: Fairchild Tropical Botanic Garden","[Orig. id.:] Calyptranthes pallens (Poir.) Griseb.","FLAS","Immature Fruit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://cdn.floridamuseum.ufl.edu/Herbarium/86c14e6a-0036-4f24-8e03-5c271f9d7e34","http://creativecommons.org/licenses/by-sa/3.0/"
"3762893367","Calyptranthes pallens (Poir.) Griseb.","cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf",NA,"ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:23.292+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3181673,6,7707728,220,690,5014,3173889,10841740,10841740,"Myrcia neopallens A.R.Lourenço & E.Lucas","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neopallens","Calyptranthes","pallens","SPECIES","SYNONYM","NE",1,"NORTH_AMERICA",NA,NA,2008,12,2,"2008-12-02",337,337,"2024-08-01T20:02:23.292+00:00",FALSE,"29220441","none","none",FALSE,NA,"Magnoliopsida","US","none","none","NORTH_AMERICA","United States of America","NORTH_AMERICA",NA,"29220441","Tropical Dry Forest, soil order: Entisol",NA,NA,"Simpson Park",NA,"Plants","3762893367","827ca204-fcd5-4850-9ff8-475f8a6da2fa",NA,"ASU0321495","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calyptranthes","Calyptranthes pallens (Poir.) Griseb.",NA,25.75822,-80.19682,"WGS84","Florida","2023-07-16T07:02:03.000+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29220441","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",NA,"827ca204-fcd5-4850-9ff8-475f8a6da2fa",NA,"33804","ASU","http://creativecommons.org/licenses/by-nc/3.0/","Tree",NA,"a2e32c87-d320-4a01-bafd-a9182ae2e191","CSP08021","12/02/2008","MAP: 1487, MAT: 24.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP08/CSP08021_lg.jpg","http://creativecommons.org/licenses/by-sa/3.0/"
