"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","license","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","verbatimEventDate","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","distanceFromCentroidInMeters","informationWithheld","gadm","identificationRemarks","networkKeys","elevation","higherGeography","recordNumber","habitat","georeferenceProtocol","municipality","locality","eventRemarks","higherClassification","georeferencedBy","institutionKey","collectionKey","otherCatalogNumbers","georeferenceVerificationStatus","http...unknown.org.recordID","rights","occurrenceRemarks","http...unknown.org.recordEnteredBy","collectionID","georeferenceSources","preparations","institutionID","nomenclaturalCode","county","language","type","taxonRemarks","dynamicProperties","individualCount","lifeStage","associatedTaxa","reproductiveCondition","island","elevationAccuracy","associatedOccurrences","georeferencedDate","verbatimElevation","disposition","locationRemarks","previousIdentifications","ownerInstitutionCode","islandGroup","typeStatus","typifiedName","acceptedNameUsage","recordedByIDs.type","recordedByIDs.value","eventID","footprintSRS","bibliographicCitation","verbatimIdentification","media_url"
"4519390965","Calyptranthes sintenisii Kiaersk.",19.371667,-71.324722,"cdc,cdround,gass84,inmano","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:14:48.065+00:00",407,"PRESERVED_SPECIMEN","PRESENT",3181599,6,7707728,220,690,5014,3173889,10733215,10733215,"Myrcia neosintenisii K.Campbell & Peguero","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neosintenisii","Calyptranthes","sintenisii","SPECIES","SYNONYM","NE",NA,NA,"NORTH_AMERICA",NA,2013,5,24,"2013-05-24T00:00",144,144,NA,"2024-08-02T01:14:48.065+00:00",NA,"http://creativecommons.org/licenses/by-sa/4.0/",FALSE,"K000812338","none","none",FALSE,NA,"Clase, T.; Peguero, B.; Toribio, P.",NA,"WGS84","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","EUROPE",NA,"K000812338",NA,NA,NA,"Herbarium","4519390965","http://specimens.kew.org/herbarium/K000812338",NA,"K000812338",NA,NA,NA,NA,"Calyptranthes sintenisii Kiaersk.",NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",666,"Dajabon","7463","Bosque ribereno","Estimate","Dajabon","Municipio Loma de Cabrera, Secion Los Cerezos, Paraje Baul, en las margenes de la canada La Berenjena","Arbolito de 4m, con botones.","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://d2seqvvyy3b8p2.cloudfront.net/29bba76bc587dc763195931fd31e4508.jpg"
"2270560127","Calyptranthes sintenisii Kiaersk.",19.133333,-70.666667,"cdc,gass84,rdativ,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:16.177+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3181599,6,7707728,220,690,5014,3173889,10733215,10733215,"Myrcia neosintenisii K.Campbell & Peguero","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neosintenisii","Calyptranthes","sintenisii","SPECIES","SYNONYM","NE",NA,2000,"NORTH_AMERICA","La Vega",2009,5,23,"2009-05-23",143,143,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:16.177+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3101152","http://creativecommons.org/licenses/by-sa/4.0/",FALSE,"3101152","none","none",TRUE,NA,"A. C. Araujo; E. J. Lucas, T. Ulian, A. Veloz",NA,"WGS84","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA",NA,"3101152",NA,NA,NA,"Plants","2270560127","90b4b23e-1beb-4e0a-9f4a-00dbd5f9296e","47726","ASU0057265","ASU",NA,NA,NA,"Calyptranthes sintenisii Kiaersk.",NA,NA,NA,NA,NA,NA,NA,"1785","Heavily disturbed humid forest, river margin.",NA,NA,"Jarabacoa, Rancho Fiasal, 1 km from main road, then 300 m along river from end of road.",NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calyptranthes","ksanderford","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","278218","reviewed - high confidence","90b4b23e-1beb-4e0a-9f4a-00dbd5f9296e","http://creativecommons.org/licenses/by-nc/3.0/","Material coletado en silica.; Small tree to 6.5 m, bark grey and mottled, flowers white, buds green, fresh leaves green and strong smelling of lemons.","alorozco","a2e32c87-d320-4a01-bafd-a9182ae2e191","georef batch tool 2012-07-05; GeoLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0057/ASU0057265a_lg.jpg"
"2270672499","Calyptranthes sintenisii Kiaersk.",19.0833,-69.4833,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:05.405+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3181599,6,7707728,220,690,5014,3173889,10733215,10733215,"Myrcia neosintenisii K.Campbell & Peguero","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neosintenisii","Calyptranthes","sintenisii","SPECIES","SYNONYM","NE",NA,NA,"NORTH_AMERICA","Hato Mayor",2002,8,7,"2002-08-07",219,219,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:05.405+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=761573","http://creativecommons.org/licenses/by-sa/4.0/",FALSE,"761573","none","none",FALSE,NA,"Andrew Salywon; Neil Snow, M. de la Cruz.",NA,"WGS84","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA",NA,"761573",NA,NA,NA,"Plants","2270672499","7c7dae98-8334-4ae2-a8de-df14e36f623e","47726","ASU0008875","ASU",NA,NA,NA,"Calyptranthes sintenisii Kiaersk.",NA,NA,"none",NA,NA,NA,NA,"1368",NA,NA,NA,"Parque Nacional Los Haitises Prov. Hato Mayor, Mpio. Sabana de la Mar, Boca del Infierno, en un cayo a 200m de Boca del Infierno.",NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calyptranthes",NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","241658",NA,"7c7dae98-8334-4ae2-a8de-df14e36f623e","http://creativecommons.org/licenses/by-nc/3.0/","Small tree 3-4m high growing by ocean edge on a small island.","marisin","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0008/ASU0008875_lg.jpg"
"2270674489","Calyptranthes sintenisii Kiaersk.",18.3462,-66.7525,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:05.415+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3181599,6,7707728,220,690,5014,3173889,10733215,10733215,"Myrcia neosintenisii K.Campbell & Peguero","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neosintenisii","Calyptranthes","sintenisii","SPECIES","SYNONYM","NE",NA,2000,"NORTH_AMERICA",NA,1999,7,6,"1999-07-06",187,187,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:05.415+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=761574","http://creativecommons.org/licenses/by-sa/4.0/",FALSE,"761574","none","none",FALSE,NA,"Andrew Salywon; F. Axelrod, D. Seigler, C. Trejo, E. Bravo",NA,"WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA",NA,"761574",NA,NA,NA,"Plants","2270674489","01190bcb-2ec2-4c58-a829-7c83c807678c","47726","ASU0008874","ASU",NA,NA,NA,"Calyptranthes sintenisii Kiaersk.",NA,NA,NA,NA,NA,NA,NA,"809",NA,NA,NA,"Mpio. de Arecibo. Barrio Rio Arriba/Rio Abajo. Rio Abajo Forest Reserve, area south of Rte 621 ca. 1.2 km west of Forest Reserve office.",NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calyptranthes","jssharpe","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","237633","reviewed - high confidence","01190bcb-2ec2-4c58-a829-7c83c807678c","http://creativecommons.org/licenses/by-nc/3.0/","Locally common tree 3m tall. Crushed leaves very strngly lemon scented.","marisin","a2e32c87-d320-4a01-bafd-a9182ae2e191","georef batch tool 2012-07-10",NA,NA,NA,NA,NA,NA,NA,"Locally common tree 3 m tall. Crushed leaves very strngly lemon scented.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0008/ASU0008874_lg.jpg"
"2270674095","Calyptranthes sintenisii Kiaersk.",18.45,-69.2333,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:05.459+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3181599,6,7707728,220,690,5014,3173889,10733215,10733215,"Myrcia neosintenisii K.Campbell & Peguero","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neosintenisii","Calyptranthes","sintenisii","SPECIES","SYNONYM","NE",NA,NA,"NORTH_AMERICA","San Pedro de Macoris",1993,5,7,"1993-05-07",127,127,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:05.459+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=761576","http://creativecommons.org/licenses/by-sa/4.0/",FALSE,"761576","none","none",FALSE,NA,"R. Garcia; F. Jimenez y  A. Veloz.",NA,"WGS84","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA",NA,"761576",NA,NA,NA,"Plants","2270674095","38bf3d0b-4341-43ec-a185-a1c00f6c06f6","47726","ASU0008878","ASU",NA,NA,NA,"Calyptranthes sintenisii Kiaersk.",NA,NA,NA,NA,NA,NA,NA,"4579","Area con arboles dejado como una sombra para el ganado.",NA,NA,"Rep. Dominicana: Llanura Oriental: Prov. San Pedro de Macoris: lado Sur de la carretera hacia La Romana; El Penon, en una finca ganadera de J. Hasin.",NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calyptranthes",NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","255252",NA,"38bf3d0b-4341-43ec-a185-a1c00f6c06f6","http://creativecommons.org/licenses/by-nc/3.0/","Arbol, 6m de alto, boton floral marron.","marisin","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ecologicallyOccursWith: Swietenia|ecologicallyOccursWith: Chlorophora|ecologicallyOccursWith: Zanthoxylon|ecologicallyOccursWith: Ficus","flowers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0008/ASU0008878_lg.jpg"
"2270673608","Calyptranthes sintenisii Kiaersk.",18.519989,-69.884769,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:05.577+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3181599,6,7707728,220,690,5014,3173889,10733215,10733215,"Myrcia neosintenisii K.Campbell & Peguero","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neosintenisii","Calyptranthes","sintenisii","SPECIES","SYNONYM","NE",NA,15000,"NORTH_AMERICA","Distrito Nacional",1992,5,17,"1992-05-17",138,138,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:05.577+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=761571","http://creativecommons.org/licenses/by-sa/4.0/",FALSE,"761571","none","none",FALSE,NA,"B. Santana","L.R. Landrum, 2005.","WGS84","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA",NA,"761571",NA,NA,NA,"Plants","2270673608","0730db14-c231-414e-9b2b-ad12cdb647db","47726","ASU0008877","ASU",NA,NA,NA,"Calyptranthes sintenisii Kiaersk.",NA,NA,NA,NA,NA,NA,NA,"929-A","Bosque costero alterado",NA,NA,"Llanura Costera: Districto Nacional: Juan Dolio: km. 12 al 0 de San Pedro de Macoris.",NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calyptranthes","ksanderford","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","232440","reviewed - high confidence","0730db14-c231-414e-9b2b-ad12cdb647db","http://creativecommons.org/licenses/by-nc/3.0/","Arbolito, flores.","marisin","a2e32c87-d320-4a01-bafd-a9182ae2e191","georef batch tool 2012-07-03; GeoLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ecologicallyOccursWith: Coccoloba|ecologicallyOccursWith: Sideroxylon|ecologicallyOccursWith: Bursera|ecologicallyOccursWith: etc","flowers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0008/ASU0008877_lg.jpg"
"2270673690","Calyptranthes sintenisii Kiaersk.",19.216034,-69.334395,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:05.580+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3181599,6,7707728,220,690,5014,3173889,10733215,10733215,"Myrcia neosintenisii K.Campbell & Peguero","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neosintenisii","Calyptranthes","sintenisii","SPECIES","SYNONYM","NE",NA,3036,"NORTH_AMERICA","El Seibo",1989,8,16,"1989-08-16",228,228,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:05.580+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=761572","http://creativecommons.org/licenses/by-sa/4.0/",FALSE,"761572","none","none",FALSE,NA,"C. L. Jones",NA,"WGS84","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA",NA,"761572",NA,NA,NA,"Plants","2270673690","3ecab407-d594-455a-8cca-25b4207e2e8e","47726","ASU0008876","ASU",NA,NA,NA,"Calyptranthes sintenisii Kiaersk.",NA,NA,NA,NA,NA,15,NA,"121","Broadleaf forest on Mogotes of limestone rock.",NA,NA,"Cueva de La Arena along coast. Parque Nac. Los Haitisis. On side of Bahia de Samana, from Cueva de Arena to Boca de Infierno.",NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calyptranthes","ksanderford","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","190771","reviewed - high confidence","3ecab407-d594-455a-8cca-25b4207e2e8e","http://creativecommons.org/licenses/by-nc/3.0/","Fruit green. 3-4 m tall.","marisin","a2e32c87-d320-4a01-bafd-a9182ae2e191","georef batch tool 2012-07-03; GeoLocate",NA,NA,NA,NA,NA,NA,NA,"Fruit green, 3-4m. Tall.",NA,NA,NA,NA,NA,15,"herbariumSpecimenDuplicate: https://swbiodiversity.org/seinet/collections/individual/index.php?guid=UCR-BPS-142310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0008/ASU0008876_lg.jpg"
"2270673886","Calyptranthes sintenisii Kiaersk.",18.4833,-70.4583,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:05.516+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3181599,6,7707728,220,690,5014,3173889,10733215,10733215,"Myrcia neosintenisii K.Campbell & Peguero","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neosintenisii","Calyptranthes","sintenisii","SPECIES","SYNONYM","NE",NA,NA,"NORTH_AMERICA","Peravia",1987,8,19,"1987-08-19",231,231,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:05.516+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=761570","http://creativecommons.org/licenses/by-sa/4.0/",FALSE,"761570","none","none",FALSE,NA,"J. Pimentel; R. Garcia","L.R. Landrum, 2005.","WGS84","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA",NA,"761570",NA,NA,NA,"Plants","2270673886","3b27d9d3-d19f-40af-9155-e2d00c2b329e","47726","ASU0008879","ASU",NA,NA,NA,"Calyptranthes sintenisii Kiaersk.",NA,NA,NA,NA,NA,1350,NA,"802","Bosque humedo y latifoliado con plama manacla.",NA,NA,"Rep. Dominicana: Cordillera Central: Prov. Peravia: Loma del Rancho SE de San Jose de Ocoa.",NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calyptranthes",NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","232439",NA,"3b27d9d3-d19f-40af-9155-e2d00c2b329e","http://creativecommons.org/licenses/by-nc/3.0/","Arbol de 5m de alto, flores crema.","marisin","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ecologicallyOccursWith: Prestoea montana","flowers",NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0008/ASU0008879_lg.jpg"
"1928464841","Calyptranthes sintenisii Kiaersk.",18.474157,-66.267656,"cdround,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:15:26.080+00:00",415,"PRESERVED_SPECIMEN","PRESENT",3181599,6,7707728,220,690,5014,3173889,10733215,10733215,"Myrcia neosintenisii K.Campbell & Peguero","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neosintenisii","Calyptranthes","sintenisii","SPECIES","SYNONYM","NE",NA,NA,"NORTH_AMERICA","Dorado",1985,4,2,"1985-04-02",92,92,NA,"2024-07-21T05:15:26.080+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1012681","http://creativecommons.org/licenses/by-sa/4.0/",FALSE,"31452f89-422d-462c-b853-16e21d190391","none","none",FALSE,"Vascular plants","T. B. Croat",NA,"WGS84","Magnoliopsida","PR","none","none","LATIN_AMERICA","Puerto Rico","NORTH_AMERICA","The New York Botanical Garden","31452f89-422d-462c-b853-16e21d190391",NA,"02 Apr 1985",NA,"NY","1928464841","31452f89-422d-462c-b853-16e21d190391",NA,"946204","NY",NA,NA,NA,"Calyptranthes sintenisii Kiaersk.",NA,NA,NA,NA,NA,NA,NA,"60859",NA,NA,NA,"Dorado Beach Forest: Vicinity of Dorado, on Dorado Beach Hotel Property.",NA,NA,NA,"ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",NA,NA,NA,NA,NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:15556","Google Earth","sheet","http://biocol.org/urn:lsid:biocol.org:col:15556","ICN",NA,"en","PhysicalObject",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-01-08","33 ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/189/453/v-247-00946204.jpg"
"2270672696","Calyptranthes sintenisii Kiaersk.",19.0833,-69.5833,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:05.095+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3181599,6,7707728,220,690,5014,3173889,10733215,10733215,"Myrcia neosintenisii K.Campbell & Peguero","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neosintenisii","Calyptranthes","sintenisii","SPECIES","SYNONYM","NE",NA,NA,"NORTH_AMERICA","Samana",1985,4,23,"1985-04-23",113,113,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:05.095+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=761575","http://creativecommons.org/licenses/by-sa/4.0/",FALSE,"761575","none","none",TRUE,NA,"T. Zanoni; M. Mejia, J. Pimentel and R. Garcia",NA,"WGS84","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA",NA,"761575",NA,NA,NA,"Plants","2270672696","80615b64-2542-4b1e-b720-7467281c26b7","47726","ASU0008880","ASU",NA,NA,NA,"Calyptranthes sintenisii Kiaersk.",NA,NA,NA,NA,NA,NA,NA,"34149","bosque latifoliado y muy humedo, suelo rojo y arcilloso.",NA,NA,"Rep. Dominicana: Parque Nacional Los Hitises: Prov. Samana: Seccion Caba, al interior de la Caseta No.2 de Naranjo Arriba, aprox. 8km al oeste de Boca de Infierno.",NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Calyptranthes",NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","149202",NA,"80615b64-2542-4b1e-b720-7467281c26b7","http://creativecommons.org/licenses/by-nc/3.0/","Arbol 4m, fl. blanca, haz de hoja verde oscuro y enves amarillo-verde mediano.","marisin","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"flowers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0008/ASU0008880_lg.jpg"
