"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","datasetName","otherCatalogNumbers","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","recordNumber","identifier.1","institutionID","municipality","locality","collectionCode","gbifID","occurrenceID","catalogNumber","institutionCode","fieldNotes","occurrenceRemarks","name","elevation","elevationAccuracy","verbatimEventDate","bibliographicCitation","dynamicProperties","higherGeography","habitat","georeferenceProtocol","eventRemarks","higherClassification","gadm","identificationQualifier","references","preparations","nomenclaturalCode","county","language","type","identificationRemarks","verbatimElevation","collectionID","fieldNumber","verbatimLocality","typeStatus","individualCount","nomenclaturalStatus","taxonID","ownerInstitutionCode","georeferenceSources","typifiedName","recordedByIDs.type","recordedByIDs.value","media_url","license"
"3802871366","Myrcia reticulosa Miq.",-13.155833,-41.808056,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:57.482+00:00",520,"PRESERVED_SPECIMEN","PRESENT",3174554,6,7707728,220,690,5014,3173889,3174554,3174554,"Myrcia reticulosa Miq.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia reticulosa","Myrcia","reticulosa","SPECIES","ACCEPTED","LC","2018-01-01T00:00:00","SOUTH_AMERICA","Bahia",2018,1,13,"2018-01-13",13,13,"2022-05-23T19:34:52.000+00:00","2024-08-01T12:21:57.482+00:00",FALSE,"urn:catalog:JBRJ:RB:1462507","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 830892","A. Stadnik; Sistemática de Fanerógamas","A. Stadnik","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","460","urn:catalog:JBRJ:RB:1462507","04.936.616/0001-20","Piatã","Povoado de Maurícia. Trilha para os Gerais de Piatã através da Serra da Tomba.","RB","3802871366","urn:catalog:JBRJ:RB:1462507","RB01462507","JBRJ","Cerrado.","Árvore. Folhas discolores. Sépalas verdes. Cálice alvo.","Myrcia reticulosa Miq.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/46/25/7/01462507.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"2996051118","Myrcia reticulosa Miq.",-16.460556,-48.383889,"cdc,cdround,elmms,gass84,iddativ,rdativ,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:37.357+00:00",203,"PRESERVED_SPECIMEN","PRESENT",3174554,6,7707728,220,690,5014,3173889,3174554,3174554,"Myrcia reticulosa Miq.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia reticulosa","Myrcia","reticulosa","SPECIES","ACCEPTED","LC",NA,"SOUTH_AMERICA","Distrito Federal",2018,9,3,"2018-09-03",246,246,NA,"2024-07-01T12:17:37.357+00:00",FALSE,"5539910","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",TRUE,NA,NA,"Guedes, ML;Araújo, F,Lopes, EB","Stadnik, A","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","30844","5539910",NA,"Brasília","Jardim Botânico","ALCB","2996051118","5539910","ALCB055689","ALCB","Folhas coriáceas, discolores. Inflorescência panícula com ráquis e cálices ferrugíneos.","Folhas coriáceas, discolores. Inflorescência panícula com ráquis e cálices ferrugíneos.","Myrcia reticulosa Miq.",570,570,"03/09/2018","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5539910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/5/56/89/alcb00055689.dzi","http://creativecommons.org/publicdomain/zero/1.0/"
"1427600906","Myrcia reticulosa Miq.",-17.96,-43.788333,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:49.858+00:00",520,"PRESERVED_SPECIMEN","PRESENT",3174554,6,7707728,220,690,5014,3173889,3174554,3174554,"Myrcia reticulosa Miq.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia reticulosa","Myrcia","reticulosa","SPECIES","ACCEPTED","LC","2019-03-01T00:00:00","SOUTH_AMERICA","Minas Gerais",2016,11,4,"2016-11-04",309,309,"2020-06-07T05:44:37.000+00:00","2024-08-01T12:21:49.858+00:00",FALSE,"urn:catalog:JBRJ:RB:1219112","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 674238","G. Martinelli; T.Lima, D.Maurenza","T. Fernandes","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","19739","urn:catalog:JBRJ:RB:1219112","04.936.616/0001-20","Diamantina","trilha ntre a Pedra Redonda e Serra do Galho. campos rupestres. Parque Nacional Sempre Vivas","RB","1427600906","urn:catalog:JBRJ:RB:1219112","RB01219112","JBRJ",NA,"arbusto, 1,60m, saxícola, heliófila; folhas verdes, concolores; flores com pedicelos de cor verde, calice verde-alvacento, corola alva, estames alvos; botões florais de cor verde.","Myrcia reticulosa Miq.",1240,NA,NA,NA,"{""project"" : ""Projeto Inventários em Àreas Prioritárias para Conservação""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/21/91/12/01219112.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"4519391824","Myrcia reticulosa Miq.",-18.130555,-43.379166,"cdc,cdround,gass84,inmano","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:15:38.478+00:00",407,"PRESERVED_SPECIMEN","PRESENT",3174554,6,7707728,220,690,5014,3173889,3174554,3174554,"Myrcia reticulosa Miq.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia reticulosa","Myrcia","reticulosa","SPECIES","ACCEPTED","LC","2018-06-01T00:00:00","SOUTH_AMERICA",NA,2015,10,12,"2015-10-12T00:00",285,285,NA,"2024-08-02T01:15:38.478+00:00",FALSE,"K000771909","none","none",NA,NA,TRUE,NA,NA,"Martinelli, G.; Baez, C.","Lucas, E. & Samra, K.","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE",NA,"18851","K000771909",NA,"Sao Goncalo do Rio Preto","Parque Estadual do Rio Preto, Vale das Estrelas.","Herbarium","4519391824","http://specimens.kew.org/herbarium/K000771909","K000771909",NA,NA,NA,"Myrcia reticulosa Miq.",1050,NA,NA,NA,NA,"Sao Goncalo do Rio Preto","Campos rupestres com capoes de Cerrado.","Label","Arbusto, 1,70m heliofila. Folhas verdes, discolores; flores de cor alvacenta; botoes florais de cor verde.","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://d2seqvvyy3b8p2.cloudfront.net/eae27fe65c7547276649ea22438b8cf9.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"1424474064","Myrcia reticulosa Miq.",-19.016389,-43.391111,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:43.231+00:00",520,"PRESERVED_SPECIMEN","PRESENT",3174554,6,7707728,220,690,5014,3173889,3174554,3174554,"Myrcia reticulosa Miq.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia reticulosa","Myrcia","reticulosa","SPECIES","ACCEPTED","LC","2013-02-01T00:00:00","SOUTH_AMERICA","Minas Gerais",2012,12,6,"2012-12-06",341,341,"2017-10-11T02:28:51.000+00:00","2024-08-01T12:21:43.231+00:00",FALSE,"urn:catalog:JBRJ:RB:836887","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 593222","C.V. Vidal; R.E. de Paula","R.C. da Mota","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","1069","urn:catalog:JBRJ:RB:836887","04.936.616/0001-20","Conceição do Mato Dentro",NA,"RB","1424474064","urn:catalog:JBRJ:RB:836887","RB00836887","JBRJ","Floresta semidecidual","Arbustivo","Myrcia reticulosa Miq.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/83/68/87/00836887.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"2996049082","Myrcia reticulosa Miq.",-13.15,-41.766667,"cdc,cdround,gass84,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:35.582+00:00",203,"PRESERVED_SPECIMEN","PRESENT",3174554,6,7707728,220,690,5014,3173889,3174554,3174554,"Myrcia reticulosa Miq.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia reticulosa","Myrcia","reticulosa","SPECIES","ACCEPTED","LC","2019-06-17T00:00:00","SOUTH_AMERICA","Bahia",2005,3,24,"2005-03-24",83,83,NA,"2024-07-01T12:17:35.582+00:00",FALSE,"3741933","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",TRUE,NA,NA,"Guedes, ML;Velozo, ES","Stadnik, A","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","11763","3741933",NA,"Piatã","Chapada Diamantina, Malhada","ALCB","2996049082","3741933","ALCB008662","ALCB","de ca 1,5m. Folhas coriáceas, discolores. Frutos maduros vináceos. Freqüente.","de ca 1,5m. Folhas coriáceas, discolores. Frutos maduros vináceos. Freqüente.","Myrcia reticulosa Miq.",NA,NA,"24/03/2005","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=3741933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/0/86/62/alcb00008662.dzi","http://creativecommons.org/publicdomain/zero/1.0/"
"4900549163","Myrcia reticulosa Miq.",-10.943333,-40.407778,"cdc,cdround,elmms,gass84,iddativ,rdativ,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:43.310+00:00",203,"PRESERVED_SPECIMEN","PRESENT",3174554,6,7707728,220,690,5014,3173889,3174554,3174554,"Myrcia reticulosa Miq.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia reticulosa","Myrcia","reticulosa","SPECIES","ACCEPTED","LC",NA,"SOUTH_AMERICA","Bahia",2001,4,10,"2001-04-10",100,100,NA,"2024-07-01T12:17:43.310+00:00",FALSE,"6270132","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",FALSE,NA,NA,"Jesus, NG de;Tourinho, R,Bautista, HP,Ribeiro, T","Stadnik, A","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","1361","6270132",NA,"Pindobaçu","Piemonte da Diamantina, Serra da Paciência","ALCB","4900549163","6270132","ALCB00060387","ALCB","Ca. 2 m de altura. Folhas semi-coriáceas, discolores. Flores alavas. Substrato rochoso.","Ca. 2 m de altura. Folhas semi-coriáceas, discolores. Flores alavas. Substrato rochoso.","Myrcia reticulosa Miq.",500,500,"10/04/2001","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=6270132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/6/3/87/alcb00060387.dzi","http://creativecommons.org/publicdomain/zero/1.0/"
"1928570119","Myrcia reticulosa Miq.",-12.853611,-39.475833,"cdround,gass84,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862",NA,"17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:13:34.146+00:00",415,"PRESERVED_SPECIMEN","PRESENT",3174554,6,7707728,220,690,5014,3173889,3174554,3174554,"Myrcia reticulosa Miq.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia reticulosa","Myrcia","reticulosa","SPECIES","ACCEPTED","LC",NA,"SOUTH_AMERICA","Bahia",2000,2,24,"2000-02-24",55,55,NA,"2024-07-21T05:13:34.146+00:00",FALSE,"38b91c5f-1d79-4872-a4e3-72588025903f","none","none","ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72",TRUE,"Vascular plants",NA,"J. G. Jardim","M. Sobral","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA","The New York Botanical Garden","2840","38b91c5f-1d79-4872-a4e3-72588025903f","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,"14.5 km na rod. Elisio Madrado/Sta. Teresinha. Torre da Embratel, ca. 7 km do Distr. de Pedra Branca.  Serra da Giboia.","NY","1928570119","38b91c5f-1d79-4872-a4e3-72588025903f","01195890","NY",NA,NA,"Myrcia reticulosa Miq.",NA,NA,"24 Feb 2000",NA,NA,NA,"Mata de Encosta",NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1404311","sheet","ICN","Santa Teresinha Mun.","en","PhysicalObject","Duplicate specimen at herb. HUEFS--82287 and HUEFS--62645 identified as such.","2461 ft","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/2156/598/01195890.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"1586073661","Myrcia reticulosa Miq.",-20.421667,-41.821111,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:49.090+00:00",520,"PRESERVED_SPECIMEN","PRESENT",3174554,6,7707728,220,690,5014,3173889,3174554,3174554,"Myrcia reticulosa Miq.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia reticulosa","Myrcia","reticulosa","SPECIES","ACCEPTED","LC","2019-08-01T00:00:00","SOUTH_AMERICA","Minas Gerais",2000,2,20,"2000-02-20",51,51,"2019-09-06T17:09:40.000+00:00","2024-08-01T12:21:49.090+00:00",FALSE,"urn:catalog:JBRJ:RB:1347301","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 741055","V.C. Souza; J.P. Souza; W. Foswter; F.F. Mazine","T. Fernandes","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","23556","urn:catalog:JBRJ:RB:1347301","04.936.616/0001-20","Alto Caparaó","Morro da Jumenta","RB","1586073661","urn:catalog:JBRJ:RB:1347301","RB01347301","JBRJ",NA,NA,"Myrcia reticulosa Miq.",2330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/34/73/1/01347301.jpg","http://creativecommons.org/publicdomain/zero/1.0/"
"4900579900","Myrcia reticulosa Miq.",-12.939722,-41.475278,"cdc,cdround,elmms,gass84,iddativ,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:44.862+00:00",203,"PRESERVED_SPECIMEN","PRESENT",3174554,6,7707728,220,690,5014,3173889,3174554,3174554,"Myrcia reticulosa Miq.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia reticulosa","Myrcia","reticulosa","SPECIES","ACCEPTED","LC",NA,"SOUTH_AMERICA","Bahia",1997,2,15,"1997-02-15",46,46,NA,"2024-07-01T12:17:44.862+00:00",FALSE,"6269644","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",FALSE,NA,NA,"Saar, E;Guedes, ML,Santos, TRM dos,Atkins, S,Passos Júnior, LA,Stannard, B","Santos, MF dos","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","PCD5704","6269644",NA,"Mucugê","Chapada Diamantina, Caminho para Guiné","ALCB","4900579900","6269644","ALCB00059875","ALCB","2,0 m. Folhas coriáceas, discolores. Fruto vinho.","2,0 m. Folhas coriáceas, discolores. Fruto vinho.","Myrcia reticulosa Miq.",520,520,"15/02/1997","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=6269644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/5/98/75/alcb00059875_1.dzi","http://creativecommons.org/publicdomain/zero/1.0/"
