"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","license","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","verbatimEventDate","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","coordinateUncertaintyInMeters","identificationRemarks","networkKeys","elevation","higherGeography","recordNumber","habitat","municipality","locality","eventRemarks","higherClassification","individualCount","lifeStage","institutionKey","collectionKey","institutionID","collectionID","gadm","preparations","fieldNotes","fieldNumber","typeStatus","nomenclaturalCode","language","type","verbatimElevation","otherCatalogNumbers","http...unknown.org.recordID","rights","occurrenceRemarks","http...unknown.org.recordEnteredBy","reproductiveCondition","nomenclaturalStatus","ownerInstitutionCode","bibliographicCitation","locationRemarks","georeferenceProtocol","recordedByIDs.type","recordedByIDs.value","dynamicProperties","media_url"
"4519398181","Myrcia rupta M.L.Kawas. & B.Holst",-2.4075,-60.7825,"cdc,gass84,inmano","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:15:42.342+00:00",407,"PRESERVED_SPECIMEN","PRESENT",3175223,6,7707728,220,690,5014,3173889,3175223,3175223,"Myrcia rupta M.L.Kawas. & B.Holst","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia rupta","Myrcia","rupta","SPECIES","ACCEPTED","LC",NA,"SOUTH_AMERICA",NA,2014,9,19,"2014-09-19T00:00",262,262,NA,"2024-08-02T01:15:42.342+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"K001265122","none","none",FALSE,NA,"Vasconcelos, T.N.C.; Giaretta, A.; Devecchi, M.F.; Fonseca, L.; Gomes, B.M.; Francisco, J.N.C.",NA,"WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE",NA,"K001265122",NA,NA,NA,"Herbarium","4519398181","http://specimens.kew.org/herbarium/K001265122",NA,"K001265122",NA,NA,NA,NA,"Myrcia rupta M.L.Kawas. & B.Holst",NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",-30,"Novo Airao","311","'Caatinga Igapo', Campinarana","Novo Airao","Parque Nacional de Anavilhanas","Arvoreta 3m. Flores brancas. Frutos verdes.","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://d2seqvvyy3b8p2.cloudfront.net/aa3be3bd749550cd0819080fbdb1cc4a.jpg"
"4519385742","Myrcia rupta M.L.Kawas. & B.Holst",3.698333,-54.031944,"cdc,cdround,gass84,inmano","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:14:47.225+00:00",407,"PRESERVED_SPECIMEN","PRESENT",3175223,6,7707728,220,690,5014,3173889,3175223,3175223,"Myrcia rupta M.L.Kawas. & B.Holst","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia rupta","Myrcia","rupta","SPECIES","ACCEPTED","LC","2007-01-01T00:00:00","SOUTH_AMERICA",NA,2007,12,4,"2007-12-04T00:00",338,338,NA,"2024-08-02T01:14:47.225+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"K000752107","none","none",FALSE,NA,"Tostain, O.; Crozier, F.","M.L.Kawas. & B.Holst","WGS84","Magnoliopsida","GF","none","none","LATIN_AMERICA","French Guiana","EUROPE",NA,"K000752107",NA,NA,NA,"Herbarium","4519385742","http://specimens.kew.org/herbarium/K000752107",NA,"K000752107",NA,NA,NA,NA,"Myrcia rupta M.L.Kawas. & B.Holst",NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",160,"Maripasoula","1383",NA,"Maripasoula","Nouveau Centre d'Enfouissement. Commune de Maripasoula, en bordure de la piste de Papaichton, localisation centree sur 21 N 829749 Est / 0409338 Nord UTM (systeme WGS 84)","Foret sur sol lateritque, relief de collines. Vegetatuin secondaire de bord de piste et foret primaire attenante. En cours de degradation (abattis, decharge, ...)","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://d2seqvvyy3b8p2.cloudfront.net/9f7b8fe0fc4adff15b0a6bcf2254411c.jpg"
"1456105853","Myrcia rupta M.L.Kawas. & B.Holst",3.91,-54.2,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:39:12.620+00:00",403,"PRESERVED_SPECIMEN","PRESENT",3175223,6,7707728,220,690,5014,3173889,3175223,3175223,"Myrcia rupta M.L.Kawas. & B.Holst","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia rupta","Myrcia","rupta","SPECIES","ACCEPTED","LC",NA,"SOUTH_AMERICA",NA,2005,2,20,"2005-02-20",51,51,"2019-01-10T10:17:00.000+00:00","2024-08-02T12:39:12.620+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"http://n2t.net/ark:/65665/34f482892-9940-4ec6-a978-501f61087c45","none","none",TRUE,"NMNH Extant Biology","J.-J. de Granville, F. Crozier & J. Vanderplank","Crozier, F.","WGS84","Magnoliopsida","GF","none","none","LATIN_AMERICA","French Guiana","NORTH_AMERICA",NA,"http://n2t.net/ark:/65665/34f482892-9940-4ec6-a978-501f61087c45",NA,"20-Feb-05",NA,"US","1456105853","http://n2t.net/ark:/65665/34f482892-9940-4ec6-a978-501f61087c45",NA,"US 3553964","US",NA,NA,NA,"Myrcia rupta M.L.Kawas. & B.Holst",NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",400,"South America - Neotropics, French Guiana","16863","Foret haute sur sol bien draine. Sous-bois",NA,"Monts Kotika, versant Ouest. Environs du camp nº2, point GPS C3",NA,"Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae",1,"Flowering","be5b9c72-e499-42b8-a5dc-c27505cf232e","151c91ba-a521-4735-8c11-5abf8db7fb67","urn:lsid:biocol.org:col:15463","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m323a71f28-533e-49f7-9942-5852974499f5"
"1456376020","Myrcia rupta M.L.Kawas. & B.Holst",3.91,-54.2,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:40:05.811+00:00",403,"PRESERVED_SPECIMEN","PRESENT",3175223,6,7707728,220,690,5014,3173889,3175223,3175223,"Myrcia rupta M.L.Kawas. & B.Holst","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia rupta","Myrcia","rupta","SPECIES","ACCEPTED","LC",NA,"SOUTH_AMERICA",NA,2005,2,16,"2005-02-16",47,47,"2019-01-10T15:03:00.000+00:00","2024-08-02T12:40:05.811+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"http://n2t.net/ark:/65665/3cd7afe78-8822-4aa6-9b4b-ae3584cdb2a7","none","none",TRUE,"NMNH Extant Biology","J.-J. de Granville, F. Crozier & J. Vanderplank","Crozier, F.","WGS84","Magnoliopsida","GF","none","none","LATIN_AMERICA","French Guiana","NORTH_AMERICA",NA,"http://n2t.net/ark:/65665/3cd7afe78-8822-4aa6-9b4b-ae3584cdb2a7",NA,"16-Feb-05",NA,"US","1456376020","http://n2t.net/ark:/65665/3cd7afe78-8822-4aa6-9b4b-ae3584cdb2a7",NA,"US 3506343","US",NA,NA,NA,"Myrcia rupta M.L.Kawas. & B.Holst",NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",400,"South America - Neotropics, French Guiana","16710","Forêt haute sur sols bien drainé, environ du camp; fur sol hydromorphe en bas de pente",NA,"Monts Koitka, versant Ouest",NA,"Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae",1,"Flowering","be5b9c72-e499-42b8-a5dc-c27505cf232e","151c91ba-a521-4735-8c11-5abf8db7fb67","urn:lsid:biocol.org:col:15463","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m397f1031c-784f-4093-a3e0-78d25ad9cfbb"
"1265113417","Myrcia rupta M.L.Kawas. & B.Holst",4.05,-52.7,"cdc,gass84","b5cdf794-8fa4-4a85-8b26-755d087bf531","2cd829bb-b713-433d-99cf-64bef11e5b3e","86c2834b-fcd6-418d-9b32-aca45110a0fe","2cd829bb-b713-433d-99cf-64bef11e5b3e","FR","EML","2024-07-31T14:46:57.413+00:00","2024-07-31T15:50:57.011+00:00",549,"PRESERVED_SPECIMEN","PRESENT",3175223,6,7707728,220,690,5014,3173889,3175223,3175223,"Myrcia rupta M.L.Kawas. & B.Holst","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia rupta","Myrcia","rupta","SPECIES","ACCEPTED","LC",NA,"SOUTH_AMERICA",NA,1994,10,29,"1994-10-29",302,302,"2016-03-09T17:11:54.000+00:00","2024-07-31T15:50:57.011+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p01036334","none","none",TRUE,NA,"Riera, B.|Poncy, O.|Joly, A.",NA,"WGS84","Magnoliopsida","GF","none","none","LATIN_AMERICA","French Guiana","EUROPE",NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p01036334",NA,NA,"Station des Nouragues. Bassin de l'Arataye. Carré 15 M","P","1265113417","http://coldb.mnhn.fr/catalognumber/mnhn/p/p01036334",NA,"P01036334","MNHN",NA,NA,NA,"Myrcia rupta M.L.Kawas. & B.Holst",NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6a6ac6c5-1b8a-48db-91a2-f8661274ff80","bc3d39fd-a7d4-4763-b951-2bdeddd8a5d2","http://grbio.org/institution/museum-national-dhistoire-naturelle",NA,NA,"hb","Arbuste de 3 m de haut. Fleurs rosées. Bouton blanc rosé","1976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://mediaphoto.mnhn.fr/media/1453125795790CzvFT99bydMtPbSE"
"4519386627","Myrcia rupta M.L.Kawas. & B.Holst",4.05,-52.7,"cdc,gass84,inmano","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:14:46.113+00:00",407,"PRESERVED_SPECIMEN","PRESENT",3175223,6,7707728,220,690,5014,3173889,3175223,3175223,"Myrcia rupta M.L.Kawas. & B.Holst","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia rupta","Myrcia","rupta","SPECIES","ACCEPTED","LC","2016-01-01T00:00:00","SOUTH_AMERICA",NA,1994,10,29,"1994-10-29T00:00",302,302,NA,"2024-08-02T01:14:46.113+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"K000684667","none","none",TRUE,NA,"Riéra, B.; Poncy, O., Joly, A.N.","Lucas, E.","WGS84","Magnoliopsida","GF","none","none","LATIN_AMERICA","French Guiana","EUROPE",NA,"K000684667",NA,NA,NA,"Herbarium","4519386627","http://specimens.kew.org/herbarium/K000684667",NA,"K000684667",NA,NA,NA,NA,"Myrcia rupta M.L.Kawas. & B.Holst",NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",NA,NA,"1976","Foret de basse altitude",NA,"Station des Nouragues, Bassin de l'Arataye, Carré 15M",NA,"Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://d2seqvvyy3b8p2.cloudfront.net/de63cd96eb2410334482d13358ebf517.jpg"
"1928976736","Myrcia rupta M.L.Kawas. & B.Holst",4.12,-52.08,"gass84,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:15:41.298+00:00",415,"PRESERVED_SPECIMEN","PRESENT",3175223,6,7707728,220,690,5014,3173889,3175223,3175223,"Myrcia rupta M.L.Kawas. & B.Holst","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia rupta","Myrcia","rupta","SPECIES","ACCEPTED","LC",NA,"SOUTH_AMERICA",NA,1991,1,14,"1991-01-14",14,14,NA,"2024-07-21T05:15:41.298+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209722","http://creativecommons.org/licenses/by/4.0/",FALSE,"55805f1b-1e6a-453f-9fb0-45864bd76d8c","none","none",TRUE,"Vascular plants","G. Cremers",NA,"WGS84","Magnoliopsida","GF","none","none","LATIN_AMERICA","French Guiana","NORTH_AMERICA","The New York Botanical Garden","55805f1b-1e6a-453f-9fb0-45864bd76d8c",NA,"14 Jan 1991",NA,"NY","1928976736","55805f1b-1e6a-453f-9fb0-45864bd76d8c",NA,"74077","NY",NA,NA,NA,"Myrcia rupta M.L.Kawas. & B.Holst",NA,NA,NA,NA,NA,"11606",NA,NA,"Crique Kapiri - R. N. 2 - Bassin de l' Approuague. Camp III vers le Camp IV",NA,NA,NA,NA,"ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","b2190553-4505-4fdd-8fff-065c8ca26f72","http://biocol.org/urn:lsid:biocol.org:col:15556","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,"sheet",NA,NA,"ISOTYPE","ICN","en","PhysicalObject","131 ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/635/196/00074077.jpg"
"2515673348","Myrcia rupta M.L.Kawas. & B.Holst",4.11667,-52.08333,"colmafu,inmafu","15f819bd-6612-4447-854b-14d12ee1022d","396d5f30-dea9-11db-8ab4-b8a03c50a862","65eb93af-41b8-4917-a5fc-cfe2a45aa4bf","396d5f30-dea9-11db-8ab4-b8a03c50a862","NL","DWC_ARCHIVE","2024-07-18T22:01:52.868+00:00","2024-07-18T23:55:07.671+00:00",270,"PRESERVED_SPECIMEN","PRESENT",3175223,6,7707728,220,690,5014,3173889,3175223,3175223,"Myrcia rupta M.L.Kawas. & B.Holst","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia rupta","Myrcia","rupta","SPECIES","ACCEPTED","LC",NA,"SOUTH_AMERICA","Cayenne",1991,1,14,"1991-01-14",14,14,NA,"2024-07-18T23:55:07.671+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"U  0005148@BRAHMS","none","none",TRUE,NA,"Cremers GA",NA,"WGS84","Magnoliopsida","GF","none","none","LATIN_AMERICA","French Guiana","EUROPE","Naturalis Biodiversity Center","U  0005148@BRAHMS",NA,NA,NA,"Botany","2515673348","https://data.biodiversitydata.nl/naturalis/specimen/U%20%200005148",NA,"U  0005148",NA,NA,NA,NA,"Myrcia rupta M.L.Kawas. & B.Holst",NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",NA,NA,"Cremers, GA 11606","Forêt sur crête de basse altitude",NA,"Crique de Kapiri - R.N. 2 - Bassin de l'Approuague Camp III vers le camp IV.",NA,"Plantae|Myrtales|Myrtaceae",NA,NA,"0e919a55-08d3-4bd2-aec1-200858fafd92","0add23db-a8f7-4d15-95ad-4ed0c5c8a055","Naturalis Biodiversity Center",NA,NA,NA,NA,NA,"HOLOTYPE","ICN",NA,NA,"0.0 m","16708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://medialib.naturalis.nl/file/id/U0005148_MLN/format/large"
"2270680890","Myrcia rupta M.L.Kawas. & B.Holst",3.6,-53.2833,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:06.979+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3175223,6,7707728,220,690,5014,3173889,3175223,3175223,"Myrcia rupta M.L.Kawas. & B.Holst","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia rupta","Myrcia","rupta","SPECIES","ACCEPTED","LC",NA,"SOUTH_AMERICA","Saul",1986,1,10,"1986-01-10",10,10,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:06.979+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=769597","http://creativecommons.org/licenses/by/4.0/",FALSE,"769597","none","none",TRUE,NA,"J. J. de Granville; C. Feuillet, L. Hollenberg, O. Pancy, M. Sangrey",NA,"WGS84","Magnoliopsida","GF","none","none","LATIN_AMERICA","French Guiana","NORTH_AMERICA",NA,"769597",NA,NA,NA,"Plants","2270680890","4fd8c780-88a3-49ce-af39-eeeb76eb1713","48175","ASU0019293","ASU",NA,NA,NA,"Myrcia rupta M.L.Kawas. & B.Holst",NA,NA,NA,350,NA,"8543",NA,NA,"Mont Galbao, pente entre Crique mana et le sommet.",NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Myrcia",NA,NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",NA,"a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,NA,NA,NA,"ISOPARATYPE",NA,NA,NA,NA,"162627","4fd8c780-88a3-49ce-af39-eeeb76eb1713","http://creativecommons.org/licenses/by-nc/3.0/","Origin: GUYANE; Arbuste 2 m.  Fleurs Blanches en Panicules","R. Schroeder",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0019/ASU0019293_lg.jpg"
"1456416684","Myrcia rupta M.L.Kawas. & B.Holst",4.58,-52.06,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:40:11.037+00:00",403,"PRESERVED_SPECIMEN","PRESENT",3175223,6,7707728,220,690,5014,3173889,3175223,3175223,"Myrcia rupta M.L.Kawas. & B.Holst","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia rupta","Myrcia","rupta","SPECIES","ACCEPTED","LC",NA,"SOUTH_AMERICA",NA,1986,12,14,"1986-12-14",348,348,"2019-01-10T09:46:00.000+00:00","2024-08-02T12:40:11.037+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"http://n2t.net/ark:/65665/3e06948de-f1ee-49c9-964f-b082a58b1764","none","none",FALSE,"NMNH Extant Biology","J.-J. de Granville","Holst, Bruce K.","WGS84","Magnoliopsida","GF","none","none","LATIN_AMERICA","French Guiana","NORTH_AMERICA",NA,"http://n2t.net/ark:/65665/3e06948de-f1ee-49c9-964f-b082a58b1764",NA,"14-Dec-86",NA,"US","1456416684","http://n2t.net/ark:/65665/3e06948de-f1ee-49c9-964f-b082a58b1764",NA,"US 3106576","US",NA,NA,NA,"Myrcia rupta M.L.Kawas. & B.Holst",NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",100,"South America - Neotropics, French Guiana","9073","Forêt de pente de basse altitude",NA,"Crique Solitaire, Montagne de Kaw, route de Kaw, PK 46",NA,"Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae",1,NA,"be5b9c72-e499-42b8-a5dc-c27505cf232e","151c91ba-a521-4735-8c11-5abf8db7fb67","urn:lsid:biocol.org:col:15463","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m38f6eb102-42d8-452f-a2b7-ec28d1580ae1"
