"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","license","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","verbatimEventDate","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","infraspecificEpithet","coordinateUncertaintyInMeters","occurrenceRemarks","distanceFromCentroidInMeters","recordedByIDs.type","recordedByIDs.value","identifiedByIDs.type","identifiedByIDs.value","institutionKey","preparations","recordNumber","informationWithheld","institutionID","nomenclaturalCode","county","disposition","ownerInstitutionCode","identificationRemarks","gadm","projectId","individualCount","elevation","elevationAccuracy","collectionKey","habitat","dataGeneralizations","http...unknown.org.recordID","municipality","locality","locationRemarks","rights","accessRights","higherClassification","collectionID","reproductiveCondition","previousIdentifications","networkKeys","verbatimElevation","higherGeography","georeferenceProtocol","island","otherCatalogNumbers","http...unknown.org.recordEnteredBy","verbatimTaxonRank","georeferenceRemarks","language","type","lifeStage","islandGroup","georeferencedBy","georeferenceVerificationStatus","georeferenceSources","eventRemarks","fieldNumber","dynamicProperties","georeferencedDate","associatedOccurrences","associatedTaxa","identificationQualifier","eventID","locationID","organismID","typeStatus","media_url"
"4523218327","Pimenta racemosa (Mill.) J.W.Moore",25.491,-80.473,"cdc,gass84,colmano,inmafu","b89d52a2-861d-4388-adad-c0da3d55fc78","8483a1f0-1032-11db-ae00-b8a03c50a862","12fadca0-d638-416d-8cee-6f29ef37a249","8483a1f0-1032-11db-ae00-b8a03c50a862","US","EML","2024-08-05T04:01:24.363+00:00","2024-08-05T04:07:02.088+00:00",2274,"PRESERVED_SPECIMEN","PRESENT",3186096,6,7707728,220,690,5014,3186060,3186096,3186096,"Pimenta racemosa (Mill.) J.W.Moore","Plantae","Tracheophyta","Myrtales","Myrtaceae","Pimenta","Pimenta racemosa","Pimenta","racemosa","SPECIES","ACCEPTED","LC",NA,"NORTH_AMERICA","Florida",2023,1,15,"2023-01-15",15,15,NA,"2024-08-05T04:07:02.088+00:00","http://specifyportal.flmnh.ufl.edu/herbarium/?filter=catalogNumber:287068","http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"43859796-3132-4e79-916e-c47c230b51ab","none","none",FALSE,NA,"Roger Hammer;C. L. Alexander;Alan R. Franck;Michelle Hammer",NA,"WGS84","Magnoliopsida","US","none","none","NORTH_AMERICA","United States of America","NORTH_AMERICA","University of Florida","43859796-3132-4e79-916e-c47c230b51ab",NA,NA,"Homestead SW 269th Street & SW 173rd Court.",NA,"4523218327","43859796-3132-4e79-916e-c47c230b51ab",NA,"287068","FLAS",NA,NA,NA,"Pimenta racemosa (Mill.) J.W.Moore",NA,NA,NA,NA,NA,NA,NA,NA,"2bfdf57f-35bd-450a-b830-a5189c2d836d","Preserved herbarium specimen","5919","location information not given for endangered species","University of Florida Herbarium","ICN","Miami-Dade County","FLASCAT","FLAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://cdn.floridamuseum.ufl.edu/Herbarium/c12d80b2-770d-4c71-b6e6-e07528a15d77"
"3332976536","Pimenta racemosa (Mill.) J.W.Moore",39.732207,-104.961468,"cdc,inmafu","89c53edb-0fac-4118-bdc0-d70ca50953dc","36488347-eceb-40ed-b687-406f3601d8cb","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-02T14:51:44.638+00:00","2024-08-02T14:54:16.683+00:00",273,"PRESERVED_SPECIMEN","PRESENT",3186096,6,7707728,220,690,5014,3186060,3186096,3186096,"Pimenta racemosa (Mill.) J.W.Moore","Plantae","Tracheophyta","Myrtales","Myrtaceae","Pimenta","Pimenta racemosa","Pimenta","racemosa","SPECIES","ACCEPTED","LC",NA,"NORTH_AMERICA","Colorado",2021,7,22,"2021-07-22",203,203,"2024-04-29T10:54:27.000+00:00","2024-08-02T14:54:16.683+00:00","https://intermountainbiota.org/portal/collections/individual/index.php?occid=28088484","http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"28088484","none","none",FALSE,NA,"Cindy Newlander",NA,"WGS84","Magnoliopsida","US","none","none","NORTH_AMERICA","United States of America","NORTH_AMERICA","Public Domain","28088484",NA,"7/22/2021",NA,"KHD","3332976536","04179e1f-fce5-4d9c-be2a-ce71aa223e13","51132","KHD00074747","DBG",NA,NA,NA,"Pimenta racemosa (Mill.) J.W.Moore",NA,293,"Tissue sample collected. Living Collection Accession Number: 002515*2. Randy Long, Holden Arboretum ""Leveraging living collections to study plasticity in conifers"".",NA,NA,NA,NA,NA,"b4f01445-0fd2-4d04-97c1-3c7ba800d8b7",NA,"257",NA,NA,NA,"Denver",NA,NA,NA,NA,NA,NA,1643,NA,"03a64ffd-34d0-432c-a152-0d41d41c028f","Managed garden.","Permit: DenverBotanicGardens_YorkSt_Permit","04179e1f-fce5-4d9c-be2a-ce71aa223e13","Denver","Denver Botanic Gardens, 909 York Street, Tropical Conservatory Garden","HCONBED_05","http://creativecommons.org/publicdomain/zero/1.0/","Public Domain","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Pimenta","ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7","Vegetative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://intermountainbiota.org/imglib/seinet/swnode/DBG_KHD/KHD00074/KHD00074747.jpg"
"4455459350","Pimenta pauciflora (Urb.) Burret",18.70046,-70.35976,"cdc,gass84,colmano,inmafu","b89d52a2-861d-4388-adad-c0da3d55fc78","8483a1f0-1032-11db-ae00-b8a03c50a862","12fadca0-d638-416d-8cee-6f29ef37a249","8483a1f0-1032-11db-ae00-b8a03c50a862","US","EML","2024-08-05T04:01:24.363+00:00","2024-08-05T04:07:06.059+00:00",2274,"PRESERVED_SPECIMEN","PRESENT",3186109,6,7707728,220,690,5014,3186060,3186096,3186108,"Pimenta racemosa var. hispaniolensis (Urb.) Landrum","Plantae","Tracheophyta","Myrtales","Myrtaceae","Pimenta","Pimenta racemosa","Pimenta","pauciflora","SPECIES","SYNONYM","NE",NA,"NORTH_AMERICA","San José de Ocoa",2019,3,17,"2019-03-17",76,76,NA,"2024-08-05T04:07:06.059+00:00","http://specifyportal.flmnh.ufl.edu/herbarium/?filter=catalogNumber:283836","http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"f2dd8265-d6a4-4bfd-b24d-669643f23201","none","none",FALSE,NA,"T. Clase;W. Testo;L. Majure",NA,"WGS84","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","NORTH_AMERICA","University of Florida","f2dd8265-d6a4-4bfd-b24d-669643f23201",NA,NA,"Cordillera Central, municipio Rancho Arriba, comunidad Florencio, El Toro, yendo por la orilla del rio.",NA,"4455459350","f2dd8265-d6a4-4bfd-b24d-669643f23201",NA,"283836","FLAS",NA,NA,NA,"Pimenta pauciflora (Urb.) Burret",NA,NA,NA,NA,NA,NA,NA,NA,"2bfdf57f-35bd-450a-b830-a5189c2d836d","Preserved herbarium specimen","11291","location information not given for endangered species","University of Florida Herbarium","ICN",NA,"FLASCAT","FLAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://cdn.floridamuseum.ufl.edu/Herbarium/79164084-303e-4569-bd4c-5ab75999e422"
"1978380385","Pimenta racemosa (Mill.) J.W.Moore",26.6581,-81.8439,"cdc,colmano,inmafu","b89d52a2-861d-4388-adad-c0da3d55fc78","8483a1f0-1032-11db-ae00-b8a03c50a862","12fadca0-d638-416d-8cee-6f29ef37a249","8483a1f0-1032-11db-ae00-b8a03c50a862","US","EML","2024-08-05T04:01:24.363+00:00","2024-08-05T04:07:04.418+00:00",2274,"PRESERVED_SPECIMEN","PRESENT",3186096,6,7707728,220,690,5014,3186060,3186096,3186096,"Pimenta racemosa (Mill.) J.W.Moore","Plantae","Tracheophyta","Myrtales","Myrtaceae","Pimenta","Pimenta racemosa","Pimenta","racemosa","SPECIES","ACCEPTED","LC",NA,"NORTH_AMERICA","Florida",2018,6,12,"2018-06-12",163,163,NA,"2024-08-05T04:07:04.418+00:00","http://specifyportal.flmnh.ufl.edu/herbarium/?filter=catalogNumber:267546","http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"ae81fd8a-45b9-464e-b0fd-8b6f3c7b83e6","none","none",FALSE,NA,"Stephen H. Brown",NA,"WGS84","Magnoliopsida","US","none","none","NORTH_AMERICA","United States of America","NORTH_AMERICA","University of Florida","ae81fd8a-45b9-464e-b0fd-8b6f3c7b83e6",NA,"12 June 2018","Fort Myers: Lee County Cooperative Extension Service, 3406 Palm Beach Boulevard.",NA,"1978380385","ae81fd8a-45b9-464e-b0fd-8b6f3c7b83e6",NA,"267546","FLAS",NA,NA,NA,"Pimenta racemosa (Mill.) J.W.Moore",NA,NA,"Additional material: digital photos.",NA,NA,NA,NA,NA,"2bfdf57f-35bd-450a-b830-a5189c2d836d","Preserved herbarium specimen",NA,"location information not given for endangered species","University of Florida Herbarium","ICN","Lee County","FLASCAT","FLAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flower","[Orig. id.:] Pimenta racemosa (Mill.) J.W. Moore [Det.:] Marc S. Frank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://cdn.floridamuseum.ufl.edu/Herbarium/673c60a7-0175-47e0-a85a-c6d00e12b9b9"
"2517166325","Pimenta racemosa (Mill.) J.W.Moore",17.47806,-62.96722,"cudc,cuiv,colmafu,inmafu","15f819bd-6612-4447-854b-14d12ee1022d","396d5f30-dea9-11db-8ab4-b8a03c50a862","65eb93af-41b8-4917-a5fc-cfe2a45aa4bf","396d5f30-dea9-11db-8ab4-b8a03c50a862","NL","DWC_ARCHIVE","2024-07-18T22:01:52.868+00:00","2024-07-18T23:54:45.277+00:00",270,"PRESERVED_SPECIMEN","PRESENT",3186096,6,7707728,220,690,5014,3186060,3186096,3186096,"Pimenta racemosa (Mill.) J.W.Moore","Plantae","Tracheophyta","Myrtales","Myrtaceae","Pimenta","Pimenta racemosa","Pimenta","racemosa","SPECIES","ACCEPTED","LC",NA,"NORTH_AMERICA","St. Eustatius",2015,3,23,"2015-03-23",82,82,NA,"2024-07-18T23:54:45.277+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"L.3981226@BRAHMS","none","none",FALSE,NA,"Andel TR van; Heilbron TJ; Gibbs C","Andel TR van","WGS84","Magnoliopsida","BQ","none","none","LATIN_AMERICA","Bonaire, Sint Eustatius and Saba","EUROPE","Naturalis Biodiversity Center","L.3981226@BRAHMS",NA,NA,NA,"Botany","2517166325","https://data.biodiversitydata.nl/naturalis/specimen/L.3981226",NA,"L.3981226",NA,NA,NA,NA,"Pimenta racemosa (Mill.) J.W.Moore",NA,NA,NA,NA,NA,NA,NA,NA,"0e919a55-08d3-4bd2-aec1-200858fafd92",NA,"Andel, TR van; Heilbron, TJ; Gibbs, C 6440",NA,"Naturalis Biodiversity Center","ICN",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0add23db-a8f7-4d15-95ad-4ed0c5c8a055","Low forest on crater rim, dominated by Pimenta racemosa, not surveyed on map.",NA,NA,NA,"Oranjestad. Crater rim.",NA,NA,NA,"Plantae|Myrtales|Myrtaceae",NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","382.0 m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://medialib.naturalis.nl/file/id/L.3981226/format/large"
"2514212302","Pimenta racemosa (Mill.) J.W.Moore",17.48333,-62.98333,"cudc,cuiv,colmafu,inmafu","15f819bd-6612-4447-854b-14d12ee1022d","396d5f30-dea9-11db-8ab4-b8a03c50a862","65eb93af-41b8-4917-a5fc-cfe2a45aa4bf","396d5f30-dea9-11db-8ab4-b8a03c50a862","NL","DWC_ARCHIVE","2024-07-18T22:01:52.868+00:00","2024-07-18T23:54:14.747+00:00",270,"PRESERVED_SPECIMEN","PRESENT",3186096,6,7707728,220,690,5014,3186060,3186096,3186096,"Pimenta racemosa (Mill.) J.W.Moore","Plantae","Tracheophyta","Myrtales","Myrtaceae","Pimenta","Pimenta racemosa","Pimenta","racemosa","SPECIES","ACCEPTED","LC","2015-11-25T00:00:00","NORTH_AMERICA","St. Eustatius",2015,10,18,"2015-10-18",291,291,NA,"2024-07-18T23:54:14.747+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"L.2079616@BRAHMS","none","none",FALSE,NA,"Verheijden TMS; Posthouwer C; Spanner J","Verheijden TMS; Posthouwer C","WGS84","Magnoliopsida","BQ","none","none","LATIN_AMERICA","Bonaire, Sint Eustatius and Saba","EUROPE","Naturalis Biodiversity Center","L.2079616@BRAHMS",NA,NA,NA,"Botany","2514212302","https://data.biodiversitydata.nl/naturalis/specimen/L.2079616",NA,"L.2079616",NA,NA,NA,NA,"Pimenta racemosa (Mill.) J.W.Moore",NA,NA,NA,NA,NA,NA,NA,NA,"0e919a55-08d3-4bd2-aec1-200858fafd92",NA,"Verheijden, TMS; Posthouwer, C; Spanner, J 86",NA,"Naturalis Biodiversity Center","ICN",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0add23db-a8f7-4d15-95ad-4ed0c5c8a055","Garden.",NA,NA,NA,"Oranjestad.",NA,NA,NA,"Plantae|Myrtales|Myrtaceae",NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://medialib.naturalis.nl/file/id/L.2079616/format/large"
"2514254345","Pimenta racemosa (Mill.) J.W.Moore",17.48111,-62.96194,"cudc,cuiv,colmafu,inmafu","15f819bd-6612-4447-854b-14d12ee1022d","396d5f30-dea9-11db-8ab4-b8a03c50a862","65eb93af-41b8-4917-a5fc-cfe2a45aa4bf","396d5f30-dea9-11db-8ab4-b8a03c50a862","NL","DWC_ARCHIVE","2024-07-18T22:01:52.868+00:00","2024-07-18T23:54:13.033+00:00",270,"PRESERVED_SPECIMEN","PRESENT",3186096,6,7707728,220,690,5014,3186060,3186096,3186096,"Pimenta racemosa (Mill.) J.W.Moore","Plantae","Tracheophyta","Myrtales","Myrtaceae","Pimenta","Pimenta racemosa","Pimenta","racemosa","SPECIES","ACCEPTED","LC","2015-11-30T00:00:00","NORTH_AMERICA","St. Eustatius",2015,10,11,"2015-10-11",284,284,NA,"2024-07-18T23:54:13.033+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"L.2079721@BRAHMS","none","none",FALSE,NA,"Andel TR van; Gibbs C; Verheijden TMS","Bantjes SM","WGS84","Magnoliopsida","BQ","none","none","LATIN_AMERICA","Bonaire, Sint Eustatius and Saba","EUROPE","Naturalis Biodiversity Center","L.2079721@BRAHMS",NA,NA,NA,"Botany","2514254345","https://data.biodiversitydata.nl/naturalis/specimen/L.2079721",NA,"L.2079721",NA,NA,NA,NA,"Pimenta racemosa (Mill.) J.W.Moore",NA,NA,NA,NA,NA,NA,NA,NA,"0e919a55-08d3-4bd2-aec1-200858fafd92",NA,"Andel, TR van; Gibbs, C; Verheijden, TMS 6670",NA,"Naturalis Biodiversity Center","ICN",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0add23db-a8f7-4d15-95ad-4ed0c5c8a055","Low ""cloud""forest on rocks.",NA,NA,NA,"Quill Volcano, Plot M2, crater rim.",NA,NA,NA,"Plantae|Myrtales|Myrtaceae",NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","541.0 m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://medialib.naturalis.nl/file/id/L.2079721/format/large"
"2514266294","Pimenta racemosa (Mill.) J.W.Moore",17.49028,-62.98889,"cudc,cuiv,colmafu,inmafu","15f819bd-6612-4447-854b-14d12ee1022d","396d5f30-dea9-11db-8ab4-b8a03c50a862","65eb93af-41b8-4917-a5fc-cfe2a45aa4bf","396d5f30-dea9-11db-8ab4-b8a03c50a862","NL","DWC_ARCHIVE","2024-07-18T22:01:52.868+00:00","2024-07-18T23:55:52.473+00:00",270,"PRESERVED_SPECIMEN","PRESENT",3186096,6,7707728,220,690,5014,3186060,3186096,3186096,"Pimenta racemosa (Mill.) J.W.Moore","Plantae","Tracheophyta","Myrtales","Myrtaceae","Pimenta","Pimenta racemosa","Pimenta","racemosa","SPECIES","ACCEPTED","LC","2015-11-24T00:00:00","NORTH_AMERICA","St. Eustatius",2015,11,2,"2015-11-02",306,306,NA,"2024-07-18T23:55:52.473+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"L.2079615@BRAHMS","none","none",FALSE,NA,"Posthouwer C; Verheijden TMS; Merkman M","Verheijden TMS; Posthouwer C","WGS84","Magnoliopsida","BQ","none","none","LATIN_AMERICA","Bonaire, Sint Eustatius and Saba","EUROPE","Naturalis Biodiversity Center","L.2079615@BRAHMS",NA,NA,NA,"Botany","2514266294","https://data.biodiversitydata.nl/naturalis/specimen/L.2079615",NA,"L.2079615",NA,NA,NA,NA,"Pimenta racemosa (Mill.) J.W.Moore",NA,NA,NA,NA,NA,NA,NA,NA,"0e919a55-08d3-4bd2-aec1-200858fafd92",NA,"Posthouwer, C; Verheijden, TMS; Merkman, M 403",NA,"Naturalis Biodiversity Center","ICN",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0add23db-a8f7-4d15-95ad-4ed0c5c8a055","Garden.",NA,NA,NA,"Oranjestad.",NA,NA,NA,"Plantae|Myrtales|Myrtaceae",NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://medialib.naturalis.nl/file/id/L.2079615/format/large"
"912615881","Pimenta racemosa var. hispaniolensis (Urb.) Landrum",18.066667,-71.1,"cdc,cdround,gass84,incomis,inmafu","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:15:32.838+00:00",407,"PRESERVED_SPECIMEN","PRESENT",3186108,6,7707728,220,690,5014,3186060,3186096,3186108,"Pimenta racemosa var. hispaniolensis (Urb.) Landrum","Plantae","Tracheophyta","Myrtales","Myrtaceae","Pimenta","Pimenta racemosa","Pimenta","racemosa","VARIETY","ACCEPTED","VU",NA,"NORTH_AMERICA",NA,2013,7,31,"2013-07-31T00:00",212,212,NA,"2024-08-02T01:15:32.838+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"K000812334","none","none",FALSE,NA,"Clase, T.; Martinez, J.R.; Camara, R.; Camara, M.; Quilet, A.",NA,"WGS84","Magnoliopsida","DO","none","none","LATIN_AMERICA","Dominican Republic","EUROPE",NA,"K000812334",NA,NA,NA,"Herbarium","912615881","http://specimens.kew.org/herbarium/K000812334",NA,"K000812334","K",NA,NA,NA,"Pimenta racemosa var. hispaniolensis (Urb.) Landrum","hispaniolensis",NA,"Material in Silica Gel Collection.",NA,NA,NA,NA,NA,"fa252605-26f6-426c-9892-94d071c2c77f",NA,"8058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1741,NA,NA,"bosque nublado",NA,NA,"La Ciénaga","comunidad El Cachote, proximo a la caseta de Guarda Parques",NA,NA,NA,"Myrtaceae",NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",NA,"La Ciénaga","Map estimate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://d2seqvvyy3b8p2.cloudfront.net/c8512c539eabdbec441e3c0063ab07b7.jpg"
"2512862354","Pimenta racemosa var. racemosa",17.4794,-62.9658,"ccm,cucdmis,gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:40:04.003+00:00",403,"PRESERVED_SPECIMEN","PRESENT",7223907,6,7707728,220,690,5014,3186060,3186096,7223907,"Pimenta racemosa var. racemosa","Plantae","Tracheophyta","Myrtales","Myrtaceae","Pimenta","Pimenta racemosa","Pimenta","racemosa","VARIETY","ACCEPTED",NA,NA,"NORTH_AMERICA",NA,2013,8,27,"2013-08-27",239,239,"2022-10-21T19:43:00.000+00:00","2024-08-02T12:40:04.003+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"http://n2t.net/ark:/65665/3c8bcf664-3546-4013-95f1-b81751d6ac65","none","none",FALSE,"NMNH Extant Biology","F. S. Axelrod, H. Madden & C. McLaughlin",NA,"WGS84","Magnoliopsida","ZZ","none","none",NA,"unknown or invalid","NORTH_AMERICA",NA,"http://n2t.net/ark:/65665/3c8bcf664-3546-4013-95f1-b81751d6ac65",NA,NA,NA,"US","2512862354","http://n2t.net/ark:/65665/3c8bcf664-3546-4013-95f1-b81751d6ac65",NA,"US 3734465","US",NA,NA,NA,"Pimenta racemosa var. racemosa","racemosa",NA,NA,NA,NA,NA,NA,NA,"be5b9c72-e499-42b8-a5dc-c27505cf232e",NA,"15398",NA,"urn:lsid:biocol.org:col:15463",NA,NA,NA,NA,NA,NA,NA,1,417.5,7.5,"151c91ba-a521-4735-8c11-5abf8db7fb67","Wet mountain forest",NA,NA,NA,"The Quill. W slope, beyond Panoramic Point",NA,NA,NA,"Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,"West Indies - Neotropics, Netherlands Antilles, St. Eustatius",NA,"St. Eustatius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m3acee7df0-1a38-418c-91e6-838c704d8691"
