"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","elevation","elevationAccuracy","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","lastInterpreted","license","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","recordNumber","identifier.1","verbatimEventDate","municipality","locality","collectionCode","gbifID","occurrenceID","catalogNumber","institutionCode","fieldNotes","occurrenceRemarks","bibliographicCitation","name","dateIdentified","modified","datasetName","otherCatalogNumbers","institutionID","references","http...unknown.org.recordID","taxonID","rights","http...unknown.org.recordEnteredBy","higherClassification","collectionID","reproductiveCondition","habitat","county","georeferenceVerificationStatus","gadm","typeStatus","preparations","nomenclaturalCode","language","type","identificationRemarks","verbatimElevation","media_url"
"4900511284","Psidium ganevii Landrum & Funch",-11.346389,-41.359444,"cdc,cdround,elmms,gass84,iddativ,rdativ,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:58.886+00:00",203,"PRESERVED_SPECIMEN","PRESENT",5420549,6,7707728,220,690,5014,3187232,5420549,5420549,"Psidium ganevii Landrum & Funch","Plantae","Tracheophyta","Myrtales","Myrtaceae","Psidium","Psidium ganevii","Psidium","ganevii","SPECIES","ACCEPTED","NE",605,605,"SOUTH_AMERICA","Bahia",2023,5,12,"2023-05-12",132,132,"2024-07-01T12:17:58.886+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"6276166","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",FALSE,"Guedes, ML;Alunos de BIOC05 2023.1","Guedes, ML","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","33255","6276166","12/05/2023","Morro do Chapéu","Estrada da  estrada para  Antena de Televisão -Morrão","ALCB","4900511284","6276166","ALCB00075544","ALCB","ca. 3m. Folha coriácea, discolor. Fruto imaturo verde.","ca. 3m. Folha coriácea, discolor. Fruto imaturo verde.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=6276166","Psidium ganevii Landrum & Funch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/7/55/44/alcb00075544.dzi"
"4900510392","Psidium ganevii Landrum & Funch",-11.638889,-40.945833,"cdc,cdround,gass84,iddativ,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:47.136+00:00",203,"PRESERVED_SPECIMEN","PRESENT",5420549,6,7707728,220,690,5014,3187232,5420549,5420549,"Psidium ganevii Landrum & Funch","Plantae","Tracheophyta","Myrtales","Myrtaceae","Psidium","Psidium ganevii","Psidium","ganevii","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Bahia",2023,5,13,"2023-05-13",133,133,"2024-07-01T12:17:47.136+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"6277260","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",FALSE,"Guedes, ML;Alunos de BIOC05 2023.1","Guedes, ML","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","33305","6277260","13/05/2023","Morro do Chapéu","Estrada  para Morrinho.","ALCB","4900510392","6277260","ALCB00077254","ALCB","2,5 m de alt. Folhas coriáceas, discolores. Frutos imaturos verdes.","2,5 m de alt. Folhas coriáceas, discolores. Frutos imaturos verdes.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=6277260","Psidium ganevii Landrum & Funch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/7/72/54/alcb00077254.dzi"
"2996076178","Psidium ganevii Landrum & Funch",-13.3075,-41.948056,"cdc,cdround,elmms,gass84,iddativ,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:56.567+00:00",203,"PRESERVED_SPECIMEN","PRESENT",5420549,6,7707728,220,690,5014,3187232,5420549,5420549,"Psidium ganevii Landrum & Funch","Plantae","Tracheophyta","Myrtales","Myrtaceae","Psidium","Psidium ganevii","Psidium","ganevii","SPECIES","ACCEPTED","NE",574.5,574.5,"SOUTH_AMERICA","Bahia",2018,1,25,"2018-01-25",25,25,"2024-07-01T12:17:56.567+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"5268580","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",TRUE,"Stadnik, A;Lucresia, L","Stadnik, A","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","504","5268580","25/01/2018","Mucugê","P14","ALCB","2996076178","5268580","ALCB059805","ALCB","ca. 3m. Folhas discolores.","ca. 3m. Folhas discolores.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5268580","Psidium ganevii Landrum & Funch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/5/98/5/alcb00059805.dzi"
"2996071681","Psidium ganevii Landrum & Funch",-14.684167,-42.542778,"cdc,cdround,elmms,gass84,iddativ,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:52.899+00:00",203,"PRESERVED_SPECIMEN","PRESENT",5420549,6,7707728,220,690,5014,3187232,5420549,5420549,"Psidium ganevii Landrum & Funch","Plantae","Tracheophyta","Myrtales","Myrtaceae","Psidium","Psidium ganevii","Psidium","ganevii","SPECIES","ACCEPTED","NE",483.5,483.5,"SOUTH_AMERICA","Bahia",2014,5,28,"2014-05-28",148,148,"2024-07-01T12:17:52.899+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"5154737","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",TRUE,"Stadnik, A;Alves, R,Lopes, R,Coelho, J","Stadnik, A","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","216","5154737","28/05/2014","Licínio de Almeida","Xaxá","ALCB","2996071681","5154737","ALCB045462","ALCB","ca. 5m alt. Folhas discolores. Frutos verdes arroxeados.","ca. 5m alt. Folhas discolores. Frutos verdes arroxeados.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5154737","Psidium ganevii Landrum & Funch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/4/54/62/alcb00045462.dzi"
"4900566974","Psidium ganevii Landrum & Funch",-11.5875,-41.076111,"cdc,cdround,elmms,gass84,iddativ,rdativ,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:31.630+00:00",203,"PRESERVED_SPECIMEN","PRESENT",5420549,6,7707728,220,690,5014,3187232,5420549,5420549,"Psidium ganevii Landrum & Funch","Plantae","Tracheophyta","Myrtales","Myrtaceae","Psidium","Psidium ganevii","Psidium","ganevii","SPECIES","ACCEPTED","NE",486,486,"SOUTH_AMERICA","Bahia",2013,3,9,"2013-03-09",68,68,"2024-07-01T12:17:31.630+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"6271642","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",FALSE,"Guedes, ML;Alunos de Botânica III,Mattos Andrade, PE de","Stadnik, A","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","20488a","6271642","09/03/2013","Morro do Chapéu","à 12 km da Cidade de Morro do Chapéu em direção à Cachoeira do Ferro Doido.","ALCB","4900566974","6271642","ALCB00065758","ALCB","ca 3 m de altura. Folhas coriáceas. Flores passadas.; Cerrado","ca 3 m de altura. Folhas coriáceas. Flores passadas.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=6271642","Psidium ganevii Landrum & Funch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/6/57/58/alcb00065758.dzi"
"1424502537","Psidium ganevii Landrum & Funch",-11.5875,-41.076111,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:44.573+00:00",520,"PRESERVED_SPECIMEN","PRESENT",5420549,6,7707728,220,690,5014,3187232,5420549,5420549,"Psidium ganevii Landrum & Funch","Plantae","Tracheophyta","Myrtales","Myrtaceae","Psidium","Psidium ganevii","Psidium","ganevii","SPECIES","ACCEPTED","NE",972,NA,"SOUTH_AMERICA","Bahia",2013,3,9,"2013-03-09",68,68,"2024-08-01T12:21:44.573+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"urn:catalog:JBRJ:RB:925423","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",TRUE,"M.L. Guedes; P.E.M.A. Silva, Alunos de Botânica III","J.E.Q.Faria","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","20488","urn:catalog:JBRJ:RB:925423",NA,"Morro do Chapéu","Piemonte da Chapada Diamantina, a 12 km da Cidade de Morro do Chapéu em direção à Cachoeira do Ferro Doido.","RB","1424502537","urn:catalog:JBRJ:RB:925423","RB00925423","JBRJ","Cerrado.","Arbusto: de ca 3m de altura. Folhas coriáceas. Flores alvas.",NA,"Psidium ganevii Landrum & Funch","2018-06-01T00:00:00","2018-06-21T15:07:36.000+00:00","RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 608001","04.936.616/0001-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/92/54/23/00925423.jpg"
"4900531841","Psidium ganevii Landrum & Funch",-14.6525,-42.546667,"cdc,cdround,elmms,gass84,iddativ,rdativ,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:52.215+00:00",203,"PRESERVED_SPECIMEN","PRESENT",5420549,6,7707728,220,690,5014,3187232,5420549,5420549,"Psidium ganevii Landrum & Funch","Plantae","Tracheophyta","Myrtales","Myrtaceae","Psidium","Psidium ganevii","Psidium","ganevii","SPECIES","ACCEPTED","NE",4.5,4.5,"SOUTH_AMERICA","Bahia",2013,4,5,"2013-04-05",95,95,"2024-07-01T12:17:52.215+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"6273330","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",FALSE,"Borges, RL;Rocha, L,Hurbath, F,Azevedo, F","Stadnik, A","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","101","6273330","05/04/2013","Licínio de Almeida","Xaxá (mata ciliar)","ALCB","4900531841","6273330","ALCB00072335","ALCB","folhas discolores; sépalas persistentes; frutos imaturos verdes","folhas discolores; sépalas persistentes; frutos imaturos verdes","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=6273330","Psidium ganevii Landrum & Funch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/7/23/35/alcb00072335.dzi"
"2996060454","Psidium ganevii Landrum & Funch",-14.661944,-42.547778,"cdc,cdround,elmms,gass84,iddativ,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:45.454+00:00",203,"PRESERVED_SPECIMEN","PRESENT",5420549,6,7707728,220,690,5014,3187232,5420549,5420549,"Psidium ganevii Landrum & Funch","Plantae","Tracheophyta","Myrtales","Myrtaceae","Psidium","Psidium ganevii","Psidium","ganevii","SPECIES","ACCEPTED","NE",477,477,"SOUTH_AMERICA","Bahia",2011,9,17,"2011-09-17",260,260,"2024-07-01T12:17:45.454+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"5542092","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",TRUE,"Roque, N;Crestani, ACV,Alves, M,Hurbath, F,Santana, FA,Crestani, AC","Stadnik, A","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","3363","5542092","17/09/2011","Licínio de Almeida","Xaxá","ALCB","2996060454","5542092","ALCB069096","ALCB","ca. 1,2m. Folhas discolores. Frutos imaturos verdes.","ca. 1,2m. Folhas discolores. Frutos imaturos verdes.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5542092","Psidium ganevii Landrum & Funch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/6/90/96/alcb00069096.dzi"
"2270685444","Psidium ganevii Landrum & Funch",-10.2428,-40.2658,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf",NA,"ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:07.242+00:00",276,"PRESERVED_SPECIMEN","PRESENT",5420549,6,7707728,220,690,5014,3187232,5420549,5420549,"Psidium ganevii Landrum & Funch","Plantae","Tracheophyta","Myrtales","Myrtaceae","Psidium","Psidium ganevii","Psidium","ganevii","SPECIES","ACCEPTED","NE",819,NA,"SOUTH_AMERICA","Bahia",2006,4,14,"2006-04-14",104,104,"2024-08-01T20:02:07.242+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"773770","none","none","530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450",FALSE,"V.J. Santos","L.R. Landrum","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","NORTH_AMERICA",NA,"561","773770",NA,NA,"Campo Formoso:Serra dos morgados.","Plants","2270685444","68a52e90-000b-41b4-a5a4-31e5e37f9c09","ASU0014351","ASU",NA,"Arbusto com ca. De 1 m alt. Folhas cartaceas, concolor glabras. Flores ja fecundades.",NA,"Psidium ganevii Landrum & Funch","2012-01-01T00:00:00","2023-07-16T07:02:03.000+00:00",NA,"263155",NA,"https://swbiodiversity.org/seinet/collections/individual/index.php?occid=773770","68a52e90-000b-41b4-a5a4-31e5e37f9c09","167328","http://creativecommons.org/licenses/by-nc/3.0/","Xmirny","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Psidium","a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0014/ASU0014351_lg.jpg"
"4900579336","Psidium ganevii Landrum & Funch",-13.160556,-41.423611,"cdc,cdround,gass84,rdativ,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:44.437+00:00",203,"PRESERVED_SPECIMEN","PRESENT",5420549,6,7707728,220,690,5014,3187232,5420549,5420549,"Psidium ganevii Landrum & Funch","Plantae","Tracheophyta","Myrtales","Myrtaceae","Psidium","Psidium ganevii","Psidium","ganevii","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Bahia",2004,10,11,"2004-10-11",285,285,"2024-07-01T12:17:44.437+00:00","http://creativecommons.org/licenses/by/4.0/",FALSE,"6270436","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",FALSE,"Stradmann, MTS;Moraes, EPF","Ibrahim, M","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","1036 a","6270436","11/10/2004","Mucugê","Chapada Diamantina, Fazenda Caraíbas","ALCB","4900579336","6270436","ALCB00060743","ALCB","de 2,5m. Folhas coriáceas. Frutos alaranjados. Indivíduo 456.; arbustiva-arbórea","de 2,5m. Folhas coriáceas. Frutos alaranjados. Indivíduo 456.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=6270436","Psidium ganevii Landrum & Funch","2010-09-17T00:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/6/7/43/alcb00060743.dzi"
