"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","license","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","verbatimEventDate","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","coordinateUncertaintyInMeters","occurrenceRemarks","identificationRemarks","informationWithheld","identifiedByIDs.type","identifiedByIDs.value","higherGeography","institutionKey","collectionKey","preparations","recordNumber","habitat","nomenclaturalCode","georeferenceProtocol","http...unknown.org.taxonRankID","locality","county","type","vernacularName","taxonConceptID","http...unknown.org.species","higherClassification","elevation","eventRemarks","reproductiveCondition","establishmentMeans","verbatimSRS","verbatimCoordinateSystem","disposition","verbatimTaxonRank","georeferenceSources","otherCatalogNumbers","networkKeys","gadm","institutionID","individualCount","collectionID","infraspecificEpithet","typeStatus","language","coordinatePrecision","georeferencedBy","eventID","http...unknown.org.typifiedName","fieldNotes","locationID","locationRemarks","media_url"
"2418438591","Rhodamnia argentea Benth.",-27.91,153.199167,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:58:29.065+00:00",318,"PRESERVED_SPECIMEN","PRESENT",3186002,6,7707728,220,690,5014,3185949,3186002,3186002,"Rhodamnia argentea Benth.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Rhodamnia","Rhodamnia argentea","Rhodamnia","argentea","SPECIES","ACCEPTED","NE","2017-01-01T00:00:00","OCEANIA","Queensland",2017,1,25,"2017-01-25",25,25,"2021-07-17T16:36:25.000+00:00","2024-06-19T04:58:29.065+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"121a3f93-2f81-46dd-bc65-351845ddb261","none","none",FALSE,NA,"Bean, A.R.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"121a3f93-2f81-46dd-bc65-351845ddb261",NA,NA,NA,"Herbrecs","2418438591","121a3f93-2f81-46dd-bc65-351845ddb261",NA,"BRI AQ0865480","BRI",NA,NA,NA,"Rhodamnia argentea Benth.",100,"Shrub 4m high, very densely foliaged; leaves attacked by myrtle rust. Rare at site.",NA,NA,NA,NA,"Australia, Queensland, Moreton","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Sheet","32883","Notophyll rainforest with Endiandra, Jagera, Ficus, Polyscias, Neolitsea, Cryptocarya, Archontophoenix, Calamus, and emergents of Eucalyptus grandis. Red-brown clay-loam; hillside.","ICN","GPS","7000","Tamborine Heights Park, Contour Rd, Mt Tamborine.","Moreton","PhysicalObject","White Myrtle","https://id.biodiversity.org.au/node/apni/2919069","Rhodamnia argentea","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Rhodamnia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=60bca00b-c359-417e-ac75-2b39c0e91463"
"2418535205","Rhodamnia argentea Benth.",-24.612522,152.121247,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:58:40.888+00:00",318,"PRESERVED_SPECIMEN","PRESENT",3186002,6,7707728,220,690,5014,3185949,3186002,3186002,"Rhodamnia argentea Benth.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Rhodamnia","Rhodamnia argentea","Rhodamnia","argentea","SPECIES","ACCEPTED","NE","2019-10-01T00:00:00","OCEANIA","Queensland",2015,6,11,"2015-06-11",162,162,"2021-07-17T16:36:27.000+00:00","2024-06-19T04:58:40.888+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"3b5503d6-bf67-40c0-a034-2f788cf12a42","none","none",FALSE,NA,"Young, P.|Young, L.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"3b5503d6-bf67-40c0-a034-2f788cf12a42",NA,NA,NA,"Herbrecs","2418535205","3b5503d6-bf67-40c0-a034-2f788cf12a42",NA,"BRI AQ0971068","BRI",NA,NA,NA,"Rhodamnia argentea Benth.",100,"Small tree.",NA,NA,NA,NA,"Australia, Queensland, Port Curtis","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Sheet","3201","Roadside remnant of complex microphyll-notophyll vine forest on greyish sand beach ridge, atypical habitat for this species.","ICN","GPS","7000","Norval Park, E of Rosedale.","Port Curtis","PhysicalObject","White Myrtle","https://id.biodiversity.org.au/node/apni/2919069","Rhodamnia argentea","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Rhodamnia",12,"Occasional.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=df4b1847-14f7-417c-9441-2e2d9eef6742"
"2418528181","Rhodamnia argentea Benth.",-28.197222,153.189444,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:58:39.296+00:00",318,"PRESERVED_SPECIMEN","PRESENT",3186002,6,7707728,220,690,5014,3185949,3186002,3186002,"Rhodamnia argentea Benth.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Rhodamnia","Rhodamnia argentea","Rhodamnia","argentea","SPECIES","ACCEPTED","NE","2013-04-01T00:00:00","OCEANIA","Queensland",2013,4,19,"2013-04-19",109,109,"2021-07-17T16:36:19.000+00:00","2024-06-19T04:58:39.296+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"38534b1b-b79b-4a4a-9f44-a4a97e9cf6c3","none","none",FALSE,NA,"Halford, D.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"38534b1b-b79b-4a4a-9f44-a4a97e9cf6c3",NA,NA,NA,"Herbrecs","2418528181","38534b1b-b79b-4a4a-9f44-a4a97e9cf6c3",NA,"BRI AQ0913357","BRI",NA,NA,NA,"Rhodamnia argentea Benth.",100,"Regrowth from stump of fallen tree, on edge of track, myrtle rust present on young leaves.",NA,NA,NA,NA,"Australia, Queensland, Moreton","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Sheet","QM862","Complex notophyll vineforest on basalt.","ICN","GPS","7000","Bellbird Track, Binna Burra section, Lamington NP.","Moreton","PhysicalObject","White Myrtle","https://id.biodiversity.org.au/node/apni/2919069","Rhodamnia argentea","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Rhodamnia",780,"Rare at site.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=cafa8950-0daa-4c70-a3ff-58b707f1c3f3"
"2418523477","Rhodamnia argentea Benth.",-26.620213,152.971759,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:58:38.191+00:00",318,"PRESERVED_SPECIMEN","PRESENT",3186002,6,7707728,220,690,5014,3185949,3186002,3186002,"Rhodamnia argentea Benth.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Rhodamnia","Rhodamnia argentea","Rhodamnia","argentea","SPECIES","ACCEPTED","NE",NA,"OCEANIA","Queensland",2011,3,3,"2011-03-03",62,62,"2021-07-17T16:36:08.000+00:00","2024-06-19T04:58:38.191+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"36307319-46eb-4050-a972-843ffd74b3da","none","none",TRUE,NA,"Halford, J.|Bush, S.|Froude, J.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"36307319-46eb-4050-a972-843ffd74b3da",NA,NA,NA,"Herbrecs","2418523477","36307319-46eb-4050-a972-843ffd74b3da",NA,"BRI AQ0758181","BRI",NA,NA,NA,"Rhodamnia argentea Benth.",100,NA,NA,NA,NA,NA,"Australia, Queensland, Moreton","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Sheet","BGQLD0783","Creek bank. Grey-brown sandy loam. Land use: public/recreation.  Riparian area in disturbed, wet eucalypt forest. Associated species Eucalyptus tereticornis, E. grandis, Castanospermum australe, Aphananthe philippinensis, Cinnamomum camphora, Elaeocarpus grandis, Archontophoenix cunninghamiana.","ICN","GPS","7000","Nambour, at Showgrounds on Petrie Creek.","Moreton","PhysicalObject","White Myrtle","https://id.biodiversity.org.au/node/apni/2919069","Rhodamnia argentea","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Rhodamnia",50,"Slender tree, 12m; on riparian edge, multi-stemmed with shallowly tessellated bark, grey over tan. Leaves opposite, dark and glossy above, white and glaucous below; 3-veined at base with prominent intramarginal veins, veins strongly raised on underside. Fruit a globular berry ripening through red to black. Mostly 1 seeded. Rare at site. Common name: malletwood.","Fruit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=b1b989ee-6c03-4c8c-851e-4da3836cc759"
"2418480087","Rhodamnia argentea Benth.",-27.928618,153.205535,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:58:32.385+00:00",318,"PRESERVED_SPECIMEN","PRESENT",3186002,6,7707728,220,690,5014,3185949,3186002,3186002,"Rhodamnia argentea Benth.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Rhodamnia","Rhodamnia argentea","Rhodamnia","argentea","SPECIES","ACCEPTED","NE","2011-11-01T00:00:00","OCEANIA","Queensland",2011,11,16,"2011-11-16",320,320,"2021-07-17T16:36:08.000+00:00","2024-06-19T04:58:32.385+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"23d2f617-ed25-4f33-92fb-b8d20ddcd94c","none","none",TRUE,NA,"Forster, P.I.|Leiper, G.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"23d2f617-ed25-4f33-92fb-b8d20ddcd94c",NA,NA,NA,"Herbrecs","2418480087","23d2f617-ed25-4f33-92fb-b8d20ddcd94c",NA,"BRI AQ0818157","BRI",NA,NA,NA,"Rhodamnia argentea Benth.",100,"Small tree to 6m tall, flaky bark; foliage coriaceous, flexible, glossy and dark green above, silver-white below; sterile.",NA,NA,NA,NA,"Australia, Queensland, Moreton","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Sheet|Silica gel sample","PIF38342","Complex notophyll vineforest; steep ridge, red soil from basalt.","ICN","GPS","7000","Tamborine National Park, Palmgrove Section.","Moreton","PhysicalObject","White Myrtle","https://id.biodiversity.org.au/node/apni/2919069","Rhodamnia argentea","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Rhodamnia",540,"Very common at locality.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=c0030b22-15a4-4c40-b9c9-73105890b951"
"2827509912","Rhodamnia argentea Benth.",-30.36375,152.728383,"cdc,colmafu,inmafu","07a54454-87c7-4e1e-b2ba-88a9d98d534b","0cbfea81-f7f6-43a7-a5bc-9b38898b505d","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-07-02T04:22:15.892+00:00","2024-07-02T07:40:33.178+00:00",227,"PRESERVED_SPECIMEN","PRESENT",3186002,6,7707728,220,690,5014,3185949,3186002,3186002,"Rhodamnia argentea Benth.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Rhodamnia","Rhodamnia argentea","Rhodamnia","argentea","SPECIES","ACCEPTED","NE","2009-06-09T00:00:00","OCEANIA","New South Wales",2009,6,9,"2009-06-09",160,160,"2021-07-23T18:42:09.000+00:00","2024-07-02T07:40:33.178+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"36fd3b1a-7036-4577-b7b4-5b56d1af2064","none","none",FALSE,NA,"Rossetto, M.|Kooyman, R.|Bartlett, S.","Kooyman, R.","WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"36fd3b1a-7036-4577-b7b4-5b56d1af2064",NA,NA,NA,"NSW","2827509912","36fd3b1a-7036-4577-b7b4-5b56d1af2064",NA,"NSW795488","NSW",NA,NA,NA,"Rhodamnia argentea Benth.",50,"Labelled D090. Area B.",NA,NA,NA,NA,NA,"bbd52eff-157b-4c0c-908c-1da4095d7c17","8115adac-2a60-4792-b67b-411865f3a16a","sheet","MR09396","Mountainous.","ICN",NA,"7000","Skywalk. Dorrigo National Park.","North Coast","PhysicalObject","White Myrtle","https://id.biodiversity.org.au/node/apni/2919069","Rhodamnia argentea","Benth.",NA,NA,NA,"native","EPSG:4326","Degrees Decimal Minutes","in collection","species","GPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=0994fd93-622e-49da-8a85-daad699da6f0"
"2418426061","Rhodamnia argentea Benth.",-24.184252,151.828282,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:58:21.890+00:00",318,"PRESERVED_SPECIMEN","PRESENT",3186002,6,7707728,220,690,5014,3185949,3186002,3186002,"Rhodamnia argentea Benth.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Rhodamnia","Rhodamnia argentea","Rhodamnia","argentea","SPECIES","ACCEPTED","NE","2009-04-01T00:00:00","OCEANIA","Queensland",2008,1,16,"2008-01-16",16,16,"2021-07-17T16:35:56.000+00:00","2024-06-19T04:58:21.890+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"0cd72c14-3ffc-42ee-a17b-c36bdbb6e99d","none","none",FALSE,NA,"Forster, P.I.|Smyrell, G.|Tucker, M.C.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"0cd72c14-3ffc-42ee-a17b-c36bdbb6e99d",NA,NA,NA,"Herbrecs","2418426061","0cd72c14-3ffc-42ee-a17b-c36bdbb6e99d",NA,"BRI AQ0729937","BRI",NA,NA,NA,"Rhodamnia argentea Benth.",100,"Shrub to 4m tall; weeping foliage; leaves coriaceous, dark green and glossy above, silver-white below; sterile.",NA,NA,NA,NA,"Australia, Queensland, Port Curtis","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Sheet","PIF33293","Araucarian microphyll vineforest on deep sandy soil.","ICN","GPS","7000","Eurimbula National Park.","Port Curtis","PhysicalObject","White Myrtle","https://id.biodiversity.org.au/node/apni/2919069","Rhodamnia argentea","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Rhodamnia",NA,"Very common at locality.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=427d86b9-639c-4635-94ca-8eef62ef664a"
"2418836881","Rhodamnia argentea Benth.",-24.600363,151.845229,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:59:06.597+00:00",318,"PRESERVED_SPECIMEN","PRESENT",3186002,6,7707728,220,690,5014,3185949,3186002,3186002,"Rhodamnia argentea Benth.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Rhodamnia","Rhodamnia argentea","Rhodamnia","argentea","SPECIES","ACCEPTED","NE","2014-02-01T00:00:00","OCEANIA","Queensland",2008,1,14,"2008-01-14",14,14,"2021-07-17T16:35:58.000+00:00","2024-06-19T04:59:06.597+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"bb71fc33-b8f5-4006-9c73-2ac91c9dfb92","none","none",FALSE,NA,"Forster, P.I.|Smyrell, G.|Tucker, M.C.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"bb71fc33-b8f5-4006-9c73-2ac91c9dfb92",NA,NA,NA,"Herbrecs","2418836881","bb71fc33-b8f5-4006-9c73-2ac91c9dfb92",NA,"BRI AQ0784698","BRI",NA,NA,NA,"Rhodamnia argentea Benth.",100,"Small tree to 6m tall; bark flaky, cream-tan; foliage coriaceous, glossy and dark green above, paler and silver-grey below; sterile.",NA,NA,NA,NA,"Australia, Queensland, Port Curtis","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Sheet","PIF33232","Gallery microphyll vineforest on deep alluvium.","ICN","GPS","7000","Essendean Bridge, Crossing of Baffle Creek, between Berajondo and Agnes Water.","Port Curtis","PhysicalObject","White Myrtle","https://id.biodiversity.org.au/node/apni/2919069","Rhodamnia argentea","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Rhodamnia",15,"Very common at locality.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=4a357b8a-3c0c-41b5-948d-1f13ece796cc"
"2418880544","Rhodamnia argentea Benth.",-23.33386,150.571201,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:59:11.335+00:00",318,"PRESERVED_SPECIMEN","PRESENT",3186002,6,7707728,220,690,5014,3185949,3186002,3186002,"Rhodamnia argentea Benth.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Rhodamnia","Rhodamnia argentea","Rhodamnia","argentea","SPECIES","ACCEPTED","NE",NA,"OCEANIA","Queensland",2003,4,29,"2003-04-29",119,119,"2021-07-17T16:35:43.000+00:00","2024-06-19T04:59:11.335+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"ccbf9215-8e64-45bf-8994-5d7d97cbf500","none","none",FALSE,NA,"Plumb, J.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"ccbf9215-8e64-45bf-8994-5d7d97cbf500",NA,NA,NA,"Herbrecs","2418880544","ccbf9215-8e64-45bf-8994-5d7d97cbf500",NA,"BRI AQ0776450","BRI",NA,NA,NA,"Rhodamnia argentea Benth.",100,NA,NA,NA,NA,NA,"Australia, Queensland, Port Curtis","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Sheet","JP109","In dry rainforest community on southern slope of mountain. In company with Baloghia inophylla, Geijera salicifolia, Wilkiea macrophylla, Hoya australis, Lastreopus tenera etc.","ICN","Label","7000","Mt Archer near Rockhampton.","Port Curtis","PhysicalObject","White Myrtle","https://id.biodiversity.org.au/node/apni/2919069","Rhodamnia argentea","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Rhodamnia",NA,"Only one seen to date.  Small tree to about 7m tall, growing near rainforest edge but under taller vegetation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=c34594e1-d8a8-4129-84fb-fdef9dabdaca"
"2827644791","Rhodamnia argentea Benth.",-28.2561,152.4675,"cdc,colmafu,inmafu","07a54454-87c7-4e1e-b2ba-88a9d98d534b","0cbfea81-f7f6-43a7-a5bc-9b38898b505d","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-07-02T04:22:15.892+00:00","2024-07-02T07:40:39.820+00:00",227,"PRESERVED_SPECIMEN","PRESENT",3186002,6,7707728,220,690,5014,3185949,3186002,3186002,"Rhodamnia argentea Benth.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Rhodamnia","Rhodamnia argentea","Rhodamnia","argentea","SPECIES","ACCEPTED","NE",NA,"OCEANIA","Queensland",2002,1,4,"2002-01-04",4,4,"2021-07-23T18:41:41.000+00:00","2024-07-02T07:40:39.820+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"6b3c4b22-9292-4d06-97a3-8d92c348423e","none","none",TRUE,NA,"Forster, P.I.|Leiper, G.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"6b3c4b22-9292-4d06-97a3-8d92c348423e",NA,NA,NA,"NSW","2827644791","6b3c4b22-9292-4d06-97a3-8d92c348423e",NA,"NSW672251","NSW",NA,NA,NA,"Rhodamnia argentea Benth.",100,"Tree to 12 m high, foliage glaucous below; flowers cream. Common in area. Spirit sample at BRI.",NA,NA,NA,NA,NA,"bbd52eff-157b-4c0c-908c-1da4095d7c17","8115adac-2a60-4792-b67b-411865f3a16a","sheet","28065","Complex notophyll vineforest on red soil, basalt.","ICN",NA,"7000","The Head, Main Range National Park.","Darling Downs","PhysicalObject","White Myrtle","https://id.biodiversity.org.au/node/apni/2919069","Rhodamnia argentea","Benth.",NA,NA,NA,"native",NA,"Degrees Minutes Seconds","in collection","species",NA,"BRI AQ0553132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=2147855d-5784-4ff2-aedf-f43828d03dbb"
