"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","verbatimEventDate","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","identificationRemarks","occurrenceRemarks","elevation","institutionKey","recordNumber","habitat","http...unknown.org.recordID","county","rights","ownerInstitutionCode","http...unknown.org.recordEnteredBy","higherClassification","collectionID","networkKeys","locality","individualCount","higherGeography","georeferencedBy","collectionKey","datasetID","dynamicProperties","language","type","taxonRemarks","vernacularName","verbatimElevation","nomenclaturalCode","georeferenceProtocol","georeferenceRemarks","disposition","previousIdentifications","bibliographicCitation","accessRights","georeferenceSources","nomenclaturalStatus","institutionID","fieldNumber","elevationAccuracy","gadm","otherCatalogNumbers","municipality","fieldNotes","identifiedByIDs.type","identifiedByIDs.value","georeferenceVerificationStatus","reproductiveCondition","organismID","locationID","associatedTaxa","eventRemarks","associatedOccurrences","lifeStage","verbatimCoordinateSystem","infraspecificEpithet","preparations","georeferencedDate","typeStatus","locationRemarks","informationWithheld","recordedByIDs.type","recordedByIDs.value","acceptedNameUsage","typifiedName","eventID","footprintSRS","verbatimIdentification","http...unknown.org.license","http...unknown.org.rightsHolder","http...unknown.org.CatalogNumberNumeric","projectId","programmeAcronym","media_url","license"
"3758945331","Ugni myricoides (Kunth) O.Berg",14.78276,-91.023446,"cdc,incomis,inmafu","d5ba665a-c07b-4379-85ff-15d7e3a9331a","1eb0746b-24c4-40b7-9ed7-3381428e9648","81a4adb0-0d86-420e-8b5e-7583985d1b6f","96710dc8-fecb-440d-ae3e-c34ae8a9616f","GT","DWC_ARCHIVE","2024-08-01T14:12:01.873+00:00","2024-08-01T14:12:25.175+00:00",199,"PRESERVED_SPECIMEN","PRESENT",3185061,6,7707728,220,690,5014,3185042,3185061,3185061,"Ugni myricoides (Kunth) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni myricoides","Ugni","myricoides","SPECIES","ACCEPTED","LC","2021-12-15T00:00:00",5,"NORTH_AMERICA","Chimaltenango",2021,12,8,"2021-12-08",342,342,"2023-05-08T22:13:14.000+00:00","2024-08-01T14:12:25.175+00:00","https://biodiversidad.gt/portal/collections/individual/index.php?occid=395072",FALSE,"395072","none","none",FALSE,NA,"E. Cardona","Q. Casiá","WGS84","Magnoliopsida","GT","none","none","LATIN_AMERICA","Guatemala","LATIN_AMERICA",NA,"395072",NA,"08/XII/21",NA,"USCG","3758945331","31886858-dc1d-4bad-be87-cdd8b546fca1","11585","47843","USAC",NA,NA,NA,"Ugni myricoides (Kunth) O.Berg",NA,NA,3068,"2f223be0-79a2-4163-bb67-8c0175dae3a3","P7-CT","Paisaje agrícola","31886858-dc1d-4bad-be87-cdd8b546fca1","Tecpán","http://creativecommons.org/licenses/by-nc/4.0/","USAC","UBioCANG","Eukarya|Organism|Plantae|Magnoliophyta|Tracheophyta|Magnoliopsida|Myrtales|Myrtaceae|Ugni","73933f38-f495-11ea-bce4-62fb35605624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://biodiversidad.gt/imglib/guatemala/USAC_USCG/00047/USCG_47843_1664031869_lg.jpg","http://creativecommons.org/licenses/by-nc-sa/3.0/"
"4519432112","Ugni myricoides (Kunth) O.Berg",9.183917,-82.968517,"cdc,cdround,gass84,incomis,inmafu","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:14:54.898+00:00",407,"PRESERVED_SPECIMEN","PRESENT",3185061,6,7707728,220,690,5014,3185042,3185061,3185061,"Ugni myricoides (Kunth) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni myricoides","Ugni","myricoides","SPECIES","ACCEPTED","LC",NA,NA,"NORTH_AMERICA",NA,2018,11,7,"2018-11-07T00:00",311,311,"2023-06-09T16:19:14.493+00:00","2024-08-02T01:14:54.898+00:00",NA,FALSE,"K001572633","none","none",FALSE,NA,"Monro, A.K.; Santamaría, D.",NA,"WGS84","Magnoliopsida","CR","none","none","LATIN_AMERICA","Costa Rica","EUROPE",NA,"K001572633",NA,NA,NA,"Herbarium","4519432112","http://specimens.kew.org/herbarium/K001572633",NA,"K001572633","K",NA,NA,NA,"Ugni myricoides (Kunth) O.Berg",NA,NA,2800,"fa252605-26f6-426c-9892-94d071c2c77f","8126",NA,NA,NA,NA,NA,NA,"Myrtaceae",NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://d2seqvvyy3b8p2.cloudfront.net/2bab97a41b10cee341e89f49b1a347c0.jpg","http://creativecommons.org/licenses/by-nc-sa/3.0/"
"4519446547","Ugni myricoides (Kunth) O.Berg",6.16,-72.771667,"cdc,cdround,gass84,incomis,inmafu","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:14:54.370+00:00",407,"PRESERVED_SPECIMEN","PRESENT",3185061,6,7707728,220,690,5014,3185042,3185061,3185061,"Ugni myricoides (Kunth) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni myricoides","Ugni","myricoides","SPECIES","ACCEPTED","LC",NA,NA,"SOUTH_AMERICA",NA,2017,11,24,"2017-11-24T00:00",328,328,"2023-01-31T14:43:53.530+00:00","2024-08-02T01:14:54.370+00:00",NA,FALSE,"K001589312","none","none",FALSE,NA,"Mendoza, H.",NA,"WGS84","Magnoliopsida","CO","none","none","LATIN_AMERICA","Colombia","EUROPE",NA,"K001589312",NA,NA,NA,"Herbarium","4519446547","http://specimens.kew.org/herbarium/K001589312",NA,"K001589312","K",NA,NA,NA,"Ugni myricoides (Kunth) O.Berg",NA,NA,3260,"fa252605-26f6-426c-9892-94d071c2c77f","20072",NA,NA,NA,NA,NA,NA,"Myrtaceae",NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Colombia. Boyacá. Sativa Sur. Páramo de Guina, sector Colorado.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://d2seqvvyy3b8p2.cloudfront.net/5cc54fce7524baa9cf3c6cf20e127b69.jpg","http://creativecommons.org/licenses/by-nc-sa/3.0/"
"1146731530","Ugni myricoides (Kunth) O.Berg",16.802791,-92.587975,"osiic,colmafu,inmafu","963f12d0-f762-11e1-a439-00145eb45e9a","2e167bb0-4441-11db-9ba2-b8a03c50a862","a974d1b0-37fa-442b-bf5e-47159b201779","2e167bb0-4441-11db-9ba2-b8a03c50a862","US","EML","2024-08-05T13:01:41.333+00:00","2024-08-05T13:07:41.297+00:00",2333,"PRESERVED_SPECIMEN","PRESENT",3185061,6,7707728,220,690,5014,3185042,3185061,3185061,"Ugni myricoides (Kunth) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni myricoides","Ugni","myricoides","SPECIES","ACCEPTED","LC",NA,1851,"NORTH_AMERICA","Chiapas State",2015,6,8,"2015-06-08",159,159,"2024-03-21T13:46:21.000+00:00","2024-08-05T13:07:41.297+00:00","http://collections.peabody.yale.edu/search/Record/YU.101659",FALSE,"urn:uuid:5f6600f4-76c7-472b-8cd9-1c6b726aa3c5","none","none",FALSE,NA,"Sweeney, P. W., Michael Donoghue, Deren Eaton, Ivalu Cacho",NA,"WGS84","Magnoliopsida","MX","none","none","LATIN_AMERICA","Mexico","NORTH_AMERICA","Yale Peabody Museum","urn:uuid:5f6600f4-76c7-472b-8cd9-1c6b726aa3c5",NA,NA,NA,"YU","1146731530","urn:uuid:5f6600f4-76c7-472b-8cd9-1c6b726aa3c5",NA,"YU.101659","YPM",NA,NA,NA,"Ugni myricoides (Kunth) O.Berg",NA,"Shrub ca. 2 meters tall. Petals white, tinged with pink. Immature fruits green, turning dark red. Collected with Michael Donoghue, Deren Eaton, Ivalu Cacho.; YU number 101659; lot count 1; accn=YPM.12184",2780,"75f50140-830d-4630-a290-3d6e951a7c29","3085","opening at edge of oak cloud forest",NA,NA,NA,"YPM",NA,"Plantae; Tracheophyta; Rosidae; Myrtales; Myrtaceae",NA,NA,"Cerro Tzomtehuitz, border of forest on road to summit",1,"North America; Mexico; Chiapas State","Patrick W. Sweeney","70102c0b-6f4c-4159-9ac4-c8f8d9be025a","1","{ ""irn"": ""1618045"", ""media"": ""1213908:9c3744a8-e1be-49ef-be59-3de5077f2b03"", ""mm_repository_id"": ""1213908"", ""solr_long_lat"": ""-92.587975,16.802791"" }","en","PhysicalObject","Animals and Plants: Plants","angiosperms; tracheophytes; plants","2780 m","ICBN","digital resource","radius inferred 2024-01-04 from coordinates","in collection","Ugni myricoides","Ugni myricoides (YU.101659)","Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj","GPS unit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.collections.yale.edu/iiif/2/ypm:9c3744a8-e1be-49ef-be59-3de5077f2b03/full/!1920,1920/0/default.jpg","http://creativecommons.org/licenses/by-nc-sa/3.0/"
"2268860270","Ugni myricoides (Kunth) O.Berg",6.488056,-76.0375,"cdround,gass84,osiic,colmano,inmafu","7bd65a7a-f762-11e1-a439-00145eb45e9a","90fd6680-349f-11d8-aa2d-b8a03c50a862","c4e134d3-c68f-406d-a116-6a37895602e0","90fd6680-349f-11d8-aa2d-b8a03c50a862","US","EML","2024-08-02T18:16:10.271+00:00","2024-08-02T20:15:17.568+00:00",340,"PRESERVED_SPECIMEN","PRESENT",3185061,6,7707728,220,690,5014,3185042,3185061,3185061,"Ugni myricoides (Kunth) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni myricoides","Ugni","myricoides","SPECIES","ACCEPTED","LC","2013-01-01T00:00:00",NA,"SOUTH_AMERICA","Antioquia",2013,4,7,"2013-04-07",97,97,"2022-09-03T04:56:00.000+00:00","2024-08-02T20:15:17.568+00:00",NA,FALSE,"urn:catalog:MO:Tropicos:100961329","none","none",TRUE,"Tropicos","Fernando Alzate|Astrid Alvárez|Steven Murillo|et al.","A. Alvarez (HUA)","WGS84","Magnoliopsida","CO","none","none","LATIN_AMERICA","Colombia","NORTH_AMERICA","Missouri Botanical Garden","urn:catalog:MO:Tropicos:100961329",NA,NA,NA,"Tropicos","2268860270","urn:catalog:MO:Tropicos:100961329","22102041","100961329","MO",NA,NA,NA,"Ugni myricoides (Kunth) O.Berg",NA,NA,3300,"1be3aa67-8f90-4309-92f4-bd55426a8c09","Alzate Guarin 5033",NA,NA,"Caicedo",NA,"MOBOT",NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:15859",NA,"Vereda La Anocozca, sector al frente del Alto de la Virgen, camino hacia Abriaquí.",1,NA,NA,NA,NA,NA,NA,"PhysicalObject",NA,NA,NA,"ICNafp",NA,NA,NA,NA,"http://www.tropicos.org/Specimen/100961329",NA,NA,"No opinion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://images.mobot.org/tropicosimages3/detailimages/TropicosImageVol3/100539000/5E57A3FB-2D63-4D97-BB56-90C611007962.jpg","http://creativecommons.org/licenses/by-nc-sa/3.0/"
"1929167807","Ugni myricoides (Kunth) O.Berg",6.61531,-76.16272,"gass84,mdativ","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","17017c2c-036b-45d9-b045-606d21b00771","ae447c50-b8a8-11d8-92a4-b8a03c50a862","US","EML","2024-07-21T04:09:35.210+00:00","2024-07-21T05:15:40.129+00:00",415,"PRESERVED_SPECIMEN","PRESENT",3185061,6,7707728,220,690,5014,3185042,3185061,3185061,"Ugni myricoides (Kunth) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni myricoides","Ugni","myricoides","SPECIES","ACCEPTED","LC","2012-01-01T00:00:00",NA,"SOUTH_AMERICA","Antioquia",2012,2,4,"2012-02-04",35,35,NA,"2024-07-21T05:15:40.129+00:00","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1793368",FALSE,"630c7a30-70bd-4024-94bd-25c9dd17a8b2","none","none",FALSE,"Vascular plants","M. F. González Giraldo","C. Parra-Osorio","WGS84","Magnoliopsida","CO","none","none","LATIN_AMERICA","Colombia","NORTH_AMERICA","The New York Botanical Garden","630c7a30-70bd-4024-94bd-25c9dd17a8b2",NA,"4 Feb 2012",NA,"NY","1929167807","630c7a30-70bd-4024-94bd-25c9dd17a8b2",NA,"1583149","NY",NA,NA,NA,"Ugni myricoides (Kunth) O.Berg",NA,NA,NA,"ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377","830","Páramo",NA,"Abriaquí Mun.",NA,NA,NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:15556",NA,"Parque Nacional Natural Las Orquídeas, cumbres de la cuchilla de Morro Pelao, accediendo por La Mina. Vegetación de páramo dominada por Espeletia occidentalis, Puya antioquensis, Guzmania mosquerae, Paepalanthus alpinus, Vaccinum floribundum, Calamagrostis effusa, y Arcytophyllum.",NA,NA,NA,"b2190553-4505-4fdd-8fff-065c8ca26f72",NA,NA,"en","PhysicalObject",NA,NA,"11417 ft","ICN",NA,NA,NA,NA,NA,NA,NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://sweetgum.nybg.org/images3/991/539/1583149.jpg","http://creativecommons.org/licenses/by-nc-sa/3.0/"
"4061653106","Ugni myricoides (Kunth) O.Berg",9.147778,-82.967417,"cdround,gass84,osiic,inmano","e053ff53-c156-4e2e-b9b5-4462e9625424","90fd6680-349f-11d8-aa2d-b8a03c50a862","c4e134d3-c68f-406d-a116-6a37895602e0","90fd6680-349f-11d8-aa2d-b8a03c50a862","US","EML","2024-08-02T18:32:16.663+00:00","2024-08-02T19:58:06.263+00:00",102,"PRESERVED_SPECIMEN","PRESENT",3185061,6,7707728,220,690,5014,3185042,3185061,3185061,"Ugni myricoides (Kunth) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni myricoides","Ugni","myricoides","SPECIES","ACCEPTED","LC",NA,NA,"NORTH_AMERICA","Limón",2012,2,13,"2012-02-13",44,44,"2019-07-28T04:35:00.000+00:00","2024-08-02T19:58:06.263+00:00",NA,FALSE,"urn:catalog:MO:Tropicos:100528358","none","none",FALSE,"Tropicos","Alex K. Monro|Daniel Santamaría|N. A. Brummitt|Tom Simpson",NA,"WGS84","Magnoliopsida","CR","none","none","LATIN_AMERICA","Costa Rica","NORTH_AMERICA","Missouri Botanical Garden","urn:catalog:MO:Tropicos:100528358",NA,NA,NA,"Tropicos","4061653106","urn:catalog:MO:Tropicos:100528358","22102041","100528358",NA,NA,NA,NA,"Ugni myricoides (Kunth) O.Berg",NA,NA,2730,NA,"Monro 7179",NA,NA,NA,NA,"MOBOT",NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:15859",NA,"Parque Internacional La Amistad, Cerros Tararias.",1,NA,NA,NA,NA,NA,NA,"PhysicalObject",NA,NA,NA,"ICNafp",NA,NA,NA,NA,"http://www.tropicos.org/Specimen/100528358",NA,NA,"No opinion",NA,"142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://images.mobot.org/tropicosimages3/detailimages/TropicosImages2/100210000/10076A71-B395-4F5E-BC05-63FFAF4B22A5.jpg","http://creativecommons.org/licenses/by-nc-sa/3.0/"
"1257875733","Ugni myricoides (Kunth) O.Berg",9.116778,-82.953472,"cdround,gass84,osiic,colmano,inmafu","7bd65a7a-f762-11e1-a439-00145eb45e9a","90fd6680-349f-11d8-aa2d-b8a03c50a862","c4e134d3-c68f-406d-a116-6a37895602e0","90fd6680-349f-11d8-aa2d-b8a03c50a862","US","EML","2024-08-02T18:16:10.271+00:00","2024-08-02T20:16:48.418+00:00",340,"PRESERVED_SPECIMEN","PRESENT",3185061,6,7707728,220,690,5014,3185042,3185061,3185061,"Ugni myricoides (Kunth) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni myricoides","Ugni","myricoides","SPECIES","ACCEPTED","LC",NA,NA,"NORTH_AMERICA","Limón",2012,2,10,"2012-02-10",41,41,"2021-10-21T16:17:00.000+00:00","2024-08-02T20:16:48.418+00:00",NA,FALSE,"urn:catalog:MO:Tropicos:100529952","none","none",FALSE,"Tropicos","Daniel Santamaría|Alex K. Monro|N. A. Brummitt",NA,"WGS84","Magnoliopsida","CR","none","none","LATIN_AMERICA","Costa Rica","NORTH_AMERICA","Missouri Botanical Garden","urn:catalog:MO:Tropicos:100529952",NA,NA,NA,"Tropicos","1257875733","urn:catalog:MO:Tropicos:100529952","22102041","100529952","MO",NA,NA,NA,"Ugni myricoides (Kunth) O.Berg",NA,NA,2700,"1be3aa67-8f90-4309-92f4-bd55426a8c09","Santamaría-Aguilar 9046",NA,NA,NA,NA,"MOBOT",NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:15859",NA,"Parque Internacional La Amistad, Vallé de Silencio- Cerros Asidbeta.",1,NA,NA,NA,NA,NA,NA,"PhysicalObject",NA,NA,NA,"ICNafp",NA,NA,NA,NA,"http://www.tropicos.org/Specimen/100529952",NA,NA,"No opinion",NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://images.mobot.org/tropicosimages3/detailimages/TropicosImages2/100217000/F383DFC8-5CE5-40BA-8423-B1DE6CFF9A1C.jpg","http://creativecommons.org/licenses/by-nc-sa/3.0/"
"1257909240","Ugni myricoides (Kunth) O.Berg",-4.615278,-78.788889,"cdround,gass84,osiic,colmano,inmafu,diffown","e053ff53-c156-4e2e-b9b5-4462e9625424","90fd6680-349f-11d8-aa2d-b8a03c50a862","c4e134d3-c68f-406d-a116-6a37895602e0","90fd6680-349f-11d8-aa2d-b8a03c50a862","US","EML","2024-08-02T18:32:16.663+00:00","2024-08-02T19:58:06.775+00:00",102,"PRESERVED_SPECIMEN","PRESENT",3185061,6,7707728,220,690,5014,3185042,3185061,3185061,"Ugni myricoides (Kunth) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni myricoides","Ugni","myricoides","SPECIES","ACCEPTED","LC","2014-01-01T00:00:00",NA,"SOUTH_AMERICA","Zamora-Chinchipe",2012,8,24,"2012-08-24",237,237,"2016-10-13T06:01:00.000+00:00","2024-08-02T19:58:06.775+00:00",NA,FALSE,"urn:catalog:MO:Tropicos:100564331","none","none",TRUE,"Tropicos","David A. Neill|Mercedes Asanza|Eduardo Cueva","D. Neill (ECUAMZ)","WGS84","Magnoliopsida","EC","none","none","LATIN_AMERICA","Ecuador","NORTH_AMERICA","Missouri Botanical Garden","urn:catalog:MO:Tropicos:100564331",NA,NA,NA,"Tropicos","1257909240","urn:catalog:MO:Tropicos:100564331","22102041","100564331","QCNE",NA,NA,NA,"Ugni myricoides (Kunth) O.Berg",NA,NA,2790,"814866d5-4a47-4a7a-8bab-3fcce9e98d60","Neill 17483",NA,NA,"Nangaritza",NA,"MOBOT",NA,NA,"http://biocol.org/urn:lsid:biocol.org:col:15859",NA,"Cordillera del Cóndor.  Reserva Biológica Cerro Plateado.  Herbaceous and low shrubby vegetation on sloping sandstone plateau or ""tepui"", ridge along trail 100 m below summit.  Sandy soil derived from Hollín Formation sandstone, acidic and nutrient-poor.  First biological expedition to Cerro Plateado.",4,NA,NA,NA,NA,NA,NA,"PhysicalObject",NA,NA,NA,"ICNafp",NA,NA,NA,NA,"http://www.tropicos.org/Specimen/100564331",NA,NA,"No opinion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://images.mobot.org/tropicosimages3/detailimages/TropicosImages2/100301000/7B56A855-F582-41C0-AB54-F46FEBFE6FBB.jpg","http://creativecommons.org/licenses/by-nc-sa/3.0/"
"1424443900","Ugni myricoides (Kunth) O.Berg",0.788611,-66.023056,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:42.322+00:00",520,"PRESERVED_SPECIMEN","PRESENT",3185061,6,7707728,220,690,5014,3185042,3185061,3185061,"Ugni myricoides (Kunth) O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni myricoides","Ugni","myricoides","SPECIES","ACCEPTED","LC","2019-07-01T00:00:00",NA,"SOUTH_AMERICA","Amazonas",2012,9,21,"2012-09-21",265,265,"2020-03-10T21:44:38.000+00:00","2024-08-01T12:21:42.322+00:00",NA,FALSE,"urn:catalog:JBRJ:RB:770143","none","none",FALSE,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","R.C. Forzza; G. Martinelli; D.P. Costa; M.A. Moraes; M.A.Nadruz & M.R. Blind","M.Sobral","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:770143",NA,NA,NA,"RB","1424443900","urn:catalog:JBRJ:RB:770143",NA,"RB00770143","JBRJ",NA,NA,NA,"Ugni myricoides (Kunth) O.Berg",NA,"Arbusto, cerca de 1,5 metros de altura. Flores com cálice verde a levemente rosado; pétalas e estames alvos. Frutos verdes.",2500,"48b29504-e1ac-432c-a0d6-f09f46023207","7254",NA,NA,NA,NA,NA,NA,NA,NA,"4b0d8edb-7504-42c4-9349-63e86c01bf97","Trilha da Bacia do Gelo para o Pico da Neblina. Parque Nacional do Pico da Neblina",NA,NA,NA,"e89ac5d6-77af-4d2a-adef-f54d512af4fa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"04.936.616/0001-20",NA,NA,NA,"RB 571432","Santa Isabel do Rio Negro","Mata Nebular e vegetação campestre arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/0/77/1/43/00770143.jpg","http://creativecommons.org/licenses/by-nc-sa/3.0/"
