families_to_exclude,reason
Equisetaceae,fern
Hymenophyllaceae,fern
Lycopodiaceae,fern
Polypodiaceae,fern
Selaginellaceae,fern
Aspleniaceae,fern
Isoetaceae,fern
Marattiaceae,fern
Ophioglossaceae,fern
Psilotaceae,fern
Osmundaceae,fern
Gleicheniaceae,fern
Dipteridaceae,fern
Matoniaceae,fern
Schizaeaceae,fern
Marsileaceae,fern
Cyatheaceae,fern
Lindsaeaceae,fern
Dennstaedtiaceae,fern
Pteridaceae,fern
Salviniaceae,fern
Lonchitidaceae,fern
Saccolomataceae,fern
Cystodiaceae,fern
Ginkgoaceae,gymno
Ephedraceae,gymno
Gnetaceae,gymno
Welwitschiaceae,gymno
Pinaceae,gymno
Cupressaceae,gymno
Podocarpaceae,gymno
Sciadopityaceae,gymno
Taxaceae,gymno
Zamiaceae,gymno
Cycadaceae,gymno
Araucariaceae,gymno
Acoraceae,monocot
Alismataceae,monocot
Butomaceae,monocot
Cymodoceaceae,monocot
Hydrocharitaceae,monocot
Juncaginaceae,monocot
Maundiaceae,monocot
Posidoniaceae,monocot
Potamogetonaceae,monocot
Ruppiaceae,monocot
Scheuchzeriaceae,monocot
Tofieldiaceae,monocot
Zosteraceae,monocot
Amaryllidaceae,monocot
Asparagaceae,monocot
Asteliaceae,monocot
Blandfordiaceae,monocot
Boryaceae,monocot
Doryanthaceae,monocot
Hypoxidaceae,monocot
Iridaceae,monocot
Ixioliriaceae,monocot
Lanariaceae,monocot
Orchidaceae,monocot
Tecophilaeaceae,monocot
Asphodelaceae,monocot
Xeronemaceae,monocot
Burmanniaceae,monocot
Dioscoreaceae,monocot
Nartheciaceae,monocot
Trichopodaceae,monocot
Alstroemeriaceae,monocot
Campynemataceae,monocot
Colchicaceae,monocot
Corsiaceae,monocot
Liliaceae,monocot
Melanthiaceae,monocot
Petermanniaceae,monocot
Philesiaceae,monocot
Rhipogonaceae,monocot
Smilacaceae,monocot
Cyclanthaceae,monocot
Pandanaceae,monocot
Stemonaceae,monocot
Triuridaceae,monocot
Velloziaceae,monocot
Petrosaviaceae,monocot
Arecaceae,monocot
Dasypogonaceae,monocot
Commelinaceae,monocot
Haemodoraceae,monocot
Hanguanaceae,monocot
Philydraceae,monocot
Pontederiaceae,monocot
Bromeliaceae,monocot
Cyperaceae,monocot
Ecdeiocoleaceae,monocot
Eriocaulaceae,monocot
Flagellariaceae,monocot
Joinvilleaceae,monocot
Juncaceae,monocot
Mayacaceae,monocot
Poaceae,monocot
Rapateaceae,monocot
Restionaceae,monocot
Thurniaceae,monocot
Typhaceae,monocot
Xyridaceae,monocot
Anarthriaceae,monocot
Centrolepidaceae,monocot
Sparganiaceae,monocot
Cannaceae,monocot
Costaceae,monocot
Heliconiaceae,monocot
Lowiaceae,monocot
Marantaceae,monocot
Musaceae,monocot
Strelitziaceae,monocot
Zingiberaceae,monocot
Limnocharitaceae,monocot
Aponogetonaceae,monocot
Araceae,monocot
