"","plant_name_id","ipni_id","taxon_rank","taxon_status","family","genus_hybrid","genus","species_hybrid","species","infraspecific_rank","infraspecies","parenthetical_author","primary_author","publication_author","place_of_publication","volume_and_page","first_published","nomenclatural_remarks","geographic_area","lifeform_description","climate_description","taxon_name","taxon_authors","accepted_plant_name_id","basionym_plant_name_id","homotypic_synonym","parent_plant_name_id"
"9820","362507-az","52383-1","Species","Accepted","Acanthaceae","","Mendoncia","","glabra","","","","Poepp.","E.F.Poeppig & S.L.Endlicher","Nov. Gen. Sp. Pl.","3: 10","(1840)","","S. Trop. America","Liana","Wet Tropical","Mendoncia glabra","Poepp.","362507-az","",NA,"362677-az"
"15551","924150-az","365009-1","Species","Accepted","Achariaceae","","Caloncoba","","echinata","","","Oliv.","Gilg","","Bot. Jahrb. Syst.","40: 464","(1908)","","W. Trop. Africa to Cameroon","Nanophanerophyte or phanerophyte","Wet Tropical","Caloncoba echinata","(Oliv.) Gilg","924150-az","923013-az",NA,"924143-az"
"15816","922700-az","111770-1","Species","Accepted","Achariaceae","","Kiggelaria","","africana","","","","L.","","Sp. Pl.",": 1037","(1753)","","Ethiopia to S. Africa.","Nanophanerophyte or phanerophyte","Seasonally Dry Tropical","Kiggelaria africana","L.","922700-az","",NA,"922699-az"
"15903","923531-az","111972-1","Species","Accepted","Achariaceae","","Pangium","","edule","","","","Reinw.","","Syll. Pl. Nov.","2: 12","(1828)","","Nicobar Is. to W. Pacific","Phanerophyte","Wet Tropical","Pangium edule","Reinw.","923531-az","",NA,"923533-az"
"16038","923396-az","112183-1","Species","Accepted","Achariaceae","","Xylotheca","","kraussiana","","","","Hochst.","","Flora","26: 69","(1843)","","S. Mozambique to KwaZulu-Natal","Nanophanerophyte or phanerophyte","Subtropical","Xylotheca kraussiana","Hochst.","923396-az","",NA,"923318-az"
"16073","500166-wcs","327318-2","Species","Accepted","Achatocarpaceae","","Phaulothamnus","","spinescens","","","","A.Gray","","Proc. Amer. Acad. Arts","20: 294","(1885)","","S. Texas to Mexico","Nanophanerophyte","Desert or Dry Shrubland","Phaulothamnus spinescens","A.Gray","500166-wcs","",NA,"500165-wcs"
"16205","620670-az","828399-1","Species","Accepted","Actinidiaceae","","Actinidia","","eriantha","","","","Benth.","","J. Proc. Linn. Soc., Bot.","5: 55","(1860)","","SE. China (to Guizhou)","Climbing nanophanerophyte","Temperate","Actinidia eriantha","Benth.","620670-az","",NA,"620606-az"
"16219","620682-az","828400-1","Species","Accepted","Actinidiaceae","","Actinidia","","fulvicoma","","","","Hance","","J. Bot.","23: 321","(1885)","","S. China to Vietnam","Climbing nanophanerophyte","Subtropical","Actinidia fulvicoma","Hance","620682-az","",NA,"620606-az"
"16289","620747-az","828403-1","Species","Accepted","Actinidiaceae","","Actinidia","","melanandra","","","","Franch.","","J. Bot. (Morot)","8: 278","(1894)","","C. & S. China","Climbing nanophanerophyte","Temperate","Actinidia melanandra","Franch.","620747-az","",NA,"620606-az"
"16559","595266-az","829312-1","Species","Accepted","Actinidiaceae","","Saurauia","","conferta","","","","Warb.","","Bot. Jahrb. Syst.","13: 379","(1891)","","New Guinea to Solomon Is.","Phanerophyte","Wet Tropical","Saurauia conferta","Warb.","595266-az","",NA,"490794-az"
"16621","595288-az","829328-1","Species","Accepted","Actinidiaceae","","Saurauia","","ferox","","","","Korth.","","Verh. Nat. Gesch. Ned. Bezitt., Bot.",": t. 19","(1841)","","Borneo","Phanerophyte","Wet Tropical","Saurauia ferox","Korth.","595288-az","",NA,"490794-az"
"16775","595247-az","829369-1","Species","Accepted","Actinidiaceae","","Saurauia","","montana","","","","Seem.","","Bot. Voy. Herald",": 87","(1853)","","Mexico (Chiapas) to C. America","Nanophanerophyte or phanerophyte","Wet Tropical","Saurauia montana","Seem.","595247-az","",NA,"490794-az"
"16929","594514-az","829407-1","Species","Accepted","Actinidiaceae","","Saurauia","","roxburghii","","","","Wall.","","Pl. Asiat. Rar.","2: 40","(1831)","","E. Nepal to Pen. Malaysia","Phanerophyte","Wet Tropical","Saurauia roxburghii","Wall.","594514-az","",NA,"490794-az"
"17048","594461-az","829438-1","Species","Accepted","Actinidiaceae","","Saurauia","","tristyla","","","","DC.","","Mém. Soc. Phys. Genève","1: 423","(1822)","","Nepal to Taiwan and Pen. Malaysia","Phanerophyte","Subtropical","Saurauia tristyla","DC.","594461-az","",NA,"490794-az"
"17059","491066-az","228162-2","Species","Accepted","Actinidiaceae","","Saurauia","","ursina","","","","Triana & Planch.","","Ann. Sci. Nat., Bot.",", sér. 4, 18: 265","(1862)","","Colombia","Nanophanerophyte or phanerophyte","Wet Tropical","Saurauia ursina","Triana & Planch.","491066-az","",NA,"490794-az"
"17126","4284-wcs","338257-1","Species","Accepted","Aextoxicaceae","","Aextoxicon","","punctatum","","","","Ruiz & Pav.","","Syst. Veg. Fl. Peruv. Chil.",": 260","(1797)","","C. & SC. Chile to SW. Argentina (Chubut, Río Negro)","Nanophanerophyte or phanerophyte","Subtropical","Aextoxicon punctatum","Ruiz & Pav.","4284-wcs","",NA,"4283-wcs"
