"","Estimate","StdErr","t.value","p.value"
"(Intercept)",1.75128229337892,0.154960063704299,11.3015073143025,1.57976882516964e-28
"bio_2",0.00484687935498395,0.00603711676442508,0.80284671377323,0.422184933471822
"bio_3",-0.00124861222443238,0.000781339018170387,-1.59804156121139,0.110235080028143
"bio_5",0.00313457614568313,0.00468339407289836,0.669295834792579,0.503405254070763
"bio_15",-0.00086064661827566,0.000421350952237415,-2.04258852081748,0.0412600269644439
"bio_18",-7.04904223601196e-06,5.59597667001164e-05,-0.125966254895007,0.899774775121159
"bio_19",-1.666784481223e-05,5.24916220690614e-05,-0.317533430197693,0.750881127980397
"alt",5.42774654078729e-05,2.39685223512352e-05,2.26453114683041,0.0236774129902876
"ai",-3.20034188773769e-06,3.41697194676206e-06,-0.936601744936873,0.349107591049146
"wind",0.0392637079696805,0.0124686580036272,3.1489922939789,0.00166921506816412
"srad",7.4914118412586e-06,6.09125192117779e-06,1.22986406377526,0.218932390726047
"deciduousnesslikely_evergreen",-0.0246317269506677,0.0257932909663897,-0.954966428392732,0.339741779527964
