"","Estimate","StdErr","t.value","p.value"
"(Intercept)",0.292178724346288,0.182314783069774,1.60260577571742,0.109449027795344
"bio_2",0.0180272251915333,0.00753342065769165,2.39296675582923,0.0169614089517358
"bio_3",-0.000469465819656604,0.00107755193613458,-0.435678136629481,0.663197496951265
"bio_5",-0.0160299486221531,0.00586377664529166,-2.73372428587034,0.00641207820248887
"bio_15",0.000888074271054055,0.000571127038800733,1.55495049388461,0.12038599074469
"bio_18",4.51850004578295e-06,7.52816376841991e-05,0.060021277230149,0.952154915771258
"bio_19",0.000125389868165741,7.14523347291668e-05,1.75487433183281,0.079695177985655
"alt",-5.3946553469534e-06,3.11754938386605e-05,-0.173041536242276,0.862666161807845
"ai",-9.07378573970468e-06,4.50076711851769e-06,-2.01605315288855,0.0441558142514639
"wind",0.0417794255631024,0.0169447696050515,2.46562370199754,0.0139036271900171
"srad",9.04880802266752e-06,8.59786991217376e-06,1.05244765448885,0.292938215745819
"deciduousnessevergreen",0.166713084332202,0.0346796462887162,4.80723139285436,1.85452149098792e-06
