"","Estimate","StdErr","t.value","p.value"
"(Intercept)",-0.59538738798093,0.185232143059157,-3.21427684281978,0.00136455832857099
"bio_2",0.110376329177877,0.0461253082221144,2.3929667558288,0.0169614089517555
"bio_3",-0.0248355476957892,0.05700434703501,-0.435678136625898,0.663197496953864
"bio_5",-0.185454842053233,0.0678396292604528,-2.73372428586286,0.0064120782026329
"bio_15",0.0623998759256899,0.0401298151751084,1.55495049387606,0.120385990746726
"bio_18",0.00336839319498596,0.0561199852865634,0.0600212772292448,0.952154915771978
"bio_19",0.103360719474243,0.0588992143764726,1.75487433183031,0.0796951779860832
"alt",-0.0110164758783818,0.0636637660410759,-0.173041536237016,0.862666161811978
"ai",-0.155862192114343,0.0773105569615372,-2.01605315289458,0.0441558142508318
"wind",0.128952623237644,0.0523002042577731,2.46562370200453,0.013903627189748
"srad",0.0589616626293345,0.0560233683622993,1.05244765448649,0.2929382157469
"deciduousnessevergreen",0.489385925093825,0.10180203220922,4.80723139286706,1.85452149087379e-06
