"","Estimate","StdErr","t.value","p.value"
"(Intercept)",0.151010255094293,0.151247275464342,0.99843289494425,0.318223148763814
"bio_2",-0.207370441022942,0.0290732567259919,-7.13268702496442,1.49615386854153e-12
"bio_3",0.161779886219259,0.0323082701705752,5.00738310547495,6.13893395028936e-07
"bio_5",0.168131700383463,0.0433225654472294,3.88092668676932,0.000108361563658118
"bio_15",-0.0179653323896024,0.0246116498192233,-0.729952381151237,0.465528049915758
"bio_18",0.0858323773711747,0.0347313655051257,2.47132170367755,0.0135667799195067
"bio_19",0.0378421473488811,0.0360628398212676,1.049339085231,0.294183377105678
"alt",0.0481234480434405,0.0391975349730693,1.22771618359429,0.219737331866309
"ai",0.0642303623215778,0.0488370769590615,1.31519669728432,0.188635609507211
"wind",-0.11079938341847,0.0320300469303856,-3.45923262801589,0.000556184039952178
"srad",-0.0905832331147772,0.0331122800185915,-2.73563865321015,0.00629593873278486
